DATA_OBITO,OUTRAS - AP,COVID,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,2,0,0,3,0,0,0
2018-01-02,4,0,0,1,2,0,0
2018-01-03,4,0,0,3,0,0,0
2018-01-04,3,0,0,1,0,0,0
2018-01-05,2,0,0,1,0,1,0
2018-01-06,2,0,0,0,0,3,0
2018-01-07,2,0,0,0,3,1,0
2018-01-08,5,0,0,0,1,0,0
2018-01-09,6,0,0,0,1,0,0
2018-01-10,4,0,0,0,0,0,0
2018-01-11,4,0,0,1,3,0,0
2018-01-12,6,0,0,0,1,2,0
2018-01-13,3,0,0,1,0,0,0
2018-01-14,4,0,0,2,1,0,0
2018-01-15,4,0,0,0,1,0,0
2018-01-16,4,0,0,1,0,0,0
2018-01-17,4,0,0,0,2,1,0
2018-01-18,4,0,0,0,0,1,0
2018-01-19,5,0,0,2,1,1,0
2018-01-20,3,0,0,0,1,0,0
2018-01-21,3,0,0,0,1,1,0
2018-01-22,9,0,0,1,0,0,0
2018-01-23,3,0,0,1,1,2,0
2018-01-24,5,0,0,2,2,1,0
2018-01-25,3,0,0,1,2,0,1
2018-01-26,4,0,0,0,2,0,0
2018-01-27,5,0,0,1,1,1,0
2018-01-28,5,0,0,1,0,1,0
2018-01-29,3,0,0,0,2,2,0
2018-01-30,4,0,0,0,1,1,0
2018-01-31,2,0,0,1,2,1,0
2018-02-01,2,0,0,1,2,0,0
2018-02-02,2,0,0,0,1,5,0
2018-02-03,7,0,0,3,1,0,0
2018-02-04,3,0,0,1,1,1,0
2018-02-05,6,0,0,0,0,1,0
2018-02-06,2,0,0,3,2,0,0
2018-02-07,1,0,0,1,2,2,0
2018-02-08,2,0,0,0,1,1,0
2018-02-09,4,0,0,0,1,0,0
2018-02-10,5,0,0,1,0,2,0
2018-02-11,2,0,0,0,1,2,0
2018-02-12,1,0,0,0,0,1,0
2018-02-13,1,0,0,0,3,1,0
2018-02-14,2,0,0,0,1,0,0
2018-02-15,4,0,0,0,1,0,0
2018-02-16,3,0,0,0,1,1,0
2018-02-17,1,0,0,0,1,0,0
2018-02-18,4,0,0,0,0,1,0
2018-02-19,3,0,0,0,2,1,0
2018-02-20,3,0,0,0,3,2,0
2018-02-21,1,0,0,0,2,4,0
2018-02-22,1,0,0,1,1,1,0
2018-02-23,5,0,0,0,0,4,0
2018-02-24,5,0,0,0,1,1,0
2018-02-25,1,0,0,1,0,1,0
2018-02-26,2,0,0,1,0,0,0
2018-02-27,2,0,0,0,2,1,0
2018-02-28,1,0,0,1,1,1,0
2018-03-01,3,0,0,0,1,1,0
2018-03-02,4,0,0,0,0,1,0
2018-03-03,1,0,0,1,0,0,0
2018-03-04,1,0,0,3,1,0,0
2018-03-05,5,0,0,0,0,1,0
2018-03-06,4,0,0,1,2,2,0
2018-03-07,6,0,0,0,0,0,0
2018-03-08,4,0,0,0,0,0,1
2018-03-09,3,0,0,1,0,0,0
2018-03-10,3,0,0,0,0,1,0
2018-03-11,4,0,0,0,1,1,0
2018-03-12,4,0,0,1,2,1,0
2018-03-13,3,0,0,0,2,2,0
2018-03-14,2,0,0,0,2,2,0
2018-03-15,3,0,0,0,1,3,0
2018-03-16,7,0,0,0,1,1,0
2018-03-17,1,0,0,1,0,0,0
2018-03-18,4,0,0,3,1,3,0
2018-03-19,5,0,0,1,1,1,0
2018-03-20,4,0,0,0,1,0,0
2018-03-21,4,0,0,0,2,0,0
2018-03-22,4,0,0,1,2,3,0
2018-03-23,3,0,0,0,3,2,0
2018-03-24,4,0,0,1,3,1,0
2018-03-25,2,0,0,1,2,0,0
2018-03-26,2,0,0,0,0,0,0
2018-03-27,1,0,0,1,2,3,0
2018-03-28,3,0,0,3,0,3,0
2018-03-29,1,0,0,0,0,1,0
2018-03-30,3,0,0,2,0,0,1
2018-03-31,4,0,0,2,2,1,0
2018-04-01,2,0,0,2,1,2,0
2018-04-02,2,0,0,0,1,1,0
2018-04-03,2,0,0,1,2,2,0
2018-04-04,3,0,0,1,2,1,0
2018-04-05,5,0,0,0,1,3,0
2018-04-06,4,0,0,0,0,2,0
2018-04-07,3,0,0,1,1,1,0
2018-04-08,3,0,0,2,1,2,0
2018-04-09,4,0,0,0,1,0,0
2018-04-10,4,0,0,1,0,1,0
2018-04-11,4,0,0,0,0,0,0
2018-04-12,2,0,0,0,2,1,0
2018-04-13,3,0,0,0,1,3,0
2018-04-14,4,0,0,0,1,1,0
2018-04-15,7,0,0,0,0,0,0
2018-04-16,3,0,0,1,0,1,1
2018-04-17,7,0,0,0,0,3,0
2018-04-18,4,0,0,0,3,2,0
2018-04-19,4,0,0,0,2,4,0
2018-04-20,2,0,0,0,1,0,0
2018-04-21,1,0,0,0,0,0,0
2018-04-22,6,0,0,2,3,1,0
2018-04-23,1,0,0,0,2,1,0
2018-04-24,8,0,0,0,1,3,0
2018-04-25,3,0,1,0,2,2,1
2018-04-26,5,0,0,0,2,0,0
2018-04-27,5,0,0,1,1,2,0
2018-04-28,5,0,0,0,0,2,0
2018-04-29,2,0,0,1,2,0,0
2018-04-30,4,0,0,0,2,1,0
2018-05-01,6,0,0,0,1,0,0
2018-05-02,1,0,0,0,1,0,0
2018-05-03,2,0,0,0,1,1,0
2018-05-04,1,0,0,0,1,0,0
2018-05-05,5,0,0,2,1,0,0
2018-05-06,4,0,0,0,1,0,0
2018-05-07,1,0,0,3,7,0,0
2018-05-08,2,0,0,0,2,2,0
2018-05-09,7,0,0,0,2,2,0
2018-05-10,2,0,0,1,5,0,0
2018-05-11,3,0,0,0,2,0,0
2018-05-12,6,0,0,2,1,0,0
2018-05-13,2,0,0,1,0,1,0
2018-05-14,1,0,0,0,4,2,0
2018-05-15,5,0,0,0,1,0,0
2018-05-16,1,0,0,0,0,0,0
2018-05-17,4,0,0,1,2,4,0
2018-05-18,1,0,0,2,2,0,0
2018-05-19,5,0,0,1,1,1,0
2018-05-20,2,0,0,1,1,0,1
2018-05-21,7,0,0,0,2,0,0
2018-05-22,8,0,0,1,2,3,0
2018-05-23,4,0,0,0,2,0,0
2018-05-24,1,0,0,0,4,1,0
2018-05-25,3,0,0,0,1,0,0
2018-05-26,6,0,0,0,1,0,0
2018-05-27,3,0,0,1,2,1,0
2018-05-28,5,0,0,2,5,2,0
2018-05-29,3,0,0,1,3,2,0
2018-05-30,4,0,0,0,2,0,0
2018-05-31,6,0,0,1,2,1,2
2018-06-01,4,0,0,0,3,0,0
2018-06-02,2,0,0,3,2,2,0
2018-06-03,7,0,0,2,0,0,0
2018-06-04,6,0,0,0,1,1,0
2018-06-05,4,0,0,1,1,0,0
2018-06-06,3,0,0,1,0,1,0
2018-06-07,5,0,0,0,1,0,0
2018-06-08,3,0,0,1,1,0,0
2018-06-09,4,0,0,0,1,1,0
2018-06-10,2,0,0,0,1,2,0
2018-06-11,3,0,0,1,2,0,0
2018-06-12,5,0,0,0,2,1,0
2018-06-13,1,0,0,1,2,1,0
2018-06-14,6,0,0,0,1,1,0
2018-06-15,5,0,0,0,4,2,0
2018-06-16,3,0,0,0,1,2,0
2018-06-17,6,0,0,0,2,2,0
2018-06-18,3,0,0,0,1,4,0
2018-06-19,1,0,0,0,3,2,0
2018-06-20,6,0,0,1,0,1,1
2018-06-21,2,0,0,1,3,1,0
2018-06-22,2,0,0,0,0,0,0
2018-06-23,5,0,0,0,2,1,0
2018-06-24,4,0,0,0,1,0,0
2018-06-25,4,0,0,0,2,3,0
2018-06-26,2,0,0,0,1,1,0
2018-06-27,2,0,0,0,1,0,0
2018-06-28,4,0,0,0,4,0,0
2018-06-29,4,0,0,0,1,0,0
2018-06-30,4,0,0,0,1,2,0
2018-07-01,3,0,0,1,1,1,0
2018-07-02,3,0,0,1,0,2,0
2018-07-03,3,0,0,1,0,1,0
2018-07-04,5,0,0,2,0,0,0
2018-07-05,1,0,0,0,1,0,0
2018-07-06,8,0,0,0,2,0,0
2018-07-07,1,0,0,0,2,4,0
2018-07-08,2,0,0,1,0,0,0
2018-07-09,5,0,0,0,1,1,0
2018-07-10,1,0,0,0,0,1,0
2018-07-11,3,0,0,1,1,1,0
2018-07-12,3,0,0,0,1,0,0
2018-07-13,6,0,0,0,1,3,0
2018-07-14,8,0,0,0,2,1,0
2018-07-15,1,0,0,0,2,1,0
2018-07-16,1,0,0,0,1,0,0
2018-07-17,2,0,0,1,1,0,0
2018-07-18,3,0,0,1,1,0,0
2018-07-19,3,0,0,1,0,1,0
2018-07-20,6,0,0,0,0,1,0
2018-07-21,3,0,0,0,3,1,0
2018-07-22,3,0,0,0,3,0,0
2018-07-23,2,0,0,1,0,1,0
2018-07-24,1,0,0,1,1,2,0
2018-07-25,2,0,0,0,2,1,0
2018-07-26,6,0,0,0,5,0,0
2018-07-27,3,0,0,0,2,1,0
2018-07-28,6,0,0,1,1,0,0
2018-07-29,2,0,0,0,1,1,0
2018-07-30,5,0,0,1,0,2,0
2018-07-31,3,0,0,1,0,0,0
2018-08-01,2,0,0,0,1,0,0
2018-08-02,3,0,0,0,1,0,0
2018-08-03,4,0,0,3,0,1,1
2018-08-04,4,0,0,0,1,1,0
2018-08-05,3,0,0,0,2,1,0
2018-08-06,3,0,0,1,1,1,0
2018-08-07,2,0,0,1,1,1,0
2018-08-08,4,0,0,0,0,0,0
2018-08-09,4,0,0,0,3,0,0
2018-08-10,0,0,0,0,1,0,0
2018-08-11,1,0,0,1,0,3,0
2018-08-12,1,0,0,0,1,0,0
2018-08-13,3,0,0,1,1,2,1
2018-08-14,3,0,0,1,2,0,0
2018-08-15,5,0,0,2,0,2,0
2018-08-16,8,0,0,0,3,1,0
2018-08-17,0,0,0,0,2,1,0
2018-08-18,1,0,0,0,0,1,0
2018-08-19,4,0,0,0,1,1,0
2018-08-20,1,0,0,1,2,1,0
2018-08-21,5,0,0,0,0,0,0
2018-08-22,1,0,0,0,2,4,0
2018-08-23,8,0,0,0,2,0,0
2018-08-24,4,0,0,0,0,1,0
2018-08-25,3,0,0,2,2,0,0
2018-08-26,5,0,0,1,3,1,0
2018-08-27,3,0,0,0,1,1,0
2018-08-28,3,0,0,2,0,1,0
2018-08-29,5,0,0,1,0,3,0
2018-08-30,3,0,0,2,1,0,0
2018-08-31,7,0,0,0,0,0,1
2018-09-01,6,0,0,0,0,0,0
2018-09-02,1,0,0,0,1,1,0
2018-09-03,4,0,0,0,1,1,0
2018-09-04,1,0,0,0,0,0,0
2018-09-05,4,0,0,1,0,0,0
2018-09-06,3,0,1,1,0,1,0
2018-09-07,0,0,0,1,2,4,0
2018-09-08,3,0,0,2,0,3,0
2018-09-09,6,0,0,0,1,1,0
2018-09-10,3,0,0,0,0,1,0
2018-09-11,1,0,0,2,2,1,0
2018-09-12,4,0,0,0,1,3,0
2018-09-13,1,0,0,0,1,1,0
2018-09-14,5,0,0,0,0,1,0
2018-09-15,0,0,0,2,1,1,0
2018-09-16,7,0,0,1,0,0,0
2018-09-17,6,0,0,1,0,2,0
2018-09-18,2,0,1,0,1,2,0
2018-09-19,6,0,0,0,3,3,0
2018-09-20,3,0,0,1,1,0,0
2018-09-21,3,0,0,0,3,1,0
2018-09-22,4,0,0,1,1,5,0
2018-09-23,5,0,0,2,4,2,0
2018-09-24,2,0,0,1,1,0,0
2018-09-25,7,0,0,0,1,0,0
2018-09-26,5,0,0,0,2,2,0
2018-09-27,4,0,0,2,1,0,0
2018-09-28,3,0,0,0,1,0,0
2018-09-29,5,0,0,0,0,1,0
2018-09-30,4,0,0,1,0,0,0
2018-10-01,5,0,0,0,1,1,0
2018-10-02,5,0,0,0,0,1,0
2018-10-03,4,0,0,0,0,0,0
2018-10-04,2,0,0,0,0,2,0
2018-10-05,3,0,0,0,3,0,0
2018-10-06,4,0,0,0,0,1,0
2018-10-07,10,0,0,1,2,0,0
2018-10-08,1,0,0,1,0,2,0
2018-10-09,3,0,0,0,1,2,0
2018-10-10,5,0,0,1,1,0,0
2018-10-11,2,0,0,1,1,2,0
2018-10-12,4,0,0,1,1,0,0
2018-10-13,3,0,0,0,3,1,0
2018-10-14,4,0,0,0,2,3,0
2018-10-15,2,0,0,1,0,0,0
2018-10-16,2,0,0,0,0,0,0
2018-10-17,8,0,0,0,0,0,0
2018-10-18,3,0,0,1,0,0,0
2018-10-19,1,0,0,1,1,0,0
2018-10-20,2,0,0,0,2,1,0
2018-10-21,6,0,0,0,3,1,1
2018-10-22,2,0,0,2,2,0,0
2018-10-23,6,0,0,0,1,2,0
2018-10-24,6,0,0,0,2,1,0
2018-10-25,5,0,0,1,0,2,0
2018-10-26,2,0,0,0,2,3,0
2018-10-27,3,0,0,2,1,1,0
2018-10-28,6,0,0,0,1,0,0
2018-10-29,2,0,0,1,0,2,0
2018-10-30,3,0,0,1,2,2,0
2018-10-31,1,0,1,0,0,2,0
2018-11-01,4,0,0,0,2,2,0
2018-11-02,4,0,0,0,2,1,0
2018-11-03,5,0,0,2,3,1,0
2018-11-04,0,0,0,0,2,0,0
2018-11-05,6,0,0,1,0,1,0
2018-11-06,2,0,0,0,4,0,1
2018-11-07,5,0,0,0,2,2,0
2018-11-08,5,0,0,0,1,1,1
2018-11-09,1,0,0,0,0,1,0
2018-11-10,4,0,0,0,3,2,0
2018-11-11,3,0,0,1,2,1,0
2018-11-12,4,0,0,1,2,1,0
2018-11-13,5,0,0,0,2,1,0
2018-11-14,3,0,0,1,0,3,0
2018-11-15,3,0,0,0,2,3,0
2018-11-16,3,0,0,1,0,0,0
2018-11-17,1,0,0,0,2,1,0
2018-11-18,8,0,0,1,1,0,0
2018-11-19,1,0,0,0,0,0,0
2018-11-20,1,0,0,0,0,0,0
2018-11-21,3,0,0,0,1,2,0
2018-11-22,5,0,0,0,1,0,0
2018-11-23,0,0,0,1,0,0,0
2018-11-24,6,0,0,0,1,0,0
2018-11-25,3,0,0,0,1,2,0
2018-11-26,3,0,0,1,0,2,0
2018-11-27,3,0,0,0,0,0,0
2018-11-28,6,0,0,0,0,0,0
2018-11-29,3,0,0,1,0,0,0
2018-11-30,0,0,0,1,1,3,0
2018-12-01,4,0,0,0,3,1,0
2018-12-02,8,0,0,2,0,0,0
2018-12-03,0,0,0,1,1,1,0
2018-12-04,4,0,0,0,2,2,0
2018-12-05,3,0,0,0,0,1,0
2018-12-06,5,0,0,0,1,2,0
2018-12-07,3,0,0,1,1,2,0
2018-12-08,3,0,0,2,1,2,0
2018-12-09,2,0,0,1,0,1,0
2018-12-10,4,0,1,0,0,0,0
2018-12-11,2,0,1,2,2,5,0
2018-12-12,3,0,0,0,0,1,0
2018-12-13,3,0,0,0,0,0,1
2018-12-14,2,0,0,0,0,0,0
2018-12-15,4,0,0,0,2,0,1
2018-12-16,4,0,0,0,1,1,0
2018-12-17,4,0,0,1,3,3,0
2018-12-18,8,0,0,1,1,3,0
2018-12-19,2,0,0,0,3,1,0
2018-12-20,4,0,0,0,1,0,0
2018-12-21,8,0,0,1,2,1,0
2018-12-22,5,0,0,0,2,1,0
2018-12-23,5,0,0,0,1,1,0
2018-12-24,3,0,0,1,1,1,0
2018-12-25,5,0,0,0,0,2,0
2018-12-26,3,0,0,1,3,0,0
2018-12-27,6,0,0,1,0,1,0
2018-12-28,2,0,0,2,1,0,0
2018-12-29,4,0,0,1,1,2,0
2018-12-30,5,0,0,1,1,1,0
2018-12-31,5,0,0,2,1,1,0
2019-01-01,4,0,1,0,1,1,0
2019-01-02,6,0,0,1,0,1,0
2019-01-03,4,0,0,1,1,3,0
2019-01-04,3,0,0,0,0,3,0
2019-01-05,4,0,0,1,1,3,0
2019-01-06,3,0,0,0,0,0,0
2019-01-07,3,0,0,0,0,2,0
2019-01-08,3,0,0,0,0,1,0
2019-01-09,3,0,0,0,2,1,0
2019-01-10,3,0,0,0,0,2,0
2019-01-11,2,0,0,1,0,0,0
2019-01-12,4,0,0,0,3,0,0
2019-01-13,3,0,0,1,1,0,0
2019-01-14,4,0,0,0,0,0,0
2019-01-15,3,0,0,1,1,2,0
2019-01-16,2,0,0,0,1,2,0
2019-01-17,3,0,0,1,1,0,0
2019-01-18,3,0,0,1,0,3,0
2019-01-19,5,0,0,0,0,0,0
2019-01-20,4,0,0,2,0,0,0
2019-01-21,3,0,0,0,1,1,0
2019-01-22,4,0,0,0,2,1,0
2019-01-23,4,0,0,0,1,4,0
2019-01-24,6,0,0,0,1,0,0
2019-01-25,8,0,0,1,0,1,0
2019-01-26,2,0,0,1,2,2,0
2019-01-27,4,0,0,0,2,1,0
2019-01-28,3,0,0,0,1,2,0
2019-01-29,7,0,0,1,0,1,0
2019-01-30,2,0,0,1,1,1,0
2019-01-31,2,0,0,0,1,2,0
2019-02-01,2,0,0,1,1,1,0
2019-02-02,2,0,1,0,0,2,0
2019-02-03,1,0,0,1,1,1,0
2019-02-04,3,0,0,0,5,0,0
2019-02-05,2,0,0,1,2,0,0
2019-02-06,0,0,0,0,0,1,0
2019-02-07,1,0,0,2,3,0,0
2019-02-08,1,0,0,1,2,1,0
2019-02-09,4,0,0,0,2,0,0
2019-02-10,4,0,0,1,1,3,0
2019-02-11,5,0,0,1,5,2,0
2019-02-12,4,0,0,0,0,1,0
2019-02-13,5,0,1,1,5,0,0
2019-02-14,3,0,0,0,0,1,0
2019-02-15,5,0,0,0,2,2,0
2019-02-16,3,0,0,0,2,2,0
2019-02-17,3,0,0,0,3,0,0
2019-02-18,5,0,0,0,4,0,0
2019-02-19,3,0,0,2,1,0,0
2019-02-20,1,0,0,0,1,0,0
2019-02-21,4,0,0,1,1,0,0
2019-02-22,2,0,0,1,2,0,0
2019-02-23,3,0,0,1,1,3,0
2019-02-24,5,0,0,0,1,2,0
2019-02-25,3,0,0,0,0,4,0
2019-02-26,4,0,0,0,1,1,0
2019-02-27,4,0,0,1,1,0,0
2019-02-28,3,0,0,0,1,1,0
2019-03-01,3,0,0,2,0,1,0
2019-03-02,4,0,0,2,3,3,0
2019-03-03,3,0,0,1,0,0,0
2019-03-04,4,0,0,0,1,1,0
2019-03-05,3,0,0,1,3,3,0
2019-03-06,5,0,0,1,1,0,0
2019-03-07,3,0,0,0,0,2,0
2019-03-08,3,0,0,1,1,0,0
2019-03-09,8,0,0,0,2,0,0
2019-03-10,2,0,0,0,3,2,0
2019-03-11,7,0,0,0,1,1,0
2019-03-12,4,0,0,0,0,3,0
2019-03-13,2,0,0,0,1,3,0
2019-03-14,1,0,0,0,0,1,0
2019-03-15,4,0,0,2,2,0,0
2019-03-16,1,0,0,0,2,1,0
2019-03-17,6,0,0,1,1,3,0
2019-03-18,8,0,0,1,1,2,0
2019-03-19,3,0,0,2,2,1,0
2019-03-20,7,0,0,1,1,3,0
2019-03-21,2,0,0,0,0,1,0
2019-03-22,6,0,0,3,4,0,0
2019-03-23,5,0,0,0,3,3,0
2019-03-24,6,0,0,1,0,2,0
2019-03-25,3,0,0,1,3,4,0
2019-03-26,3,0,0,1,4,1,0
2019-03-27,3,0,0,0,2,0,0
2019-03-28,3,0,0,2,1,2,0
2019-03-29,4,0,0,1,0,0,0
2019-03-30,1,0,0,1,1,3,0
2019-03-31,3,0,0,0,2,1,0
2019-04-01,5,0,0,1,4,1,0
2019-04-02,2,0,0,1,2,2,0
2019-04-03,5,0,0,0,3,1,0
2019-04-04,10,0,0,0,1,2,0
2019-04-05,0,0,0,2,1,0,0
2019-04-06,4,0,0,3,1,0,0
2019-04-07,5,0,0,2,3,0,0
2019-04-08,1,0,0,0,4,1,0
2019-04-09,6,0,0,0,1,2,0
