DATA_OBITO,OUTRAS,COVID - GO,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,64,0,0,7,13,11,0
2018-01-02,43,0,0,6,16,8,0
2018-01-03,41,0,0,7,19,10,0
2018-01-04,57,0,0,6,9,8,1
2018-01-05,32,0,0,5,11,11,0
2018-01-06,47,0,1,4,20,11,0
2018-01-07,37,0,0,6,19,7,0
2018-01-08,54,0,0,9,15,11,0
2018-01-09,47,0,0,2,24,11,0
2018-01-10,30,0,1,11,14,13,0
2018-01-11,38,0,0,9,17,12,0
2018-01-12,27,0,0,7,13,6,0
2018-01-13,37,0,0,6,14,13,0
2018-01-14,40,0,0,6,15,6,0
2018-01-15,36,0,0,7,13,5,0
2018-01-16,41,0,0,4,14,9,0
2018-01-17,46,0,0,5,18,9,0
2018-01-18,39,0,1,11,14,9,0
2018-01-19,48,0,0,10,18,13,0
2018-01-20,53,0,0,8,24,12,0
2018-01-21,39,0,0,9,11,9,1
2018-01-22,40,0,0,7,18,13,1
2018-01-23,44,0,0,12,13,10,0
2018-01-24,35,0,1,8,16,7,0
2018-01-25,52,0,0,12,12,10,0
2018-01-26,49,0,0,8,19,12,0
2018-01-27,42,0,1,2,14,9,0
2018-01-28,24,0,0,4,18,15,0
2018-01-29,41,0,0,12,17,9,0
2018-01-30,33,0,0,4,17,6,0
2018-01-31,44,0,0,15,6,11,0
2018-02-01,48,0,0,9,17,8,0
2018-02-02,39,0,0,9,10,6,0
2018-02-03,48,0,0,5,16,5,0
2018-02-04,35,0,0,10,11,15,0
2018-02-05,37,0,0,6,8,5,0
2018-02-06,43,0,0,14,19,7,0
2018-02-07,43,0,0,5,20,10,0
2018-02-08,44,0,0,6,17,8,0
2018-02-09,39,0,0,7,18,15,0
2018-02-10,38,0,1,5,26,18,0
2018-02-11,37,0,0,5,19,10,1
2018-02-12,50,0,0,1,11,14,0
2018-02-13,59,0,0,7,13,12,0
2018-02-14,48,0,0,5,18,9,0
2018-02-15,36,0,0,7,14,13,1
2018-02-16,50,0,0,5,11,12,0
2018-02-17,39,0,0,6,18,11,0
2018-02-18,44,0,0,5,13,13,0
2018-02-19,46,0,1,7,19,11,0
2018-02-20,40,0,0,11,10,8,0
2018-02-21,55,0,0,8,9,7,0
2018-02-22,38,0,0,2,17,7,0
2018-02-23,47,0,0,3,15,12,1
2018-02-24,46,0,0,11,13,7,0
2018-02-25,44,0,0,3,14,7,0
2018-02-26,47,0,1,16,18,9,0
2018-02-27,46,0,0,8,14,11,0
2018-02-28,39,0,0,9,17,9,0
2018-03-01,61,0,0,7,14,12,0
2018-03-02,42,0,0,9,16,12,1
2018-03-03,55,0,1,7,13,9,0
2018-03-04,46,0,0,9,18,20,0
2018-03-05,44,0,1,10,14,12,0
2018-03-06,39,0,0,13,15,9,0
2018-03-07,49,0,1,6,16,8,0
2018-03-08,35,0,1,3,18,13,0
2018-03-09,41,0,0,8,17,8,0
2018-03-10,51,0,0,6,12,11,0
2018-03-11,54,0,0,7,18,4,0
2018-03-12,47,0,1,6,16,7,0
2018-03-13,50,0,0,6,16,11,0
2018-03-14,34,0,0,11,16,9,1
2018-03-15,45,0,1,4,14,11,0
2018-03-16,39,0,0,3,16,10,0
2018-03-17,44,0,1,11,16,16,0
2018-03-18,53,0,1,6,13,19,0
2018-03-19,57,0,0,6,18,6,1
2018-03-20,50,0,0,9,26,10,0
2018-03-21,34,0,2,9,14,7,1
2018-03-22,42,0,0,13,11,11,0
2018-03-23,50,0,0,9,13,9,0
2018-03-24,51,0,1,11,13,13,0
2018-03-25,44,0,0,6,18,18,0
2018-03-26,37,0,0,13,20,6,0
2018-03-27,35,0,0,2,10,5,0
2018-03-28,37,0,0,10,18,12,1
2018-03-29,51,0,0,8,17,11,1
2018-03-30,55,0,0,14,17,11,1
2018-03-31,57,0,0,9,17,10,0
2018-04-01,55,0,0,6,14,17,2
2018-04-02,53,0,0,9,17,12,0
2018-04-03,43,0,0,9,22,12,1
2018-04-04,60,0,0,9,19,13,0
2018-04-05,30,0,1,7,14,12,0
2018-04-06,37,0,2,10,20,9,0
2018-04-07,40,0,1,5,27,10,0
2018-04-08,53,0,1,10,18,8,0
2018-04-09,49,0,0,8,28,14,1
2018-04-10,58,0,0,13,19,11,0
2018-04-11,54,0,0,11,23,11,0
2018-04-12,46,0,0,9,25,9,1
2018-04-13,41,0,0,4,13,16,0
2018-04-14,46,0,0,2,26,10,2
2018-04-15,57,0,2,8,15,10,0
2018-04-16,48,0,1,3,15,13,0
2018-04-17,47,0,1,3,13,11,0
2018-04-18,44,0,0,6,17,14,1
2018-04-19,55,0,1,6,26,7,1
2018-04-20,44,0,1,11,25,13,0
2018-04-21,41,0,0,10,19,10,0
2018-04-22,51,0,1,10,13,8,0
2018-04-23,54,0,0,11,19,14,0
2018-04-24,47,0,0,10,23,7,0
2018-04-25,49,0,0,3,16,7,1
2018-04-26,30,0,0,9,24,8,0
2018-04-27,45,0,0,11,20,11,0
2018-04-28,42,0,0,14,23,13,0
2018-04-29,47,0,0,5,30,11,0
2018-04-30,41,0,0,6,28,15,0
2018-05-01,28,0,1,8,19,16,1
2018-05-02,46,0,0,9,22,14,0
2018-05-03,51,0,0,13,22,19,0
2018-05-04,49,0,0,5,19,8,0
2018-05-05,37,0,0,9,21,10,0
2018-05-06,31,0,0,7,21,11,0
2018-05-07,42,0,0,8,24,8,0
2018-05-08,44,0,0,4,16,7,0
2018-05-09,49,0,0,8,18,9,0
2018-05-10,47,0,0,6,16,8,0
2018-05-11,46,0,0,9,16,12,0
2018-05-12,35,0,0,9,15,6,1
2018-05-13,54,0,0,5,18,4,0
2018-05-14,34,0,0,11,18,10,0
2018-05-15,55,0,1,7,18,10,0
2018-05-16,45,0,0,11,21,6,0
2018-05-17,50,0,0,3,15,14,0
2018-05-18,44,0,0,11,22,7,0
2018-05-19,53,0,2,12,12,9,0
2018-05-20,50,0,1,5,18,8,1
2018-05-21,40,0,1,12,16,3,0
2018-05-22,46,0,0,10,18,8,0
2018-05-23,54,0,0,7,12,11,0
2018-05-24,43,0,0,7,16,12,0
2018-05-25,36,0,2,12,18,10,1
2018-05-26,48,0,0,14,16,10,0
2018-05-27,54,0,0,9,13,10,0
2018-05-28,51,0,0,6,15,5,0
2018-05-29,42,0,0,9,11,9,0
2018-05-30,33,0,0,8,18,11,0
2018-05-31,50,0,0,6,14,10,0
2018-06-01,50,0,0,4,21,8,0
2018-06-02,51,0,0,7,11,8,0
2018-06-03,40,0,0,7,12,8,0
2018-06-04,48,0,0,8,13,8,0
2018-06-05,49,0,1,11,11,12,0
2018-06-06,52,0,1,3,10,8,0
2018-06-07,36,0,0,5,23,10,1
2018-06-08,55,0,0,5,18,4,0
2018-06-09,41,0,1,7,20,4,0
2018-06-10,41,0,1,7,18,12,0
2018-06-11,46,0,1,9,21,4,0
2018-06-12,46,0,0,6,17,11,0
2018-06-13,37,0,0,7,20,9,0
2018-06-14,50,0,0,6,7,8,0
2018-06-15,37,0,0,11,11,7,0
2018-06-16,44,0,1,15,17,12,0
2018-06-17,39,0,0,9,19,4,0
2018-06-18,42,0,0,8,14,6,0
2018-06-19,34,0,0,8,16,7,0
2018-06-20,38,0,0,5,11,8,0
2018-06-21,48,0,0,7,16,10,0
2018-06-22,44,0,1,8,17,15,0
2018-06-23,49,0,0,7,17,11,0
2018-06-24,38,0,0,7,24,8,0
2018-06-25,57,0,1,8,12,9,0
2018-06-26,37,0,0,9,16,11,0
2018-06-27,45,0,1,5,18,10,0
2018-06-28,49,0,1,10,18,8,0
2018-06-29,38,0,0,6,12,10,0
2018-06-30,28,0,0,8,23,13,0
2018-07-01,44,0,0,7,18,6,0
2018-07-02,60,0,1,9,12,5,0
2018-07-03,46,0,0,9,14,9,0
2018-07-04,41,0,2,5,16,9,0
2018-07-05,42,0,1,4,19,9,0
2018-07-06,54,0,2,8,13,9,0
2018-07-07,46,0,0,10,19,6,0
2018-07-08,63,0,1,4,19,8,0
2018-07-09,42,0,1,12,14,11,0
2018-07-10,39,0,1,4,21,11,0
2018-07-11,41,0,0,4,13,6,0
2018-07-12,34,0,0,8,21,8,0
2018-07-13,44,0,0,8,18,11,0
2018-07-14,35,0,0,12,22,8,0
2018-07-15,42,0,0,7,14,4,0
2018-07-16,38,0,0,10,13,14,0
2018-07-17,44,0,0,11,20,5,0
2018-07-18,46,0,0,15,13,7,0
2018-07-19,46,0,0,10,14,10,0
2018-07-20,41,0,0,7,17,10,0
2018-07-21,43,0,1,15,15,11,0
2018-07-22,32,0,0,8,14,11,0
2018-07-23,42,0,1,7,22,11,0
2018-07-24,53,0,1,8,16,7,0
2018-07-25,41,0,0,4,15,8,0
2018-07-26,45,0,0,12,13,13,0
2018-07-27,33,0,1,9,14,15,0
2018-07-28,31,0,0,3,12,10,0
2018-07-29,38,0,0,7,10,7,0
2018-07-30,42,0,0,11,14,8,0
2018-07-31,46,0,0,4,11,9,0
2018-08-01,44,0,1,5,16,12,0
2018-08-02,47,0,1,8,21,6,0
2018-08-03,42,0,0,7,18,14,1
2018-08-04,42,0,0,5,17,10,0
2018-08-05,54,0,0,5,12,7,0
2018-08-06,40,0,1,10,25,15,0
2018-08-07,42,0,0,6,14,10,1
2018-08-08,52,0,1,10,17,5,0
2018-08-09,37,0,0,10,12,11,0
2018-08-10,44,0,0,12,12,9,0
2018-08-11,37,0,0,15,19,7,0
2018-08-12,23,0,0,3,13,11,0
2018-08-13,37,0,0,9,17,12,0
2018-08-14,28,0,0,12,19,5,0
2018-08-15,34,0,1,5,13,11,0
2018-08-16,33,0,0,3,19,5,0
2018-08-17,38,0,0,9,19,8,0
2018-08-18,33,0,0,11,12,16,0
2018-08-19,43,0,1,10,7,7,0
2018-08-20,33,0,0,9,7,7,0
2018-08-21,37,0,0,5,5,6,0
2018-08-22,21,0,0,6,4,9,0
2018-08-23,22,0,0,2,10,5,0
2018-08-24,28,0,0,6,6,2,0
2018-08-25,28,0,2,5,7,6,0
2018-08-26,17,0,0,6,8,4,0
2018-08-27,39,0,0,5,13,4,0
2018-08-28,22,0,0,4,7,5,0
2018-08-29,28,0,0,5,9,5,0
2018-08-30,34,0,0,3,6,9,0
2018-08-31,28,0,0,9,14,5,0
2018-09-01,32,0,0,8,11,4,0
2018-09-02,34,0,0,2,17,9,0
2018-09-03,34,0,1,9,14,6,0
2018-09-04,29,0,0,7,14,7,0
2018-09-05,41,0,1,7,13,10,0
2018-09-06,40,0,1,14,11,11,0
2018-09-07,40,0,0,9,11,4,0
2018-09-08,33,0,0,3,10,8,0
2018-09-09,38,0,0,11,14,13,0
2018-09-10,41,0,0,12,11,13,0
2018-09-11,34,0,0,5,8,8,0
2018-09-12,33,0,0,9,18,8,0
2018-09-13,48,0,0,9,13,14,0
2018-09-14,28,0,1,6,12,12,0
2018-09-15,40,0,0,3,15,6,0
2018-09-16,28,0,0,4,9,13,0
2018-09-17,32,0,0,6,13,10,0
2018-09-18,23,0,0,3,4,12,0
2018-09-19,37,0,0,4,12,10,0
2018-09-20,37,0,0,7,13,7,0
2018-09-21,47,0,0,9,12,6,1
2018-09-22,38,0,0,11,13,9,0
2018-09-23,27,0,0,10,19,12,0
2018-09-24,40,0,2,8,11,6,0
2018-09-25,42,0,0,3,15,6,0
2018-09-26,43,0,0,8,11,11,0
2018-09-27,40,0,1,10,6,8,0
2018-09-28,34,0,0,10,16,7,0
2018-09-29,44,0,0,7,16,9,1
2018-09-30,41,0,0,5,18,14,0
2018-10-01,36,0,0,8,15,17,0
2018-10-02,40,0,1,8,15,7,0
2018-10-03,39,0,0,5,16,11,0
2018-10-04,37,0,0,10,14,9,0
2018-10-05,40,0,1,9,20,8,0
2018-10-06,30,0,1,11,22,8,0
2018-10-07,37,0,3,9,13,8,0
2018-10-08,35,0,1,6,9,5,0
2018-10-09,34,0,0,11,21,10,0
2018-10-10,36,0,0,10,17,6,0
2018-10-11,46,0,1,10,10,6,0
2018-10-12,42,0,2,12,16,7,0
2018-10-13,42,0,0,10,12,11,0
2018-10-14,53,0,0,13,15,10,0
2018-10-15,35,0,1,13,18,12,0
2018-10-16,40,0,0,8,15,11,0
2018-10-17,30,0,1,8,16,5,0
2018-10-18,34,0,0,5,13,9,1
2018-10-19,36,0,0,11,11,10,0
2018-10-20,33,0,0,9,11,10,0
2018-10-21,47,0,0,12,17,10,0
2018-10-22,31,0,0,9,13,10,0
2018-10-23,28,0,1,4,22,10,1
2018-10-24,49,0,1,9,14,12,0
2018-10-25,37,0,0,3,16,12,0
2018-10-26,40,0,1,7,15,12,0
2018-10-27,32,0,0,6,15,9,0
2018-10-28,35,0,0,13,19,10,0
2018-10-29,44,0,0,5,15,10,1
2018-10-30,38,0,0,7,11,11,0
2018-10-31,32,0,0,7,18,3,0
2018-11-01,44,0,0,8,13,8,0
2018-11-02,37,0,0,11,13,7,0
2018-11-03,38,0,0,6,16,9,0
2018-11-04,37,0,2,6,16,7,0
2018-11-05,31,0,1,5,12,8,0
2018-11-06,44,0,0,11,13,8,0
2018-11-07,33,0,0,8,18,8,0
2018-11-08,40,0,0,8,11,13,0
2018-11-09,47,0,0,9,14,7,0
2018-11-10,39,0,1,10,12,14,0
2018-11-11,46,0,0,8,15,7,0
2018-11-12,38,0,1,8,25,5,1
2018-11-13,41,0,0,12,19,7,0
2018-11-14,39,0,0,8,14,7,0
2018-11-15,46,0,0,11,14,10,0
2018-11-16,41,0,0,9,13,10,0
2018-11-17,36,0,1,5,13,8,0
2018-11-18,45,0,0,8,14,5,0
2018-11-19,37,0,0,10,15,9,0
2018-11-20,44,0,0,11,9,6,0
2018-11-21,44,0,0,7,15,7,0
2018-11-22,40,0,2,10,17,9,0
2018-11-23,36,0,0,11,13,9,1
2018-11-24,39,0,0,5,10,10,0
2018-11-25,33,0,0,8,16,7,0
2018-11-26,54,0,0,8,19,12,0
2018-11-27,33,0,0,5,15,9,0
2018-11-28,32,0,1,7,16,8,0
2018-11-29,34,0,1,6,12,9,0
2018-11-30,37,0,0,7,18,14,0
2018-12-01,46,0,0,8,16,13,0
2018-12-02,38,0,2,7,17,11,0
2018-12-03,36,0,0,5,18,13,0
2018-12-04,32,0,0,12,16,8,0
2018-12-05,32,0,1,5,14,7,0
2018-12-06,30,0,2,11,14,15,0
2018-12-07,42,0,0,4,12,18,0
2018-12-08,50,0,0,11,17,12,0
2018-12-09,38,0,1,4,19,10,1
2018-12-10,25,0,0,5,9,10,0
2018-12-11,26,0,0,7,16,2,0
2018-12-12,27,0,1,5,8,7,1
2018-12-13,32,0,0,1,10,6,0
2018-12-14,27,0,0,7,20,6,0
2018-12-15,30,0,1,3,11,2,0
2018-12-16,35,0,1,6,9,7,0
2018-12-17,37,0,0,11,9,3,0
2018-12-18,38,0,1,8,19,10,0
2018-12-19,32,0,0,8,19,11,0
2018-12-20,43,0,0,12,33,5,0
2018-12-21,50,0,0,6,16,19,0
2018-12-22,38,0,0,10,14,14,0
2018-12-23,50,0,1,11,13,10,0
2018-12-24,35,0,0,6,17,9,0
2018-12-25,39,0,0,6,14,8,0
2018-12-26,45,0,0,6,16,15,0
2018-12-27,46,0,0,7,17,13,0
2018-12-28,41,0,0,4,11,11,0
2018-12-29,46,0,0,7,9,6,0
2018-12-30,40,0,1,9,13,11,0
2018-12-31,34,0,0,8,15,10,0
2019-01-01,36,0,0,6,15,12,0
2019-01-02,43,0,1,14,10,9,0
2019-01-03,49,0,0,8,13,12,0
2019-01-04,28,0,0,3,17,7,1
2019-01-05,30,0,0,6,16,7,0
2019-01-06,44,0,0,8,21,11,0
2019-01-07,51,0,0,5,12,7,0
2019-01-08,54,0,1,8,20,18,0
2019-01-09,37,0,0,10,11,14,0
2019-01-10,29,0,0,9,14,7,0
2019-01-11,56,0,0,8,16,9,0
2019-01-12,40,0,0,7,21,11,0
2019-01-13,33,0,0,7,13,16,0
2019-01-14,37,0,0,12,12,10,0
2019-01-15,47,0,0,6,20,13,0
2019-01-16,44,0,0,6,15,16,0
2019-01-17,44,0,1,7,22,13,0
2019-01-18,45,0,1,7,16,15,0
2019-01-19,32,0,1,12,10,6,2
2019-01-20,36,0,1,8,23,12,0
2019-01-21,39,0,0,10,16,11,0
2019-01-22,47,0,1,12,16,6,0
2019-01-23,48,0,0,8,13,9,0
2019-01-24,32,0,0,8,8,11,0
2019-01-25,42,0,0,10,21,16,0
2019-01-26,34,0,1,12,30,11,0
2019-01-27,36,0,0,11,14,10,0
2019-01-28,36,0,0,11,19,10,0
2019-01-29,38,0,0,4,15,15,0
2019-01-30,56,0,2,3,9,12,1
2019-01-31,51,0,0,6,23,11,0
2019-02-01,31,0,0,10,16,9,0
2019-02-02,38,0,1,7,17,9,0
2019-02-03,48,0,0,10,18,11,0
2019-02-04,44,0,0,8,13,11,0
2019-02-05,41,0,0,4,18,11,0
2019-02-06,43,0,0,8,15,5,0
2019-02-07,34,0,0,8,20,3,0
2019-02-08,41,0,0,10,18,11,1
2019-02-09,40,0,0,6,18,11,0
2019-02-10,43,0,1,4,11,11,0
2019-02-11,42,0,0,14,19,9,1
2019-02-12,48,0,1,9,14,13,0
2019-02-13,34,0,0,6,19,10,0
2019-02-14,38,0,0,6,10,7,0
2019-02-15,37,0,1,16,18,9,0
2019-02-16,41,0,2,2,20,8,1
2019-02-17,41,0,0,7,15,11,0
2019-02-18,47,0,0,8,14,11,0
2019-02-19,37,0,0,6,10,6,0
2019-02-20,35,0,0,4,13,8,1
2019-02-21,34,0,0,13,11,11,0
2019-02-22,35,0,0,12,19,12,0
2019-02-23,39,0,0,7,17,10,0
2019-02-24,41,0,0,4,19,7,0
2019-02-25,43,0,0,8,17,12,0
2019-02-26,53,0,0,7,18,6,0
2019-02-27,39,0,0,11,13,14,1
2019-02-28,42,0,0,5,21,12,0
2019-03-01,45,0,0,6,13,11,0
2019-03-02,27,0,0,11,15,9,0
2019-03-03,31,0,0,4,10,9,0
2019-03-04,34,0,0,8,11,12,0
2019-03-05,40,0,1,6,16,6,0
2019-03-06,42,0,0,9,10,2,0
2019-03-07,45,0,0,8,13,10,1
2019-03-08,42,0,0,8,13,7,0
2019-03-09,44,0,1,9,12,12,0
2019-03-10,36,0,1,10,23,12,0
2019-03-11,47,0,0,5,12,14,0
2019-03-12,39,0,0,8,20,6,0
2019-03-13,55,0,0,9,22,9,0
2019-03-14,39,0,0,7,18,5,0
2019-03-15,49,0,0,11,15,14,1
2019-03-16,33,0,0,11,24,9,0
2019-03-17,40,0,0,9,17,6,0
2019-03-18,58,0,0,6,17,8,0
2019-03-19,43,0,0,5,22,11,0
2019-03-20,62,0,1,6,21,10,0
2019-03-21,37,0,0,7,15,10,0
2019-03-22,28,0,0,6,15,11,1
2019-03-23,40,0,1,7,22,7,0
2019-03-24,33,0,0,14,18,7,0
2019-03-25,33,0,1,8,23,16,0
2019-03-26,41,0,1,12,16,10,0
2019-03-27,40,0,0,11,25,12,0
2019-03-28,33,0,0,10,21,7,1
2019-03-29,44,0,0,7,18,5,0
2019-03-30,43,0,0,5,18,11,0
2019-03-31,33,0,1,7,20,11,0
2019-04-01,46,0,0,9,24,6,0
2019-04-02,51,0,0,5,21,8,0
2019-04-03,43,0,1,7,24,8,0
2019-04-04,41,0,0,8,12,14,0
2019-04-05,48,0,1,10,16,8,0
2019-04-06,36,0,3,8,20,18,0
2019-04-07,29,0,0,13,26,8,0
2019-04-08,42,0,1,8,13,14,0
2019-04-09,45,0,0,9,18,18,0
2019-04-10,43,0,0,7,19,6,0
2019-04-11,50,0,0,6,16,7,1
2019-04-12,37,0,0,5,20,11,0
2019-04-13,53,0,0,6,12,7,0
2019-04-14,48,0,1,9,13,9,0
2019-04-15,53,0,1,8,23,10,1
2019-04-16,43,0,0,6,19,17,0
