DATA_OBITO,OUTRAS,COVID - GO,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-04-17,54,0,2,9,16,10,0
2019-04-18,45,0,0,7,21,13,0
2019-04-19,33,0,0,7,16,10,0
2019-04-20,56,0,1,7,14,14,0
2019-04-21,32,0,0,13,14,6,0
2019-04-22,49,0,0,8,22,10,1
2019-04-23,51,0,1,12,16,15,0
2019-04-24,47,0,0,7,11,9,0
2019-04-25,46,0,0,11,24,20,0
2019-04-26,42,0,1,5,19,5,0
2019-04-27,50,0,1,9,16,8,0
2019-04-28,45,0,0,7,18,9,0
2019-04-29,44,0,1,8,27,8,0
2019-04-30,48,0,0,5,11,15,0
2019-05-01,44,0,1,7,25,9,0
2019-05-02,45,0,0,7,18,11,0
2019-05-03,47,0,1,9,21,11,0
2019-05-04,33,0,1,4,24,9,0
2019-05-05,42,0,0,12,16,3,0
2019-05-06,40,0,0,3,14,7,0
2019-05-07,38,0,0,12,16,5,0
2019-05-08,40,0,0,5,21,14,0
2019-05-09,46,0,0,6,14,15,1
2019-05-10,50,0,0,9,20,8,0
2019-05-11,36,0,0,5,18,18,0
2019-05-12,39,0,1,8,15,14,0
2019-05-13,50,0,0,8,17,5,0
2019-05-14,46,0,0,14,12,14,0
2019-05-15,48,0,1,5,19,11,0
2019-05-16,44,0,0,6,18,11,0
2019-05-17,43,0,0,8,15,9,0
2019-05-18,37,0,2,10,9,9,0
2019-05-19,44,0,3,11,21,10,0
2019-05-20,31,0,1,12,16,11,0
2019-05-21,39,0,0,9,16,9,0
2019-05-22,43,0,1,3,18,15,0
2019-05-23,50,0,1,6,18,3,0
2019-05-24,43,0,0,9,22,15,0
2019-05-25,60,0,1,11,23,14,0
2019-05-26,55,0,1,15,22,11,0
2019-05-27,40,0,0,10,26,7,1
2019-05-28,41,0,0,7,27,10,0
2019-05-29,49,0,0,7,16,10,0
2019-05-30,43,0,0,7,16,6,0
2019-05-31,58,0,1,12,20,10,1
2019-06-01,45,0,2,11,15,12,0
2019-06-02,50,0,0,13,17,12,0
2019-06-03,48,0,2,12,27,10,0
2019-06-04,45,0,0,5,18,19,0
2019-06-05,47,0,1,12,22,11,1
2019-06-06,46,0,1,8,24,15,0
2019-06-07,52,0,0,11,14,10,0
2019-06-08,54,0,1,6,13,8,0
2019-06-09,54,0,1,7,27,11,0
2019-06-10,39,0,0,12,22,11,0
2019-06-11,42,0,0,10,25,8,0
2019-06-12,42,0,1,9,21,10,0
2019-06-13,42,0,0,11,19,9,0
2019-06-14,46,0,0,7,23,2,1
2019-06-15,43,0,1,6,18,14,0
2019-06-16,44,0,0,6,18,10,0
2019-06-17,48,0,0,11,23,10,0
2019-06-18,52,0,0,8,26,12,0
2019-06-19,55,0,0,8,21,10,0
2019-06-20,57,0,0,3,19,7,0
2019-06-21,36,0,0,14,27,8,0
2019-06-22,47,0,0,9,23,14,1
2019-06-23,44,0,1,6,18,6,0
2019-06-24,44,0,0,11,26,7,0
2019-06-25,56,0,1,11,18,5,0
2019-06-26,47,0,0,8,18,7,0
2019-06-27,53,0,0,6,16,13,2
2019-06-28,33,0,0,9,21,10,0
2019-06-29,49,0,1,13,15,7,0
2019-06-30,35,0,1,5,21,11,1
2019-07-01,38,0,0,12,27,14,0
2019-07-02,44,0,1,14,20,13,0
2019-07-03,40,0,2,10,20,17,0
2019-07-04,50,0,0,9,17,11,0
2019-07-05,50,0,0,9,27,10,0
2019-07-06,38,0,1,8,19,14,1
2019-07-07,44,0,1,11,26,17,0
2019-07-08,41,0,1,12,23,9,0
2019-07-09,54,0,1,15,22,9,1
2019-07-10,53,0,0,9,17,11,0
2019-07-11,61,0,1,12,18,18,1
2019-07-12,42,0,0,9,22,9,0
2019-07-13,48,0,0,9,23,12,0
2019-07-14,40,0,0,12,20,10,0
2019-07-15,47,0,0,8,27,12,0
2019-07-16,48,0,1,11,17,12,0
2019-07-17,43,0,0,8,15,6,0
2019-07-18,41,0,0,11,16,10,0
2019-07-19,43,0,0,7,25,11,0
2019-07-20,40,0,0,9,25,10,1
2019-07-21,42,0,1,13,20,14,0
2019-07-22,42,0,0,10,24,8,0
2019-07-23,40,0,1,4,22,12,0
2019-07-24,38,0,1,8,26,6,0
2019-07-25,47,0,0,9,25,16,0
2019-07-26,44,0,0,8,23,8,0
2019-07-27,43,0,0,9,21,11,0
2019-07-28,41,0,1,5,28,16,0
2019-07-29,53,0,0,8,28,13,0
2019-07-30,48,0,0,7,19,7,1
2019-07-31,46,0,0,10,14,11,0
2019-08-01,42,0,1,6,23,8,0
2019-08-02,48,0,1,9,28,12,0
2019-08-03,42,0,0,4,21,10,0
2019-08-04,27,0,0,12,22,6,0
2019-08-05,34,0,1,7,20,13,0
2019-08-06,37,0,0,7,23,10,0
2019-08-07,41,0,0,8,18,14,0
2019-08-08,38,0,0,10,18,6,0
2019-08-09,27,0,1,8,15,5,0
2019-08-10,36,0,1,5,15,5,0
2019-08-11,38,0,1,8,10,8,0
2019-08-12,34,0,1,6,12,6,0
2019-08-13,42,0,0,14,20,11,0
2019-08-14,38,0,0,11,16,7,0
2019-08-15,32,0,0,15,21,5,1
2019-08-16,34,0,0,3,21,12,0
2019-08-17,41,0,1,10,18,13,0
2019-08-18,41,0,0,17,27,15,0
2019-08-19,35,0,1,14,25,8,0
2019-08-20,40,0,0,10,23,15,0
2019-08-21,46,0,0,8,23,8,0
2019-08-22,34,0,0,8,15,13,0
2019-08-23,32,0,0,16,21,7,0
2019-08-24,41,0,0,7,21,13,0
2019-08-25,37,0,0,9,29,8,0
2019-08-26,36,0,0,7,12,14,0
2019-08-27,42,0,0,10,17,11,0
2019-08-28,41,0,0,6,17,4,0
2019-08-29,43,0,0,6,13,11,0
2019-08-30,41,0,1,8,21,6,0
2019-08-31,55,0,1,8,16,10,0
2019-09-01,29,0,1,8,20,6,0
2019-09-02,48,0,1,10,19,11,0
2019-09-03,36,0,0,9,13,12,1
2019-09-04,49,0,0,9,31,14,0
2019-09-05,44,0,0,11,19,12,0
2019-09-06,28,0,0,7,17,9,0
2019-09-07,51,0,0,6,11,15,0
2019-09-08,42,0,1,11,22,12,0
2019-09-09,48,0,0,11,17,17,0
2019-09-10,36,0,0,10,15,3,1
2019-09-11,46,0,0,11,26,16,0
2019-09-12,52,0,0,14,15,11,0
2019-09-13,46,0,1,11,25,13,0
2019-09-14,43,0,0,9,14,17,0
2019-09-15,41,0,0,12,20,15,0
2019-09-16,44,0,0,10,20,11,0
2019-09-17,48,0,0,8,19,10,0
2019-09-18,42,0,0,11,25,9,0
2019-09-19,46,0,0,18,21,14,0
2019-09-20,45,0,0,12,14,13,0
2019-09-21,38,0,0,14,23,18,0
2019-09-22,52,0,0,13,20,18,0
2019-09-23,48,0,1,11,14,9,0
2019-09-24,51,0,0,10,28,14,0
2019-09-25,32,0,0,10,29,8,0
2019-09-26,46,0,1,10,28,7,0
2019-09-27,33,0,0,9,17,13,0
2019-09-28,46,0,0,10,26,5,0
2019-09-29,49,0,0,11,14,10,0
2019-09-30,38,0,0,10,15,7,0
2019-10-01,39,0,0,16,22,31,0
2019-10-02,54,0,0,6,17,11,0
2019-10-03,48,0,1,8,16,15,0
2019-10-04,39,0,0,9,17,14,0
2019-10-05,40,0,0,8,19,8,0
2019-10-06,32,0,0,10,23,15,0
2019-10-07,43,0,1,10,15,14,0
2019-10-08,39,0,0,13,18,9,0
2019-10-09,44,0,1,12,21,8,1
2019-10-10,43,0,0,12,15,13,0
2019-10-11,39,0,0,8,21,9,0
2019-10-12,36,0,1,9,21,4,0
2019-10-13,43,0,2,14,24,9,0
2019-10-14,36,0,1,10,17,7,0
2019-10-15,41,0,0,10,17,5,1
2019-10-16,43,0,0,7,18,7,0
2019-10-17,41,0,1,9,12,10,0
2019-10-18,51,0,1,15,19,7,0
2019-10-19,35,0,0,14,27,12,0
2019-10-20,37,0,2,12,24,5,0
2019-10-21,41,0,1,9,25,13,0
2019-10-22,32,0,0,6,13,10,0
2019-10-23,43,0,1,9,19,9,0
2019-10-24,32,0,0,13,19,2,2
2019-10-25,37,0,1,13,15,12,0
2019-10-26,34,0,0,12,18,9,0
2019-10-27,43,0,1,11,24,12,0
2019-10-28,33,0,0,8,16,14,0
2019-10-29,43,0,1,3,17,9,0
2019-10-30,38,0,0,7,18,8,0
2019-10-31,38,0,0,8,9,10,0
2019-11-01,41,0,0,9,15,6,0
2019-11-02,40,0,0,14,12,11,0
2019-11-03,40,0,0,6,19,10,0
2019-11-04,34,0,0,10,12,14,1
2019-11-05,43,0,3,6,17,10,0
2019-11-06,43,0,0,6,14,9,0
2019-11-07,42,0,0,7,12,10,0
2019-11-08,49,0,0,8,16,10,0
2019-11-09,37,0,0,9,19,10,0
2019-11-10,35,0,0,5,18,14,0
2019-11-11,39,0,1,6,20,11,0
2019-11-12,52,0,0,6,14,15,0
2019-11-13,45,0,0,3,23,7,0
2019-11-14,37,0,1,6,15,17,0
2019-11-15,42,0,0,7,20,9,0
2019-11-16,34,0,1,8,13,13,0
2019-11-17,33,0,0,12,18,16,0
2019-11-18,37,0,0,9,23,12,1
2019-11-19,36,0,0,9,15,12,0
2019-11-20,37,0,0,8,12,13,0
2019-11-21,33,0,1,5,9,18,0
2019-11-22,26,0,1,9,20,13,0
2019-11-23,46,0,1,13,11,17,0
2019-11-24,45,0,0,11,13,10,0
2019-11-25,37,0,0,5,15,10,0
2019-11-26,31,0,0,4,8,10,0
2019-11-27,37,0,0,6,16,14,0
2019-11-28,36,0,0,16,28,7,0
2019-11-29,46,0,0,8,9,13,0
2019-11-30,29,0,0,18,21,8,0
2019-12-01,46,0,1,14,21,10,1
2019-12-02,42,0,0,8,17,14,0
2019-12-03,33,0,1,14,14,15,0
2019-12-04,41,0,0,7,14,14,0
2019-12-05,35,0,0,6,16,11,0
2019-12-06,37,0,0,11,10,14,0
2019-12-07,39,0,1,15,12,13,0
2019-12-08,32,0,1,6,15,12,0
2019-12-09,37,0,0,10,12,10,1
2019-12-10,46,0,1,8,19,14,0
2019-12-11,35,0,0,12,11,6,0
2019-12-12,26,0,0,11,18,15,0
2019-12-13,39,0,0,15,12,10,0
2019-12-14,34,0,0,5,18,9,0
2019-12-15,54,0,0,17,12,7,0
2019-12-16,34,0,0,5,16,7,1
2019-12-17,44,0,1,8,14,15,0
2019-12-18,43,0,0,9,18,6,0
2019-12-19,47,0,1,4,17,6,1
2019-12-20,45,0,0,10,18,10,0
2019-12-21,40,0,2,6,22,13,0
2019-12-22,40,0,0,8,13,6,0
2019-12-23,35,0,1,14,18,18,0
2019-12-24,49,0,1,4,22,6,0
2019-12-25,33,0,0,11,24,16,0
2019-12-26,30,0,1,16,16,9,0
2019-12-27,39,0,1,9,15,7,0
2019-12-28,65,0,2,9,20,14,0
2019-12-29,55,0,0,11,26,9,0
2019-12-30,34,0,0,7,14,14,0
2019-12-31,50,0,1,13,15,8,0
2020-01-01,45,0,0,4,17,9,0
2020-01-02,43,0,0,16,15,10,0
2020-01-03,44,0,1,8,17,14,0
2020-01-04,33,0,0,9,13,11,0
2020-01-05,34,0,0,9,18,10,0
2020-01-06,36,0,0,8,14,15,0
2020-01-07,36,0,2,15,13,12,1
2020-01-08,38,0,2,8,16,12,0
2020-01-09,43,0,0,10,20,17,0
2020-01-10,43,0,0,7,23,12,0
2020-01-11,46,0,0,9,21,8,1
2020-01-12,46,0,0,6,14,6,0
2020-01-13,43,0,0,11,17,12,0
2020-01-14,46,0,0,5,23,14,0
2020-01-15,43,0,0,10,23,11,0
2020-01-16,43,0,0,9,17,12,0
2020-01-17,35,0,0,4,17,14,0
2020-01-18,49,0,1,8,14,15,0
2020-01-19,41,0,0,7,15,13,1
2020-01-20,39,0,0,13,17,9,0
2020-01-21,47,0,1,10,22,16,0
2020-01-22,35,0,1,5,14,13,0
2020-01-23,32,0,0,11,14,9,0
2020-01-24,43,0,0,9,18,12,0
2020-01-25,36,0,1,7,20,10,0
2020-01-26,49,0,0,9,18,13,0
2020-01-27,38,0,0,10,17,15,0
2020-01-28,30,0,1,10,15,8,0
2020-01-29,34,0,0,7,18,8,0
2020-01-30,45,0,0,10,21,7,2
2020-01-31,37,0,0,12,15,9,0
2020-02-01,40,0,1,9,20,13,0
2020-02-02,36,0,0,7,15,11,0
2020-02-03,50,0,0,18,17,16,0
2020-02-04,58,0,2,9,21,6,0
2020-02-05,44,0,0,6,15,12,0
2020-02-06,44,0,0,8,18,9,0
2020-02-07,35,0,0,10,11,13,1
2020-02-08,41,0,1,7,13,11,1
2020-02-09,45,0,0,8,21,6,0
2020-02-10,35,0,0,9,11,10,1
2020-02-11,33,0,0,7,18,7,0
2020-02-12,25,0,1,11,19,17,0
2020-02-13,39,0,1,8,15,7,0
2020-02-14,30,0,1,11,24,14,0
2020-02-15,38,0,0,15,12,10,0
2020-02-16,42,0,0,10,11,13,0
2020-02-17,31,0,1,7,19,7,0
2020-02-18,53,0,0,9,12,16,1
2020-02-19,34,0,1,15,14,7,0
2020-02-20,28,0,0,7,14,16,0
2020-02-21,38,0,0,4,17,11,0
2020-02-22,51,0,1,7,16,8,0
2020-02-23,31,0,1,10,10,15,0
2020-02-24,33,0,0,4,15,14,0
2020-02-25,40,0,0,12,13,16,0
2020-02-26,50,0,0,11,24,11,0
2020-02-27,47,0,0,2,15,10,0
2020-02-28,46,0,0,9,17,9,0
2020-02-29,42,0,0,7,13,10,1
2020-03-01,38,0,0,6,24,11,0
2020-03-02,47,0,1,10,23,8,0
2020-03-03,41,0,0,11,23,11,0
2020-03-04,27,0,0,9,22,13,0
2020-03-05,34,0,0,11,18,10,0
2020-03-06,44,0,1,12,8,13,0
2020-03-07,32,0,2,11,20,8,0
2020-03-08,41,0,0,14,19,8,0
2020-03-09,48,0,2,12,24,10,0
2020-03-10,47,0,1,7,13,10,0
2020-03-11,52,0,2,12,26,14,0
2020-03-12,38,0,0,11,20,8,0
2020-03-13,37,0,0,7,22,14,0
2020-03-14,34,0,2,10,20,14,0
2020-03-15,38,0,0,11,19,15,0
2020-03-16,45,0,0,10,20,17,0
2020-03-17,39,0,0,11,24,13,0
2020-03-18,37,0,0,14,28,14,0
2020-03-19,28,0,1,9,23,17,1
2020-03-20,44,0,0,11,19,7,0
2020-03-21,42,0,0,5,22,15,0
2020-03-22,30,0,0,13,26,7,0
2020-03-23,37,0,0,8,25,15,1
2020-03-24,44,0,0,5,14,12,1
2020-03-25,37,0,1,7,27,6,1
2020-03-26,41,0,0,2,13,7,0
2020-03-27,36,2,0,5,20,11,0
2020-03-28,33,1,1,11,21,11,0
2020-03-29,38,1,0,12,28,11,0
2020-03-30,37,2,1,10,12,9,0
2020-03-31,36,2,1,4,11,7,0
2020-04-01,38,1,0,6,17,13,0
2020-04-02,44,1,1,11,14,8,1
2020-04-03,40,1,1,5,20,13,1
2020-04-04,39,3,3,14,18,18,1
2020-04-05,40,8,2,10,19,5,1
2020-04-06,48,3,0,8,14,5,0
2020-04-07,31,4,0,20,14,5,0
2020-04-08,40,5,0,12,22,13,0
2020-04-09,42,0,1,5,17,8,0
2020-04-10,37,3,0,7,15,7,0
2020-04-11,41,4,0,11,11,9,2
2020-04-12,39,4,0,10,12,4,0
2020-04-13,31,0,1,9,15,11,1
2020-04-14,42,3,0,6,9,12,1
2020-04-15,38,0,0,8,15,4,0
2020-04-16,38,0,2,8,19,6,0
2020-04-17,47,2,0,7,12,10,1
2020-04-18,39,4,0,6,13,13,0
2020-04-19,41,4,2,15,12,9,0
2020-04-20,40,3,1,13,14,10,0
2020-04-21,39,3,0,8,17,6,1
2020-04-22,29,3,0,12,14,10,0
2020-04-23,29,0,0,19,16,14,1
2020-04-24,36,6,1,6,12,10,0
2020-04-25,31,3,0,8,10,9,0
2020-04-26,41,5,1,10,13,7,1
2020-04-27,40,2,1,13,6,12,0
2020-04-28,40,5,0,15,11,6,0
2020-04-29,38,4,0,13,14,8,0
2020-04-30,41,2,0,10,15,6,0
2020-05-01,36,4,1,8,14,17,2
2020-05-02,45,2,1,7,20,10,0
2020-05-03,40,1,0,9,9,10,1
2020-05-04,44,2,1,9,11,11,1
2020-05-05,48,0,1,3,11,13,1
2020-05-06,55,4,0,7,17,17,1
2020-05-07,39,12,0,10,16,13,1
2020-05-08,52,7,0,9,10,11,1
2020-05-09,49,8,1,9,16,9,0
2020-05-10,45,8,2,9,12,16,0
2020-05-11,51,6,0,8,15,8,0
2020-05-12,50,2,0,4,15,16,2
2020-05-13,42,3,0,8,11,9,1
2020-05-14,44,4,0,6,19,15,0
2020-05-15,49,5,0,8,20,15,0
2020-05-16,48,3,0,10,14,8,1
2020-05-17,46,7,1,8,10,9,0
2020-05-18,38,6,0,5,9,6,0
2020-05-19,55,14,0,8,15,11,0
2020-05-20,32,5,0,8,14,12,0
2020-05-21,37,2,1,7,14,8,0
2020-05-22,43,3,0,10,15,14,2
2020-05-23,46,7,2,11,16,9,1
2020-05-24,44,4,1,5,12,8,1
2020-05-25,41,5,2,7,25,8,0
2020-05-26,46,9,0,4,11,8,0
2020-05-27,53,8,0,13,9,7,1
2020-05-28,50,12,1,7,16,4,0
2020-05-29,50,7,0,9,11,9,0
2020-05-30,40,7,0,11,16,12,0
2020-05-31,59,9,1,9,9,12,0
2020-06-01,47,11,0,13,16,9,2
2020-06-02,46,8,0,11,19,9,1
2020-06-03,35,5,1,11,9,9,0
2020-06-04,50,8,0,8,16,6,0
2020-06-05,25,13,1,7,15,12,1
2020-06-06,45,8,0,12,14,16,1
2020-06-07,43,10,0,8,8,14,0
2020-06-08,50,6,0,8,23,7,0
2020-06-09,44,6,0,5,14,7,1
2020-06-10,37,11,2,8,20,7,1
2020-06-11,47,9,1,6,14,6,1
2020-06-12,41,10,1,4,19,9,0
2020-06-13,40,14,0,7,21,6,1
2020-06-14,54,20,0,3,12,9,0
2020-06-15,33,15,1,8,7,7,1
2020-06-16,40,15,0,7,11,5,1
2020-06-17,27,20,2,5,12,11,1
2020-06-18,57,17,0,8,17,15,0
2020-06-19,33,24,0,7,18,4,0
2020-06-20,45,20,1,8,9,9,0
2020-06-21,54,24,0,9,19,10,3
2020-06-22,41,34,0,8,17,8,2
2020-06-23,31,19,0,5,10,7,1
2020-06-24,36,24,1,7,14,9,0
2020-06-25,42,35,1,7,19,7,1
2020-06-26,38,35,0,8,18,9,0
2020-06-27,38,18,0,8,11,8,2
2020-06-28,41,31,0,8,10,5,0
2020-06-29,34,42,0,5,12,15,1
2020-06-30,33,24,2,3,15,5,4
2020-07-01,44,25,1,5,8,7,1
2020-07-02,43,37,0,3,23,11,1
2020-07-03,38,31,1,3,21,18,0
2020-07-04,46,41,0,11,14,10,1
2020-07-05,48,37,0,9,17,7,2
2020-07-06,45,42,0,6,10,9,1
2020-07-07,37,45,1,13,10,9,0
2020-07-08,41,27,0,11,12,14,3
2020-07-09,42,48,0,4,11,8,0
2020-07-10,31,37,0,5,12,12,1
2020-07-11,45,47,0,10,14,6,1
2020-07-12,49,44,0,12,5,12,1
2020-07-13,32,42,1,10,6,9,1
2020-07-14,45,47,0,11,22,7,0
2020-07-15,31,44,2,3,14,12,0
2020-07-16,41,41,0,4,13,9,1
2020-07-17,47,40,0,5,15,5,1
2020-07-18,31,51,0,7,12,6,0
2020-07-19,35,43,0,4,9,13,1
2020-07-20,39,36,0,9,12,11,0
2020-07-21,34,30,1,6,9,10,1
2020-07-22,25,29,2,8,6,11,2
2020-07-23,26,26,0,2,10,6,1
2020-07-24,27,29,0,4,11,4,0
2020-07-25,35,34,0,4,8,8,1
2020-07-26,24,33,0,5,11,6,0
2020-07-27,14,19,1,3,3,4,0
2020-07-28,6,5,0,4,0,0,0
2020-07-29,0,0,0,0,1,0,0