DATA_OBITO,OUTRAS,COVID - MA,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,23,0,0,2,5,1,0
2018-01-02,17,0,0,2,3,4,0
2018-01-03,23,0,0,6,4,2,0
2018-01-04,20,0,0,4,3,6,0
2018-01-05,26,0,0,5,0,4,0
2018-01-06,20,0,0,2,2,5,0
2018-01-07,21,0,0,5,2,4,0
2018-01-08,11,0,0,1,1,2,0
2018-01-09,12,0,0,3,6,4,0
2018-01-10,23,0,0,7,1,4,0
2018-01-11,15,0,0,1,5,3,0
2018-01-12,18,0,0,2,2,2,0
2018-01-13,21,0,0,1,3,2,0
2018-01-14,18,0,1,1,1,3,0
2018-01-15,32,0,0,3,6,4,0
2018-01-16,27,0,1,5,4,3,0
2018-01-17,23,0,0,2,3,4,0
2018-01-18,18,0,1,5,8,4,0
2018-01-19,27,0,1,2,4,2,0
2018-01-20,17,0,0,2,5,2,0
2018-01-21,21,0,1,2,1,3,0
2018-01-22,22,0,0,1,2,3,0
2018-01-23,16,0,1,3,1,3,0
2018-01-24,13,0,0,2,3,2,0
2018-01-25,19,0,0,3,7,3,0
2018-01-26,21,0,0,1,3,7,0
2018-01-27,22,0,1,2,1,5,0
2018-01-28,14,0,0,2,3,5,0
2018-01-29,21,0,0,6,2,1,0
2018-01-30,29,0,0,2,0,2,0
2018-01-31,26,0,1,4,1,3,0
2018-02-01,17,0,0,3,1,1,0
2018-02-02,23,0,0,7,1,3,0
2018-02-03,17,0,0,8,1,1,0
2018-02-04,17,0,0,0,6,3,0
2018-02-05,21,0,0,3,3,2,0
2018-02-06,14,0,1,1,3,2,0
2018-02-07,19,0,0,1,2,1,0
2018-02-08,13,0,0,2,4,2,0
2018-02-09,17,0,0,0,2,1,0
2018-02-10,9,0,0,3,3,0,0
2018-02-11,16,0,0,4,6,4,0
2018-02-12,20,0,0,3,0,2,0
2018-02-13,23,0,0,2,6,0,0
2018-02-14,22,0,1,2,2,4,0
2018-02-15,23,0,1,2,2,3,0
2018-02-16,23,0,0,2,3,3,0
2018-02-17,18,0,0,4,7,4,0
2018-02-18,20,0,1,5,3,10,0
2018-02-19,23,0,0,2,6,5,0
2018-02-20,23,0,0,5,5,7,0
2018-02-21,26,0,1,4,8,3,0
2018-02-22,18,0,0,6,3,3,0
2018-02-23,26,0,0,1,3,5,0
2018-02-24,22,0,0,5,3,4,0
2018-02-25,21,0,1,4,4,2,0
2018-02-26,27,0,0,3,6,3,0
2018-02-27,23,0,2,5,4,4,0
2018-02-28,15,0,0,9,6,3,0
2018-03-01,32,0,0,0,4,3,0
2018-03-02,20,0,0,1,1,3,0
2018-03-03,18,0,0,4,7,6,0
2018-03-04,18,0,0,3,1,1,0
2018-03-05,26,0,0,2,7,3,0
2018-03-06,27,0,0,5,2,6,0
2018-03-07,24,0,0,1,5,2,0
2018-03-08,20,0,1,3,6,2,0
2018-03-09,20,0,1,5,3,5,0
2018-03-10,26,0,0,5,3,6,0
2018-03-11,28,0,0,1,4,3,0
2018-03-12,20,0,1,1,8,0,0
2018-03-13,31,0,0,2,3,3,0
2018-03-14,21,0,0,3,3,4,0
2018-03-15,19,0,1,5,4,0,0
2018-03-16,15,0,0,1,1,2,0
2018-03-17,23,0,0,5,3,1,0
2018-03-18,11,0,0,4,0,3,0
2018-03-19,20,0,0,4,5,4,0
2018-03-20,23,0,0,3,1,2,0
2018-03-21,15,0,0,3,4,3,0
2018-03-22,22,0,1,3,2,4,0
2018-03-23,15,0,0,4,4,6,0
2018-03-24,18,0,0,2,5,2,0
2018-03-25,23,0,0,1,5,3,0
2018-03-26,20,0,0,8,2,4,0
2018-03-27,26,0,0,0,7,7,0
2018-03-28,25,0,0,3,3,9,0
2018-03-29,23,0,0,4,2,4,0
2018-03-30,16,0,0,4,6,2,0
2018-03-31,22,0,0,1,5,1,0
2018-04-01,21,0,0,1,1,4,0
2018-04-02,36,0,0,2,7,5,0
2018-04-03,22,0,0,4,3,2,0
2018-04-04,14,0,1,1,5,1,0
2018-04-05,31,0,1,4,7,7,0
2018-04-06,16,0,0,3,8,4,0
2018-04-07,25,0,1,2,4,5,0
2018-04-08,36,0,1,3,5,5,0
2018-04-09,27,0,0,7,3,7,0
2018-04-10,27,0,0,3,8,8,0
2018-04-11,28,0,1,5,3,10,0
2018-04-12,24,0,1,4,5,6,0
2018-04-13,34,0,1,4,3,3,0
2018-04-14,22,0,0,6,4,5,0
2018-04-15,25,0,1,2,7,2,0
2018-04-16,14,0,0,2,6,4,0
2018-04-17,28,0,2,2,6,5,0
2018-04-18,29,0,1,0,2,3,0
2018-04-19,25,0,0,8,11,8,0
2018-04-20,25,0,1,2,2,7,0
2018-04-21,29,0,0,2,10,2,0
2018-04-22,18,0,0,4,3,8,0
2018-04-23,35,0,1,0,8,5,0
2018-04-24,31,0,1,5,7,4,0
2018-04-25,32,0,1,2,5,3,0
2018-04-26,35,0,0,6,4,7,0
2018-04-27,21,0,0,6,11,4,0
2018-04-28,24,0,1,5,10,9,0
2018-04-29,35,0,0,4,14,6,0
2018-04-30,19,0,0,3,4,7,0
2018-05-01,16,0,0,2,6,3,0
2018-05-02,23,0,0,6,6,4,1
2018-05-03,25,0,1,6,5,3,0
2018-05-04,25,0,0,2,4,3,0
2018-05-05,27,0,1,5,8,2,1
2018-05-06,28,0,0,2,8,4,1
2018-05-07,27,0,0,5,7,8,0
2018-05-08,31,0,0,4,10,7,0
2018-05-09,31,0,0,7,2,4,0
2018-05-10,20,0,2,6,4,3,0
2018-05-11,29,0,0,2,5,9,0
2018-05-12,41,0,0,4,5,4,0
2018-05-13,26,0,0,5,7,6,0
2018-05-14,24,0,0,3,9,1,0
2018-05-15,46,0,0,5,3,4,0
2018-05-16,30,0,0,6,5,6,0
2018-05-17,27,0,0,7,13,7,0
2018-05-18,35,0,0,5,5,4,0
2018-05-19,18,0,1,2,4,4,0
2018-05-20,20,0,1,7,6,4,0
2018-05-21,26,0,1,5,6,2,0
2018-05-22,21,0,0,4,5,0,0
2018-05-23,20,0,0,3,4,5,0
2018-05-24,20,0,1,2,2,1,1
2018-05-25,25,0,0,1,4,1,0
2018-05-26,19,0,1,6,8,3,0
2018-05-27,29,0,0,1,3,5,0
2018-05-28,23,0,1,6,8,2,0
2018-05-29,27,0,0,5,6,1,0
2018-05-30,33,0,1,3,5,3,0
2018-05-31,26,0,1,4,6,3,0
2018-06-01,20,0,0,0,6,5,0
2018-06-02,17,0,0,2,5,1,0
2018-06-03,19,0,0,1,6,1,0
2018-06-04,26,0,0,2,6,3,0
2018-06-05,18,0,0,5,7,5,0
2018-06-06,22,0,1,2,4,2,0
2018-06-07,21,0,0,4,1,2,0
2018-06-08,16,0,0,3,6,6,0
2018-06-09,18,0,0,3,5,7,0
2018-06-10,26,0,1,5,7,6,0
2018-06-11,20,0,0,1,8,2,0
2018-06-12,19,0,0,5,7,4,1
2018-06-13,26,0,0,5,4,6,0
2018-06-14,18,0,0,1,4,6,0
2018-06-15,26,0,0,4,3,7,0
2018-06-16,22,0,0,3,7,7,0
2018-06-17,17,0,0,2,3,1,0
2018-06-18,27,0,0,4,3,7,0
2018-06-19,21,0,0,2,6,2,0
2018-06-20,18,0,1,4,6,1,0
2018-06-21,21,0,0,7,2,0,0
2018-06-22,17,0,1,3,3,3,0
2018-06-23,16,0,0,6,2,4,0
2018-06-24,19,0,0,3,2,4,0
2018-06-25,22,0,0,1,7,3,0
2018-06-26,23,0,0,2,8,3,0
2018-06-27,24,0,0,3,8,2,0
2018-06-28,21,0,0,8,6,2,0
2018-06-29,26,0,0,7,3,8,0
2018-06-30,32,0,0,3,6,2,0
2018-07-01,21,0,3,4,2,3,0
2018-07-02,22,0,0,4,5,5,0
2018-07-03,26,0,0,4,3,1,0
2018-07-04,24,0,0,6,7,2,0
2018-07-05,12,0,1,3,1,1,1
2018-07-06,23,0,0,3,0,2,0
2018-07-07,18,0,1,2,4,0,0
2018-07-08,17,0,0,2,3,1,0
2018-07-09,23,0,0,4,7,2,0
2018-07-10,20,0,0,3,3,6,0
2018-07-11,26,0,0,3,2,3,1
2018-07-12,23,0,2,7,5,2,0
2018-07-13,22,0,1,3,7,2,0
2018-07-14,26,0,0,5,7,5,0
2018-07-15,31,0,0,7,6,2,0
2018-07-16,24,0,1,1,7,3,0
2018-07-17,29,0,1,4,4,4,0
2018-07-18,24,0,0,3,2,3,0
2018-07-19,17,0,0,2,6,2,0
2018-07-20,32,0,1,3,5,2,0
2018-07-21,22,0,0,1,3,1,0
2018-07-22,21,0,1,3,1,4,0
2018-07-23,22,0,0,1,5,1,0
2018-07-24,25,0,0,5,1,5,0
2018-07-25,19,0,0,3,5,6,0
2018-07-26,28,0,0,6,3,2,0
2018-07-27,9,0,0,4,7,6,0
2018-07-28,23,0,0,6,5,3,0
2018-07-29,27,0,0,1,5,4,0
2018-07-30,16,0,0,1,3,5,0
2018-07-31,19,0,0,3,1,3,0
2018-08-01,26,0,0,8,6,6,0
2018-08-02,18,0,0,3,5,9,0
2018-08-03,21,0,0,6,7,2,0
2018-08-04,22,0,0,4,2,2,0
2018-08-05,22,0,1,0,2,5,0
2018-08-06,32,0,0,3,3,3,0
2018-08-07,15,0,2,8,6,5,0
2018-08-08,28,0,0,4,2,5,0
2018-08-09,23,0,0,5,4,4,0
2018-08-10,23,0,0,6,1,3,0
2018-08-11,24,0,0,7,3,4,0
2018-08-12,31,0,0,3,3,8,0
2018-08-13,21,0,0,4,5,3,0
2018-08-14,25,0,0,4,1,3,0
2018-08-15,24,0,0,4,5,4,0
2018-08-16,22,0,0,2,3,2,0
2018-08-17,27,0,0,4,2,4,0
2018-08-18,31,0,0,5,8,7,0
2018-08-19,37,0,1,5,4,5,0
2018-08-20,21,0,0,3,4,4,0
2018-08-21,25,0,0,1,4,2,0
2018-08-22,18,0,0,4,6,4,0
2018-08-23,22,0,0,1,1,3,0
2018-08-24,22,0,0,3,6,1,0
2018-08-25,16,0,0,1,5,1,0
2018-08-26,14,0,1,3,1,5,0
2018-08-27,22,0,0,8,2,4,0
2018-08-28,25,0,0,5,3,7,0
2018-08-29,20,0,0,1,7,2,0
2018-08-30,26,0,0,8,1,2,0
2018-08-31,21,0,0,4,4,0,0
2018-09-01,20,0,1,5,1,2,0
2018-09-02,24,0,1,7,4,5,0
2018-09-03,26,0,0,2,4,3,0
2018-09-04,31,0,0,2,3,4,0
2018-09-05,22,0,0,7,2,4,0
2018-09-06,22,0,0,5,3,3,0
2018-09-07,32,0,0,3,3,3,0
2018-09-08,21,0,0,2,6,3,0
2018-09-09,13,0,0,6,2,2,0
2018-09-10,29,0,0,6,6,4,0
2018-09-11,27,0,1,0,7,6,0
2018-09-12,31,0,0,3,6,10,0
2018-09-13,17,0,1,5,5,3,0
2018-09-14,27,0,0,2,2,1,0
2018-09-15,28,0,0,4,1,4,0
2018-09-16,22,0,0,6,3,3,0
2018-09-17,26,0,0,4,2,4,0
2018-09-18,29,0,0,4,1,4,0
2018-09-19,28,0,0,5,3,4,0
2018-09-20,19,0,0,5,7,7,0
2018-09-21,23,0,0,1,10,3,0
2018-09-22,25,0,0,4,4,2,0
2018-09-23,19,0,0,0,5,1,1
2018-09-24,38,0,0,4,5,2,0
2018-09-25,33,0,0,7,3,4,0
2018-09-26,24,0,0,6,4,2,0
2018-09-27,20,0,0,6,5,6,0
2018-09-28,28,0,0,2,7,4,0
2018-09-29,29,0,1,2,3,1,0
2018-09-30,17,0,0,5,5,1,0
2018-10-01,19,0,0,4,4,4,0
2018-10-02,18,0,0,6,2,4,1
2018-10-03,22,0,0,3,4,0,0
2018-10-04,28,0,0,8,3,3,0
2018-10-05,14,0,0,6,3,4,0
2018-10-06,31,0,0,5,4,2,0
2018-10-07,25,0,0,1,6,3,0
2018-10-08,25,0,0,6,7,1,0
2018-10-09,25,0,0,3,6,3,0
2018-10-10,25,0,1,5,5,5,0
2018-10-11,24,0,0,2,4,4,0
2018-10-12,26,0,1,3,1,3,0
2018-10-13,31,0,0,4,0,5,0
2018-10-14,19,0,0,3,5,1,0
2018-10-15,28,0,0,5,4,6,0
2018-10-16,18,0,0,7,1,1,0
2018-10-17,18,0,0,3,4,2,0
2018-10-18,22,0,1,4,2,2,0
2018-10-19,25,0,0,2,6,1,0
2018-10-20,19,0,0,5,1,6,0
2018-10-21,25,0,1,4,2,5,0
2018-10-22,27,0,0,1,6,0,0
2018-10-23,27,0,0,5,4,2,0
2018-10-24,21,0,0,5,3,7,0
2018-10-25,25,0,0,6,4,3,0
2018-10-26,21,0,2,5,6,4,0
2018-10-27,16,0,0,7,1,1,0
2018-10-28,22,0,0,5,2,0,0
2018-10-29,30,0,0,3,7,4,0
2018-10-30,29,0,0,0,4,3,0
2018-10-31,17,0,0,2,4,2,0
2018-11-01,23,0,0,5,5,3,0
2018-11-02,28,0,0,3,2,2,0
2018-11-03,32,0,1,4,4,1,0
2018-11-04,28,0,0,3,5,2,0
2018-11-05,30,0,1,4,1,4,0
2018-11-06,20,0,1,6,2,1,0
2018-11-07,25,0,0,4,3,4,0
2018-11-08,20,0,0,4,3,5,0
2018-11-09,27,0,0,5,3,2,0
2018-11-10,16,0,0,3,6,2,0
2018-11-11,32,0,0,1,6,2,0
2018-11-12,25,0,0,4,6,1,0
2018-11-13,30,0,0,6,3,5,0
2018-11-14,22,0,0,1,4,5,0
2018-11-15,21,0,0,4,1,4,0
2018-11-16,20,0,0,3,6,2,0
2018-11-17,25,0,0,2,4,7,0
2018-11-18,30,0,0,4,2,6,0
2018-11-19,24,0,0,5,1,1,0
2018-11-20,23,0,0,4,3,2,0
2018-11-21,22,0,0,6,8,7,0
2018-11-22,25,0,0,3,3,6,0
2018-11-23,19,0,0,4,3,6,0
2018-11-24,19,0,0,1,2,4,0
2018-11-25,32,0,0,3,6,3,0
2018-11-26,25,0,0,10,6,4,0
2018-11-27,22,0,0,4,3,4,0
2018-11-28,29,0,0,2,6,3,0
2018-11-29,23,0,0,6,2,7,0
2018-11-30,25,0,0,5,6,2,0
2018-12-01,33,0,0,3,6,2,0
2018-12-02,30,0,0,8,2,4,0
2018-12-03,24,0,1,4,4,2,0
2018-12-04,23,0,0,4,6,7,0
2018-12-05,25,0,0,5,5,4,0
2018-12-06,27,0,0,7,1,5,0
2018-12-07,24,0,0,4,2,2,0
2018-12-08,28,0,0,3,3,1,0
2018-12-09,29,0,0,1,8,4,0
2018-12-10,30,0,0,4,5,4,0
2018-12-11,21,0,0,8,1,6,0
2018-12-12,23,0,0,4,3,3,0
2018-12-13,20,0,0,5,1,9,0
2018-12-14,25,0,0,4,2,5,0
2018-12-15,20,0,0,5,7,5,0
2018-12-16,30,0,0,3,5,3,0
2018-12-17,23,0,0,5,3,3,0
2018-12-18,29,0,1,4,6,2,0
2018-12-19,27,0,0,6,5,1,0
2018-12-20,27,0,0,3,2,2,0
2018-12-21,25,0,0,1,4,10,0
2018-12-22,32,0,0,5,7,3,0
2018-12-23,19,0,0,4,3,2,0
2018-12-24,27,0,0,2,5,5,0
2018-12-25,27,0,0,3,4,3,0
2018-12-26,35,0,1,5,6,2,0
2018-12-27,26,0,0,4,7,2,0
2018-12-28,28,0,0,4,3,6,0
2018-12-29,29,0,0,3,10,0,0
2018-12-30,24,0,0,2,1,2,0
2018-12-31,39,0,2,2,6,4,0
2019-01-01,39,0,1,8,7,8,1
2019-01-02,41,0,1,4,8,4,0
2019-01-03,35,0,0,4,8,4,0
2019-01-04,50,0,0,3,5,8,0
2019-01-05,34,0,0,5,3,5,0
2019-01-06,37,0,0,4,9,2,0
2019-01-07,40,0,0,3,6,4,0
2019-01-08,37,0,0,3,10,8,0
2019-01-09,28,0,1,9,4,11,0
2019-01-10,36,0,1,5,6,13,0
2019-01-11,38,0,1,0,9,8,0
2019-01-12,30,0,0,3,5,3,0
2019-01-13,30,0,0,6,3,4,0
2019-01-14,35,0,0,4,9,1,0
2019-01-15,33,0,0,2,8,6,0
2019-01-16,36,0,0,4,6,2,0
2019-01-17,54,0,0,5,7,9,0
2019-01-18,22,0,1,8,6,10,0
2019-01-19,34,0,0,4,8,7,0
2019-01-20,41,0,0,2,4,7,0
2019-01-21,25,0,1,5,7,4,0
2019-01-22,30,0,1,4,4,5,0
2019-01-23,33,0,0,4,7,6,0
2019-01-24,23,0,0,5,6,10,0
2019-01-25,22,0,0,5,4,7,0
2019-01-26,28,0,0,6,5,3,0
2019-01-27,36,0,1,4,5,3,0
2019-01-28,32,0,0,1,10,9,0
2019-01-29,35,0,0,6,4,3,0
2019-01-30,28,0,1,7,8,1,0
2019-01-31,31,0,2,7,8,2,0
2019-02-01,32,0,2,4,5,7,0
2019-02-02,24,0,0,5,8,6,0
2019-02-03,36,0,0,1,7,9,0
2019-02-04,40,0,0,6,7,1,0
2019-02-05,40,0,0,7,9,3,0
2019-02-06,37,0,1,4,6,5,0
2019-02-07,42,0,0,4,7,5,0
2019-02-08,29,0,0,5,5,5,0
2019-02-09,34,0,0,3,4,3,0
2019-02-10,33,0,1,8,9,2,0
2019-02-11,25,0,0,4,9,3,0
2019-02-12,34,0,0,5,9,5,0
2019-02-13,22,0,0,6,3,4,0
2019-02-14,35,0,0,6,5,3,0
2019-02-15,28,0,0,5,4,2,0
2019-02-16,34,0,1,4,10,4,0
2019-02-17,36,0,0,4,8,9,0
2019-02-18,33,0,0,2,11,9,0
2019-02-19,34,0,0,4,3,4,0
2019-02-20,30,0,0,5,4,3,0
2019-02-21,37,0,0,4,1,3,0
2019-02-22,37,0,0,6,9,4,0
2019-02-23,34,0,0,4,7,4,0
2019-02-24,44,0,0,5,5,1,0
2019-02-25,40,0,0,5,5,6,0
2019-02-26,36,0,1,3,4,3,0
2019-02-27,28,0,2,4,9,1,0
2019-02-28,37,0,0,4,8,7,0
2019-03-01,33,0,0,5,9,2,0
2019-03-02,43,0,0,2,11,4,0
2019-03-03,37,0,0,3,4,5,0
2019-03-04,34,0,0,3,4,5,0
2019-03-05,33,0,0,7,6,5,0
2019-03-06,33,0,0,6,4,5,0
2019-03-07,42,0,0,4,4,2,0
2019-03-08,31,0,1,3,13,6,0
2019-03-09,40,0,1,8,8,5,0
2019-03-10,27,0,3,4,5,2,0
2019-03-11,31,0,0,3,9,6,0
2019-03-12,31,0,0,3,9,6,0
2019-03-13,26,0,0,7,4,3,0
2019-03-14,23,0,1,6,4,3,0
2019-03-15,37,0,1,5,7,5,0
2019-03-16,30,0,1,6,4,9,0
2019-03-17,34,0,2,5,8,3,0
2019-03-18,42,0,0,5,10,7,0
2019-03-19,37,0,0,12,8,2,0
2019-03-20,22,0,0,7,10,6,0
2019-03-21,23,0,0,1,8,2,0
2019-03-22,34,0,0,4,9,1,0
2019-03-23,38,0,0,2,9,5,0
2019-03-24,35,0,0,6,7,6,0
2019-03-25,30,0,0,9,5,5,0
2019-03-26,34,0,0,7,6,5,0
2019-03-27,33,0,1,4,9,3,0
2019-03-28,36,0,0,5,9,12,0
2019-03-29,29,0,0,5,4,3,0
2019-03-30,25,0,0,4,11,7,0
2019-03-31,28,0,0,3,11,7,0
2019-04-01,30,0,0,2,7,6,0
2019-04-02,42,0,0,6,5,10,0
2019-04-03,39,0,0,4,4,7,0
2019-04-04,34,0,1,3,5,1,0
2019-04-05,40,0,0,2,7,7,0
2019-04-06,38,0,2,1,8,2,0
2019-04-07,37,0,0,8,13,2,0
2019-04-08,31,0,1,9,5,7,0
2019-04-09,25,0,0,4,7,5,0
2019-04-10,30,0,3,7,8,4,0
2019-04-11,36,0,0,5,6,7,0
2019-04-12,50,0,0,8,8,1,0
2019-04-13,28,0,0,7,7,4,0
2019-04-14,28,0,1,6,5,5,0
2019-04-15,36,0,1,6,8,4,0
2019-04-16,33,0,1,7,9,9,0
2019-04-17,32,0,0,3,15,6,0
