DATA_OBITO,OUTRAS,COVID - MS,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-04-14,18,0,0,9,11,4,0
2019-04-15,16,0,0,3,11,6,0
2019-04-16,19,0,0,3,12,0,0
2019-04-17,14,0,0,0,14,5,0
2019-04-18,19,0,0,4,11,5,0
2019-04-19,24,0,0,5,8,3,0
2019-04-20,18,0,1,5,7,6,0
2019-04-21,21,0,0,3,11,6,0
2019-04-22,19,0,0,1,9,5,0
2019-04-23,19,0,0,6,8,3,0
2019-04-24,16,0,0,2,6,7,0
2019-04-25,21,0,0,5,10,7,0
2019-04-26,18,0,0,2,13,2,0
2019-04-27,19,0,1,7,7,4,0
2019-04-28,16,0,0,2,9,8,0
2019-04-29,28,0,0,3,13,8,0
2019-04-30,20,0,0,4,12,5,0
2019-05-01,28,0,0,5,8,5,0
2019-05-02,24,0,1,1,18,5,1
2019-05-03,21,0,1,6,9,2,0
2019-05-04,17,0,1,4,7,2,0
2019-05-05,21,0,2,1,8,3,1
2019-05-06,23,0,0,2,12,2,0
2019-05-07,15,0,0,3,14,5,0
2019-05-08,16,0,0,7,6,4,0
2019-05-09,19,0,1,8,14,0,0
2019-05-10,27,0,0,4,16,5,0
2019-05-11,21,0,1,3,7,5,0
2019-05-12,19,0,0,1,7,4,0
2019-05-13,25,0,0,6,6,3,0
2019-05-14,21,0,0,3,9,2,0
2019-05-15,24,0,1,4,11,7,0
2019-05-16,24,0,1,2,6,5,0
2019-05-17,23,0,0,5,7,6,0
2019-05-18,20,0,0,4,13,4,0
2019-05-19,30,0,1,6,11,6,0
2019-05-20,28,0,0,4,14,5,0
2019-05-21,23,0,0,3,14,6,0
2019-05-22,21,0,1,2,11,2,0
2019-05-23,22,0,0,3,6,6,0
2019-05-24,28,0,0,4,14,2,0
2019-05-25,31,0,0,5,12,5,0
2019-05-26,20,0,0,4,14,8,0
2019-05-27,26,0,2,6,8,6,0
2019-05-28,28,0,0,5,7,8,1
2019-05-29,33,0,1,4,8,8,1
2019-05-30,21,0,1,4,15,7,1
2019-05-31,19,0,0,11,11,7,0
2019-06-01,24,0,0,1,12,4,0
2019-06-02,20,0,0,3,9,4,0
2019-06-03,26,0,0,4,15,4,0
2019-06-04,28,0,0,4,12,3,0
2019-06-05,26,0,0,1,18,6,0
2019-06-06,29,0,1,4,12,8,0
2019-06-07,31,0,0,5,12,5,0
2019-06-08,29,0,2,3,12,3,0
2019-06-09,21,0,0,4,20,6,0
2019-06-10,27,0,1,6,9,3,0
2019-06-11,31,0,0,2,15,10,0
2019-06-12,33,0,1,5,15,5,0
2019-06-13,24,0,0,1,10,3,0
2019-06-14,23,0,0,1,12,5,1
2019-06-15,15,0,0,3,10,10,0
2019-06-16,15,0,0,1,16,4,0
2019-06-17,28,0,0,4,13,6,0
2019-06-18,27,0,0,8,9,6,1
2019-06-19,26,0,0,4,13,6,1
2019-06-20,34,0,0,5,12,6,0
2019-06-21,27,0,0,3,13,5,0
2019-06-22,17,0,0,4,15,7,0
2019-06-23,21,0,1,8,9,0,0
2019-06-24,26,0,1,4,7,5,0
2019-06-25,17,0,0,2,11,5,1
2019-06-26,28,0,0,3,10,3,0
2019-06-27,27,0,0,7,9,2,1
2019-06-28,23,0,0,5,12,2,0
2019-06-29,21,0,0,4,12,7,0
2019-06-30,29,0,0,7,17,7,0
2019-07-01,25,0,0,9,10,7,0
2019-07-02,31,0,1,3,7,4,1
2019-07-03,36,0,0,6,11,10,0
2019-07-04,29,0,0,2,12,8,0
2019-07-05,19,0,0,4,10,2,0
2019-07-06,26,0,0,5,14,6,0
2019-07-07,22,0,1,4,14,3,0
2019-07-08,26,0,0,7,17,10,0
2019-07-09,25,0,1,2,13,6,0
2019-07-10,29,0,2,4,12,5,0
2019-07-11,22,0,0,5,8,6,0
2019-07-12,26,0,0,5,10,6,1
2019-07-13,24,0,1,2,15,2,2
2019-07-14,21,0,0,4,11,3,0
2019-07-15,20,0,0,4,9,8,0
2019-07-16,24,0,0,4,7,6,1
2019-07-17,31,0,0,7,11,7,0
2019-07-18,26,0,1,3,9,4,0
2019-07-19,22,0,0,3,12,8,0
2019-07-20,24,0,1,5,15,7,0
2019-07-21,25,0,0,5,8,6,0
2019-07-22,25,0,0,2,11,4,0
2019-07-23,24,0,1,1,10,7,0
2019-07-24,16,0,0,3,9,4,0
2019-07-25,22,0,0,4,15,5,0
2019-07-26,26,0,0,2,10,4,1
2019-07-27,28,0,0,1,9,5,0
2019-07-28,29,0,1,7,12,8,0
2019-07-29,25,0,1,5,16,3,0
2019-07-30,17,0,0,3,16,10,0
2019-07-31,21,0,0,2,6,4,0
2019-08-01,26,0,0,4,17,5,0
2019-08-02,26,0,0,5,12,4,0
2019-08-03,22,0,0,4,12,10,0
2019-08-04,31,0,0,3,12,6,0
2019-08-05,27,0,0,1,11,4,0
2019-08-06,17,0,0,9,14,8,0
2019-08-07,19,0,0,1,7,8,0
2019-08-08,22,0,1,1,12,7,0
2019-08-09,17,0,0,2,16,2,0
2019-08-10,20,0,0,2,11,3,0
2019-08-11,25,0,0,5,13,6,0
2019-08-12,31,0,1,2,11,4,0
2019-08-13,16,0,0,8,7,5,0
2019-08-14,22,0,1,3,13,5,0
2019-08-15,25,0,0,6,14,7,0
2019-08-16,25,0,0,1,17,2,0
2019-08-17,22,0,0,1,10,4,0
2019-08-18,15,0,0,6,11,7,0
2019-08-19,25,0,0,5,12,4,0
2019-08-20,24,0,1,4,8,9,0
2019-08-21,18,0,0,4,16,1,0
2019-08-22,22,0,0,6,12,2,0
2019-08-23,23,0,1,5,15,2,0
2019-08-24,22,0,0,2,9,8,0
2019-08-25,23,0,0,3,11,5,0
2019-08-26,30,0,0,4,17,8,0
2019-08-27,27,0,0,5,7,6,0
2019-08-28,20,0,0,4,8,2,0
2019-08-29,24,0,0,3,14,10,0
2019-08-30,23,0,1,0,14,7,0
2019-08-31,30,0,0,4,13,10,0
2019-09-01,21,0,0,6,9,4,0
2019-09-02,22,0,0,3,9,8,0
2019-09-03,21,0,0,4,11,9,0
2019-09-04,19,0,0,1,15,9,0
2019-09-05,28,0,0,3,13,6,0
2019-09-06,20,0,0,3,6,4,0
2019-09-07,23,0,1,0,7,6,0
2019-09-08,19,0,0,2,13,4,0
2019-09-09,28,0,0,3,10,3,0
2019-09-10,35,0,0,4,16,6,0
2019-09-11,26,0,0,6,7,5,1
2019-09-12,25,0,2,4,16,5,0
2019-09-13,20,0,0,3,11,8,1
2019-09-14,25,0,0,2,14,2,0
2019-09-15,22,0,1,7,15,9,0
2019-09-16,24,0,0,6,16,6,0
2019-09-17,23,0,0,6,15,6,0
2019-09-18,21,0,1,2,15,9,0
2019-09-19,22,0,0,0,11,3,0
2019-09-20,25,0,1,4,10,4,0
2019-09-21,16,0,0,6,8,4,0
2019-09-22,38,0,0,1,6,9,0
2019-09-23,13,0,0,1,8,3,0
2019-09-24,28,0,1,8,13,4,0
2019-09-25,19,0,0,1,9,8,1
2019-09-26,20,0,0,5,12,3,0
2019-09-27,25,0,1,5,13,1,1
2019-09-28,26,0,0,2,7,6,0
2019-09-29,30,0,0,3,8,10,0
2019-09-30,14,0,0,1,10,3,0
2019-10-01,27,0,0,7,11,3,0
2019-10-02,25,0,1,2,9,7,0
2019-10-03,22,0,0,4,7,4,0
2019-10-04,24,0,1,3,18,3,0
2019-10-05,24,0,0,3,8,6,0
2019-10-06,20,0,0,7,4,6,0
2019-10-07,13,0,0,6,6,3,0
2019-10-08,21,0,0,4,10,5,0
2019-10-09,19,0,0,4,8,9,1
2019-10-10,24,0,0,3,3,2,0
2019-10-11,22,0,0,4,12,1,1
2019-10-12,24,0,0,3,13,6,0
2019-10-13,24,0,0,6,6,6,0
2019-10-14,25,0,0,1,7,5,1
2019-10-15,19,0,0,2,5,2,0
2019-10-16,23,0,0,2,5,7,1
2019-10-17,18,0,0,2,9,4,0
2019-10-18,21,0,0,7,12,6,0
2019-10-19,20,0,0,2,13,5,0
2019-10-20,15,0,0,3,14,4,0
2019-10-21,21,0,0,2,12,2,0
2019-10-22,19,0,0,2,10,6,0
2019-10-23,24,0,0,2,7,5,1
2019-10-24,18,0,1,2,11,4,0
2019-10-25,24,0,0,3,11,6,1
2019-10-26,27,0,0,4,9,4,0
2019-10-27,17,0,0,6,13,3,0
2019-10-28,24,0,0,5,13,7,0
2019-10-29,23,0,0,4,7,4,2
2019-10-30,24,0,0,3,7,4,0
2019-10-31,24,0,0,1,7,5,1
2019-11-01,22,0,0,7,17,12,0
2019-11-02,23,0,0,4,8,9,0
2019-11-03,17,0,0,9,12,2,0
2019-11-04,19,0,0,3,2,11,0
2019-11-05,24,0,0,4,14,5,0
2019-11-06,22,0,0,7,7,8,0
2019-11-07,20,0,1,1,9,5,0
2019-11-08,22,0,0,5,12,4,0
2019-11-09,14,0,0,2,8,3,1
2019-11-10,17,0,0,7,12,5,0
2019-11-11,24,0,0,3,11,6,0
2019-11-12,28,0,0,3,3,8,0
2019-11-13,20,0,0,1,5,1,0
2019-11-14,16,0,0,2,11,7,0
2019-11-15,23,0,0,2,6,3,0
2019-11-16,26,0,0,1,12,5,0
2019-11-17,17,0,0,3,8,3,0
2019-11-18,23,0,1,4,16,6,0
2019-11-19,19,0,1,3,10,2,0
2019-11-20,14,0,0,4,9,5,0
2019-11-21,13,0,0,1,5,5,0
2019-11-22,20,0,0,1,11,7,0
2019-11-23,22,0,0,2,12,6,0
2019-11-24,21,0,0,4,5,3,0
2019-11-25,26,0,0,2,12,2,0
2019-11-26,20,0,0,3,7,8,0
2019-11-27,20,0,0,6,15,4,0
2019-11-28,19,0,0,2,7,5,1
2019-11-29,18,0,0,1,7,2,0
2019-11-30,29,0,1,5,10,4,0
2019-12-01,21,0,0,5,9,5,0
2019-12-02,18,0,0,2,9,2,0
2019-12-03,23,0,0,6,5,3,0
2019-12-04,25,0,0,6,6,3,0
2019-12-05,30,0,0,2,5,7,0
2019-12-06,25,0,0,7,6,6,0
2019-12-07,28,0,1,2,13,11,0
2019-12-08,17,0,0,3,2,3,0
2019-12-09,21,0,0,7,8,4,0
2019-12-10,19,0,0,3,7,2,0
2019-12-11,13,0,0,3,6,4,0
2019-12-12,20,0,0,2,3,2,0
2019-12-13,22,0,0,3,5,1,0
2019-12-14,15,0,0,5,8,8,0
2019-12-15,15,0,0,4,4,5,0
2019-12-16,18,0,0,2,8,4,0
2019-12-17,21,0,0,2,3,3,0
2019-12-18,17,0,1,7,3,5,0
2019-12-19,15,0,0,4,7,4,1
2019-12-20,27,0,0,4,8,2,1
2019-12-21,20,0,0,2,8,6,1
2019-12-22,19,0,0,6,6,2,0
2019-12-23,17,0,0,1,7,4,0
2019-12-24,28,0,0,6,10,4,1
2019-12-25,12,0,1,3,8,7,0
2019-12-26,21,0,0,6,4,7,0
2019-12-27,22,0,0,5,7,15,0
2019-12-28,28,0,1,4,10,3,0
2019-12-29,25,0,0,2,5,1,0
2019-12-30,16,0,0,4,11,6,0
2019-12-31,13,0,0,5,7,5,0
2020-01-01,14,0,0,5,10,5,1
2020-01-02,17,0,0,3,5,5,0
2020-01-03,20,0,0,6,6,5,0
2020-01-04,18,0,0,4,10,7,0
2020-01-05,21,0,0,5,4,4,0
2020-01-06,21,0,0,2,10,0,0
2020-01-07,16,0,0,3,16,6,0
2020-01-08,20,0,0,5,13,1,0
2020-01-09,17,0,0,5,6,5,0
2020-01-10,21,0,1,5,7,5,0
2020-01-11,20,0,0,2,10,10,0
2020-01-12,14,0,0,6,5,2,0
2020-01-13,28,0,0,1,12,4,0
2020-01-14,24,0,1,3,9,5,0
2020-01-15,24,0,0,7,8,6,0
2020-01-16,25,0,0,6,6,7,0
2020-01-17,17,0,1,3,10,6,0
2020-01-18,18,0,0,3,7,5,0
2020-01-19,18,0,0,5,11,9,0
2020-01-20,23,0,1,2,15,4,0
2020-01-21,25,0,0,3,7,5,0
2020-01-22,21,0,0,2,5,6,0
2020-01-23,12,0,0,6,6,5,0
2020-01-24,28,0,1,3,4,4,0
2020-01-25,20,0,0,1,4,5,0
2020-01-26,19,0,0,6,7,0,0
2020-01-27,12,0,0,3,5,7,0
2020-01-28,23,0,0,3,7,4,0
2020-01-29,14,0,0,3,6,3,0
2020-01-30,20,0,1,3,9,7,0
2020-01-31,28,0,0,1,11,6,0
2020-02-01,18,0,0,3,10,11,0
2020-02-02,18,0,0,3,9,7,0
2020-02-03,20,0,0,1,10,5,0
2020-02-04,21,0,0,2,8,10,0
2020-02-05,17,0,0,6,7,7,0
2020-02-06,39,0,0,6,2,5,0
2020-02-07,19,0,1,3,11,4,0
2020-02-08,28,0,0,4,10,8,0
2020-02-09,17,0,0,7,9,7,1
2020-02-10,18,0,0,1,5,2,0
2020-02-11,29,0,0,5,12,4,0
2020-02-12,16,0,0,3,8,5,1
2020-02-13,18,0,0,5,11,7,0
2020-02-14,22,0,0,6,10,4,0
2020-02-15,16,0,0,4,13,6,0
2020-02-16,23,0,1,2,7,8,0
2020-02-17,27,0,0,4,9,4,0
2020-02-18,22,0,0,1,6,3,0
2020-02-19,27,0,0,3,10,5,0
2020-02-20,23,0,0,0,6,7,0
2020-02-21,21,0,0,4,7,2,0
2020-02-22,18,0,0,2,12,6,0
2020-02-23,19,0,0,1,9,2,0
2020-02-24,16,0,0,3,12,3,0
2020-02-25,17,0,0,1,5,7,0
2020-02-26,16,0,1,5,10,2,0
2020-02-27,19,0,0,8,5,5,0
2020-02-28,26,0,0,3,6,7,0
2020-02-29,19,0,0,3,10,3,0
2020-03-01,22,0,0,3,7,3,1
2020-03-02,23,0,1,6,7,5,0
2020-03-03,22,0,0,4,11,5,0
2020-03-04,16,0,0,2,13,6,0
2020-03-05,20,0,0,2,10,6,0
2020-03-06,19,0,0,2,8,7,0
2020-03-07,18,0,0,1,10,5,0
2020-03-08,18,0,0,5,10,5,0
2020-03-09,25,0,0,4,14,6,0
2020-03-10,27,0,0,3,13,9,0
2020-03-11,25,0,0,5,6,10,0
2020-03-12,24,0,0,1,6,7,0
2020-03-13,16,0,0,6,10,4,0
2020-03-14,31,0,0,5,10,9,0
2020-03-15,32,0,1,5,16,5,0
2020-03-16,20,0,0,4,10,4,0
2020-03-17,24,0,0,1,10,7,0
2020-03-18,33,0,2,5,10,6,0
2020-03-19,25,0,0,2,9,8,0
2020-03-20,26,0,0,3,18,4,0
2020-03-21,35,0,0,5,9,5,1
2020-03-22,21,0,0,6,6,3,1
2020-03-23,13,0,0,3,14,2,0
2020-03-24,25,0,0,5,15,2,0
2020-03-25,31,0,0,3,9,4,2
2020-03-26,20,0,0,8,8,6,0
2020-03-27,18,0,2,3,9,4,1
2020-03-28,24,0,0,3,7,4,0
2020-03-29,26,0,0,3,5,5,0
2020-03-30,24,0,0,4,16,4,0
2020-03-31,21,0,0,1,13,1,1
2020-04-01,17,1,1,3,13,2,0
2020-04-02,28,0,0,6,9,3,0
2020-04-03,21,0,1,2,9,2,1
2020-04-04,19,0,0,9,6,0,0
2020-04-05,18,0,0,4,3,6,1
2020-04-06,18,0,0,4,11,8,0
2020-04-07,18,1,0,4,7,4,0
2020-04-08,18,0,0,3,7,2,1
2020-04-09,21,0,0,2,11,5,0
2020-04-10,21,0,0,3,14,4,0
2020-04-11,22,0,0,2,6,5,0
2020-04-12,31,0,0,6,5,7,0
2020-04-13,21,1,0,2,7,2,0
2020-04-14,26,0,1,4,7,6,0
2020-04-15,21,1,0,4,7,4,1
2020-04-16,17,0,0,4,8,5,0
2020-04-17,27,0,1,1,3,3,0
2020-04-18,24,1,1,5,10,3,0
2020-04-19,18,1,0,3,7,5,0
2020-04-20,16,1,0,5,6,6,0
2020-04-21,23,1,0,9,10,6,0
2020-04-22,15,1,0,2,2,4,0
2020-04-23,22,1,0,4,5,5,1
2020-04-24,21,0,0,1,6,4,0
2020-04-25,25,0,0,2,4,8,0
2020-04-26,16,0,0,3,5,5,0
2020-04-27,22,1,0,2,10,3,0
2020-04-28,28,0,0,5,6,6,1
2020-04-29,11,0,0,2,6,4,0
2020-04-30,16,0,0,2,11,2,0
2020-05-01,22,1,1,3,5,11,0
2020-05-02,16,0,0,1,6,2,2
2020-05-03,23,1,0,2,8,5,0
2020-05-04,27,0,0,7,4,5,0
2020-05-05,19,0,0,6,6,3,0
2020-05-06,27,0,0,1,4,3,1
2020-05-07,20,0,1,6,6,6,0
2020-05-08,21,0,0,3,5,3,1
2020-05-09,29,0,0,2,10,3,1
2020-05-10,35,0,0,0,9,5,0
2020-05-11,25,0,0,4,9,5,0
2020-05-12,20,1,0,3,4,5,0
2020-05-13,21,0,0,2,7,3,0
2020-05-14,19,1,0,5,7,8,0
2020-05-15,21,2,0,4,10,3,1
2020-05-16,20,1,0,5,5,4,0
2020-05-17,21,1,1,4,3,9,0
2020-05-18,29,0,0,4,11,3,0
2020-05-19,15,0,0,5,4,10,0
2020-05-20,25,2,0,2,7,10,1
2020-05-21,35,1,0,3,8,3,0
2020-05-22,19,1,0,5,5,7,0
2020-05-23,33,0,1,1,3,3,0
2020-05-24,28,0,0,3,10,6,0
2020-05-25,32,0,0,5,11,5,0
2020-05-26,24,1,1,3,11,8,0
2020-05-27,27,0,0,4,14,10,0
2020-05-28,20,1,0,3,7,6,0
2020-05-29,26,1,0,4,10,10,0
2020-05-30,32,3,0,2,6,6,0
2020-05-31,21,1,0,3,10,2,0
2020-06-01,26,0,0,1,6,2,0
2020-06-02,17,0,0,4,8,4,1
2020-06-03,19,1,1,5,5,10,0
2020-06-04,21,1,0,2,8,4,0
2020-06-05,28,1,0,4,11,2,0
2020-06-06,25,1,0,2,6,8,0
2020-06-07,22,1,0,4,12,4,0
2020-06-08,35,0,0,4,11,5,0
2020-06-09,12,1,0,4,8,5,0
2020-06-10,19,0,1,4,6,5,0
2020-06-11,19,2,1,1,5,4,0
2020-06-12,28,1,0,0,6,2,0
2020-06-13,19,2,0,8,11,6,0
2020-06-14,33,3,0,1,14,3,0
2020-06-15,22,2,0,5,6,7,1
2020-06-16,23,1,1,2,4,6,0
2020-06-17,22,2,0,4,7,1,0
2020-06-18,22,3,0,4,8,5,1
2020-06-19,23,2,0,3,6,2,1
2020-06-20,25,2,0,3,5,4,0
2020-06-21,25,3,0,5,9,7,0
2020-06-22,19,3,0,2,7,2,0
2020-06-23,14,4,0,3,4,10,0
2020-06-24,22,5,0,4,3,6,0
2020-06-25,20,6,0,7,12,6,0
2020-06-26,17,2,0,3,6,4,0
2020-06-27,20,4,0,6,8,3,0
2020-06-28,22,4,0,5,5,6,1
2020-06-29,27,4,0,2,2,8,1
2020-06-30,33,5,0,3,8,6,0
2020-07-01,19,9,0,4,6,5,0
2020-07-02,24,9,2,2,10,5,0
2020-07-03,16,7,0,1,5,5,0
2020-07-04,24,2,0,4,5,4,0
2020-07-05,16,4,0,2,9,6,0
2020-07-06,17,8,0,2,7,6,1
2020-07-07,20,4,0,3,12,4,0
2020-07-08,19,1,0,3,4,2,1
2020-07-09,19,11,0,3,11,6,0
2020-07-10,17,6,0,4,4,3,1
2020-07-11,20,12,0,2,12,0,2
2020-07-12,18,12,0,4,11,1,0
2020-07-13,30,8,0,4,9,3,0
2020-07-14,27,9,0,2,8,5,1
2020-07-15,23,13,0,4,4,3,0
2020-07-16,26,9,0,3,8,6,0
2020-07-17,17,8,0,2,10,4,0
2020-07-18,18,5,0,3,8,3,0
2020-07-19,16,11,0,4,9,4,0
2020-07-20,16,8,0,1,3,4,1
2020-07-21,24,12,0,1,4,6,0
2020-07-22,17,4,0,3,3,4,0
2020-07-23,18,8,0,3,5,3,0
2020-07-24,8,4,0,3,7,4,0
2020-07-25,15,6,0,3,3,2,0
2020-07-26,12,13,0,1,4,1,1
2020-07-27,10,5,0,2,2,2,0
2020-07-28,2,4,0,0,0,0,0