DATA_OBITO,OUTRAS,COVID - MT,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,3,0,0,0,0,0,0
2018-01-02,2,0,0,1,3,1,0
2018-01-03,4,0,0,0,1,0,0
2018-01-04,6,0,0,1,0,0,0
2018-01-05,3,0,0,0,1,0,0
2018-01-06,2,0,0,0,0,1,0
2018-01-07,1,0,0,0,1,0,0
2018-01-08,1,0,0,0,2,0,0
2018-01-09,1,0,0,0,0,0,0
2018-01-10,3,0,0,0,0,0,0
2018-01-11,1,0,0,0,1,0,0
2018-01-12,2,0,0,0,0,1,0
2018-01-13,3,0,0,0,0,0,0
2018-01-14,5,0,0,0,0,0,0
2018-01-15,3,0,0,2,1,0,0
2018-01-16,1,0,0,1,0,0,0
2018-01-17,3,0,0,0,1,2,0
2018-01-18,1,0,0,0,3,0,0
2018-01-19,4,0,0,0,0,0,0
2018-01-20,2,0,0,0,0,1,0
2018-01-21,6,0,0,0,0,1,0
2018-01-22,2,0,0,1,1,0,0
2018-01-23,2,0,0,0,0,0,0
2018-01-24,4,0,0,0,0,0,0
2018-01-25,2,0,0,0,0,1,0
2018-01-26,4,0,0,1,1,0,0
2018-01-27,4,0,0,0,1,0,0
2018-01-28,4,0,0,0,0,1,0
2018-01-29,2,0,0,1,0,2,0
2018-01-30,1,0,0,1,0,2,0
2018-01-31,3,0,0,0,0,0,0
2018-02-01,3,0,0,0,1,1,0
2018-02-02,1,0,0,0,0,0,0
2018-02-03,1,0,0,1,0,2,0
2018-02-04,2,0,0,0,0,0,0
2018-02-05,2,0,0,1,0,0,0
2018-02-06,1,0,0,1,1,0,0
2018-02-07,5,0,0,1,0,0,0
2018-02-08,2,0,0,1,0,0,0
2018-02-09,3,0,0,0,0,0,0
2018-02-10,4,0,0,0,0,1,0
2018-02-11,6,0,0,1,0,0,0
2018-02-12,1,0,0,0,0,0,0
2018-02-13,2,0,0,1,1,0,0
2018-02-14,1,0,0,1,0,0,0
2018-02-15,3,0,0,0,0,0,0
2018-02-16,1,0,0,1,0,0,0
2018-02-17,4,0,0,0,1,0,0
2018-02-18,4,0,0,1,2,0,0
2018-02-19,1,0,0,0,2,0,0
2018-02-20,5,0,0,0,0,1,0
2018-02-21,3,0,0,0,2,1,0
2018-02-22,2,0,0,0,1,0,0
2018-02-23,0,0,1,0,0,1,0
2018-02-24,3,0,0,0,0,0,0
2018-02-25,3,0,0,0,0,1,0
2018-02-26,5,0,0,1,0,0,0
2018-02-27,4,0,0,1,1,0,0
2018-02-28,4,0,0,1,0,0,0
2018-03-01,2,0,0,2,0,1,0
2018-03-02,1,0,0,0,0,0,0
2018-03-03,1,0,0,1,0,0,0
2018-03-04,2,0,0,0,0,1,0
2018-03-05,1,0,0,0,0,0,0
2018-03-06,6,0,0,0,1,0,0
2018-03-07,4,0,0,0,0,0,0
2018-03-08,0,0,0,2,1,0,0
2018-03-09,0,0,0,0,1,0,0
2018-03-10,2,0,0,0,0,0,0
2018-03-11,1,0,0,0,0,0,0
2018-03-12,1,0,0,0,0,0,0
2018-03-13,2,0,0,0,2,0,0
2018-03-14,2,0,0,0,0,0,0
2018-03-15,4,0,0,0,0,0,0
2018-03-16,0,0,0,1,3,0,0
2018-03-17,2,0,0,0,1,0,0
2018-03-18,1,0,0,0,0,0,0
2018-03-19,1,0,0,0,1,0,0
2018-03-20,2,0,0,0,1,0,0
2018-03-21,4,0,0,0,3,0,0
2018-03-23,2,0,0,1,0,0,0
2018-03-24,3,0,0,0,0,0,0
2018-03-25,3,0,0,1,1,0,0
2018-03-26,3,0,0,0,0,0,0
2018-03-27,1,0,0,0,2,0,0
2018-03-28,4,0,0,1,1,0,0
2018-03-29,2,0,0,2,0,1,0
2018-03-30,1,0,0,1,1,0,0
2018-03-31,1,0,0,0,1,0,0
2018-04-01,2,0,0,0,0,0,0
2018-04-02,3,0,0,0,0,0,0
2018-04-03,0,0,0,0,1,0,0
2018-04-04,3,0,0,0,1,0,0
2018-04-05,4,0,0,1,0,2,0
2018-04-06,1,0,0,1,1,0,0
2018-04-07,0,0,0,0,2,1,0
2018-04-08,4,0,0,0,0,1,0
2018-04-09,6,0,0,0,0,0,0
2018-04-10,3,0,0,0,2,1,0
2018-04-11,4,0,0,0,0,0,0
2018-04-12,2,0,0,0,2,1,0
2018-04-13,3,0,0,0,1,1,0
2018-04-14,1,0,0,0,1,2,0
2018-04-15,2,0,1,0,0,0,0
2018-04-16,1,0,0,0,2,1,0
2018-04-17,3,0,0,0,1,1,0
2018-04-18,1,0,0,0,1,0,0
2018-04-19,5,0,0,0,0,0,0
2018-04-20,2,0,0,0,0,1,0
2018-04-21,1,0,0,0,0,1,0
2018-04-22,3,0,0,0,2,1,0
2018-04-23,5,0,0,0,1,1,0
2018-04-24,2,0,0,1,1,0,0
2018-04-25,2,0,0,1,0,0,0
2018-04-26,4,0,0,0,1,0,0
2018-04-27,2,0,0,0,1,0,0
2018-04-28,7,0,0,2,0,1,0
2018-04-29,2,0,0,0,2,0,0
2018-04-30,3,0,0,0,0,0,0
2018-05-01,4,0,0,0,2,1,0
2018-05-02,1,0,0,0,2,0,0
2018-05-03,5,0,0,1,1,0,0
2018-05-04,1,0,0,1,0,0,0
2018-05-05,6,0,0,0,3,0,0
2018-05-06,2,0,0,1,0,0,0
2018-05-07,3,0,0,1,1,0,0
2018-05-08,0,0,1,0,2,0,0
2018-05-09,1,0,0,0,1,1,0
2018-05-10,3,0,0,0,2,0,0
2018-05-11,1,0,0,2,1,0,0
2018-05-12,3,0,0,1,1,0,0
2018-05-13,0,0,0,0,1,1,0
2018-05-14,3,0,0,0,1,0,0
2018-05-15,4,0,0,0,0,0,0
2018-05-16,3,0,0,1,0,0,0
2018-05-17,1,0,0,0,1,0,0
2018-05-18,2,0,0,1,0,0,0
2018-05-19,2,0,0,0,1,1,0
2018-05-20,3,0,0,0,0,1,0
2018-05-21,3,0,0,0,0,1,0
2018-05-22,7,0,0,1,2,1,0
2018-05-23,2,0,0,0,1,0,0
2018-05-24,3,0,0,0,0,0,0
2018-05-25,1,0,0,1,1,0,0
2018-05-26,4,0,0,0,0,0,0
2018-05-27,3,0,0,0,1,1,0
2018-05-28,5,0,0,0,1,0,0
2018-05-29,2,0,0,1,0,1,0
2018-05-30,2,0,0,1,0,1,0
2018-05-31,7,0,0,0,2,0,0
2018-06-01,1,0,0,1,1,0,0
2018-06-02,5,0,0,0,0,0,0
2018-06-03,5,0,0,0,2,0,0
2018-06-04,5,0,0,0,2,0,0
2018-06-05,1,0,0,0,0,0,0
2018-06-06,4,0,0,0,1,0,0
2018-06-07,2,0,2,0,0,3,0
2018-06-08,6,0,0,1,1,0,0
2018-06-09,0,0,0,0,2,1,0
2018-06-10,2,0,0,0,0,1,0
2018-06-11,2,0,0,1,0,2,0
2018-06-12,1,0,0,0,0,0,0
2018-06-13,2,0,0,0,3,0,1
2018-06-14,7,0,0,1,1,1,0
2018-06-15,2,0,0,0,0,1,0
2018-06-16,1,0,0,0,0,0,0
2018-06-17,1,0,0,1,2,1,0
2018-06-18,3,0,0,1,0,0,0
2018-06-19,5,0,0,0,2,0,0
2018-06-20,5,0,0,0,2,0,0
2018-06-21,8,0,0,0,0,1,0
2018-06-22,3,0,0,0,1,1,0
2018-06-23,3,0,0,1,1,1,0
2018-06-24,7,0,0,1,1,0,0
2018-06-25,2,0,0,0,0,0,0
2018-06-26,4,0,0,0,0,1,0
2018-06-27,0,0,0,0,0,1,0
2018-06-28,2,0,0,0,0,0,0
2018-06-29,8,0,0,0,0,1,0
2018-06-30,8,0,0,0,1,0,0
2018-07-01,2,0,0,1,1,0,0
2018-07-02,5,0,0,2,1,0,0
2018-07-03,6,0,0,0,0,0,0
2018-07-04,5,0,0,0,1,0,0
2018-07-05,5,0,0,2,1,0,0
2018-07-06,2,0,1,0,1,0,0
2018-07-07,6,0,0,1,1,0,0
2018-07-08,4,0,0,0,1,0,0
2018-07-09,5,0,0,1,2,1,0
2018-07-10,2,0,0,0,1,0,0
2018-07-11,6,0,0,2,0,1,0
2018-07-12,8,0,0,0,1,1,0
2018-07-13,7,0,0,1,2,0,0
2018-07-14,8,0,0,1,0,1,0
2018-07-15,15,0,0,2,5,1,0
2018-07-16,10,0,0,0,8,3,0
2018-07-17,26,0,0,1,5,2,0
2018-07-18,15,0,0,1,5,1,0
2018-07-19,11,0,1,1,3,2,0
2018-07-20,13,0,0,1,4,8,1
2018-07-21,17,0,0,1,9,0,0
2018-07-22,15,0,0,0,3,2,0
2018-07-23,25,0,0,0,0,2,0
2018-07-24,29,0,0,0,4,1,1
2018-07-25,15,0,0,2,2,0,0
2018-07-26,21,0,0,1,0,4,0
2018-07-27,18,0,0,2,3,0,0
2018-07-28,12,0,0,2,2,3,0
2018-07-29,15,0,0,1,0,2,0
2018-07-30,27,0,1,1,3,4,0
2018-07-31,21,0,0,0,2,1,0
2018-08-01,20,0,0,2,8,6,0
2018-08-02,20,0,0,3,3,5,0
2018-08-03,25,0,0,2,6,4,0
2018-08-04,30,0,0,3,6,4,0
2018-08-05,29,0,0,5,4,5,0
2018-08-06,24,0,0,2,1,2,0
2018-08-07,23,0,0,0,4,4,0
2018-08-08,18,0,0,2,4,0,0
2018-08-09,15,0,0,1,3,5,0
2018-08-10,25,0,2,3,4,6,0
2018-08-11,33,0,0,0,5,2,0
2018-08-12,20,0,0,0,2,3,0
2018-08-13,17,0,0,1,7,5,0
2018-08-14,16,0,0,4,6,5,0
2018-08-15,22,0,0,2,8,6,0
2018-08-16,33,0,0,1,6,4,0
2018-08-17,24,0,0,1,3,3,0
2018-08-18,23,0,0,3,4,2,0
2018-08-19,27,0,0,2,2,7,0
2018-08-20,20,0,0,1,3,3,0
2018-08-21,15,0,0,1,6,1,0
2018-08-22,26,0,0,2,3,3,1
2018-08-23,21,0,0,0,7,3,0
2018-08-24,19,0,0,1,9,3,1
2018-08-25,22,0,0,0,5,2,0
2018-08-26,15,0,0,0,6,2,0
2018-08-27,28,0,0,1,4,1,0
2018-08-28,36,0,0,3,3,3,0
2018-08-29,24,0,0,3,6,3,0
2018-08-30,32,0,0,1,4,4,0
2018-08-31,15,0,0,0,9,0,0
2018-09-01,23,0,0,0,3,4,0
2018-09-02,27,0,0,1,3,4,0
2018-09-03,23,0,1,1,1,0,0
2018-09-04,25,0,0,1,6,1,0
2018-09-05,29,0,0,2,2,0,0
2018-09-06,30,0,0,1,0,3,0
2018-09-07,17,0,0,1,2,0,1
2018-09-08,25,0,0,2,4,0,0
2018-09-09,38,0,0,0,2,2,0
2018-09-10,30,0,0,2,5,1,0
2018-09-11,22,0,0,4,0,0,0
2018-09-12,22,0,1,1,5,2,0
2018-09-13,27,0,0,3,5,2,1
2018-09-14,22,0,0,0,1,1,0
2018-09-15,23,0,0,1,7,2,0
2018-09-16,20,0,0,3,0,4,0
2018-09-17,28,0,0,2,5,0,0
2018-09-18,24,0,0,2,2,1,0
2018-09-19,38,0,0,1,1,3,0
2018-09-20,26,0,0,1,5,3,0
2018-09-21,41,0,0,0,3,1,0
2018-09-22,37,0,0,3,3,1,0
2018-09-23,33,0,0,2,7,2,0
2018-09-24,40,0,0,5,9,3,0
2018-09-25,26,0,0,5,7,2,0
2018-09-26,29,0,0,0,4,2,0
2018-09-27,23,0,0,2,3,1,0
2018-09-28,27,0,0,1,4,3,0
2018-09-29,25,0,0,2,2,4,0
2018-09-30,20,0,0,4,1,3,0
2018-10-01,25,0,0,3,5,3,0
2018-10-02,26,0,1,2,5,1,0
2018-10-03,21,0,1,2,2,2,0
2018-10-04,20,0,0,0,2,1,1
2018-10-05,42,0,0,1,4,3,1
2018-10-06,23,0,0,2,5,2,0
2018-10-07,28,0,0,1,2,1,0
2018-10-08,28,0,0,2,3,3,0
2018-10-09,23,0,0,2,2,5,0
2018-10-10,22,0,0,1,1,2,0
2018-10-11,27,0,0,2,3,3,0
2018-10-12,22,0,0,4,2,2,0
2018-10-13,30,0,0,0,0,2,0
2018-10-14,27,0,1,3,8,1,0
2018-10-15,29,0,0,1,2,1,1
2018-10-16,23,0,1,1,2,1,0
2018-10-17,23,0,0,2,2,1,0
2018-10-18,25,0,0,2,2,0,0
2018-10-19,25,0,1,0,3,2,0
2018-10-20,26,0,1,3,1,2,0
2018-10-21,20,0,0,2,2,2,0
2018-10-22,24,0,0,1,2,2,0
2018-10-23,28,0,0,3,4,2,0
2018-10-24,27,0,0,2,1,1,0
2018-10-25,24,0,0,2,1,6,0
2018-10-26,28,0,1,1,1,4,0
2018-10-27,24,0,0,1,0,6,0
2018-10-28,14,0,0,1,5,2,0
2018-10-29,28,0,0,2,1,2,0
2018-10-30,29,0,1,2,1,2,0
2018-10-31,30,0,0,2,2,2,0
2018-11-01,28,0,0,2,2,2,0
2018-11-02,36,0,0,6,6,2,0
2018-11-03,32,0,0,1,3,2,0
2018-11-04,17,0,0,4,1,3,0
2018-11-05,28,0,0,0,9,3,0
2018-11-06,21,0,0,4,7,1,0
2018-11-07,26,0,0,2,5,3,0
2018-11-08,26,0,0,2,3,1,0
2018-11-09,24,0,0,0,2,1,0
2018-11-10,24,0,0,2,2,4,0
2018-11-11,21,0,0,1,3,2,0
2018-11-12,15,0,0,0,4,0,0
2018-11-13,15,0,0,0,2,0,0
2018-11-14,27,0,0,1,2,2,0
2018-11-15,30,0,0,0,2,4,0
2018-11-16,21,0,1,2,2,3,0
2018-11-17,20,0,0,2,2,2,0
2018-11-18,27,0,0,2,5,1,0
2018-11-19,28,0,0,3,3,0,1
2018-11-20,18,0,0,0,7,3,0
2018-11-21,23,0,0,0,4,2,0
2018-11-22,24,0,0,3,2,2,0
2018-11-23,20,0,0,1,4,0,0
2018-11-24,22,0,0,5,2,2,0
2018-11-25,19,0,0,1,3,0,0
2018-11-26,18,0,0,1,4,3,0
2018-11-27,22,0,0,2,4,2,0
2018-11-28,27,0,2,0,2,2,0
2018-11-29,22,0,0,0,6,3,0
2018-11-30,33,0,0,1,5,0,0
2018-12-01,28,0,0,3,2,2,0
2018-12-02,28,0,0,2,0,2,0
2018-12-03,21,0,2,3,3,4,0
2018-12-04,28,0,1,3,2,2,0
2018-12-05,24,0,2,0,3,2,0
2018-12-06,22,0,0,1,4,1,0
2018-12-07,20,0,0,1,1,5,0
2018-12-08,27,0,0,0,2,6,0
2018-12-09,34,0,0,3,2,1,0
2018-12-10,34,0,0,2,2,0,0
2018-12-11,25,0,0,2,2,0,0
2018-12-12,28,0,0,2,3,2,0
2018-12-13,29,0,0,2,2,0,0
2018-12-14,30,0,0,4,3,6,0
2018-12-15,37,0,0,3,1,1,0
2018-12-16,29,0,0,0,6,3,0
2018-12-17,35,0,0,2,0,4,0
2018-12-18,33,0,0,1,4,4,0
2018-12-19,29,0,0,3,3,3,0
2018-12-20,19,0,0,0,1,2,0
2018-12-21,23,0,0,2,2,3,0
2018-12-22,25,0,0,2,5,2,0
2018-12-23,32,0,1,0,4,1,0
2018-12-24,25,0,0,5,4,4,0
2018-12-25,24,0,0,0,2,6,0
2018-12-26,29,0,0,3,2,1,0
2018-12-27,22,0,0,1,3,1,0
2018-12-28,19,0,0,2,3,1,0
2018-12-29,36,0,0,2,3,5,0
2018-12-30,19,0,0,1,1,1,0
2018-12-31,23,0,0,4,4,3,0
2019-01-01,31,0,0,3,6,5,0
2019-01-02,17,0,0,1,2,4,0
2019-01-03,20,0,0,3,1,2,0
2019-01-04,20,0,0,2,4,5,0
2019-01-05,19,0,0,1,2,3,0
2019-01-06,24,0,0,1,1,3,0
2019-01-07,23,0,1,0,3,1,0
2019-01-08,23,0,0,2,0,7,0
2019-01-09,19,0,0,0,1,2,0
2019-01-10,15,0,0,3,0,4,0
2019-01-11,27,0,0,0,3,2,0
2019-01-12,30,0,0,0,3,0,0
2019-01-13,17,0,0,2,2,1,0
2019-01-14,16,0,0,2,6,2,0
2019-01-15,19,0,1,2,4,3,0
2019-01-16,32,0,1,3,1,1,0
2019-01-17,22,0,0,1,1,1,0
2019-01-18,29,0,0,1,1,2,0
2019-01-19,25,0,0,5,3,4,0
2019-01-20,19,0,0,2,5,2,0
2019-01-21,21,0,0,2,1,2,0
2019-01-22,21,0,0,5,1,2,0
2019-01-23,25,0,0,0,3,4,0
2019-01-24,26,0,0,2,3,0,0
2019-01-25,20,0,0,1,3,3,0
2019-01-26,24,0,0,1,3,2,0
2019-01-27,22,0,0,2,5,2,0
2019-01-28,29,0,0,1,3,0,0
2019-01-29,22,0,0,1,0,3,0
2019-01-30,27,0,0,2,1,1,1
2019-01-31,29,0,0,2,4,3,0
2019-02-01,33,0,0,2,4,4,0
2019-02-02,23,0,0,0,2,2,0
2019-02-03,28,0,0,2,1,1,0
2019-02-04,21,0,0,0,4,1,0
2019-02-05,20,0,0,2,4,3,0
2019-02-06,26,0,0,0,2,4,0
2019-02-07,19,0,0,2,1,1,0
2019-02-08,21,0,0,1,4,0,1
2019-02-09,22,0,0,0,1,3,0
2019-02-10,18,0,0,4,2,2,0
2019-02-11,20,0,0,4,2,4,0
2019-02-12,20,0,0,1,2,2,0
2019-02-13,23,0,0,2,1,2,0
2019-02-14,27,0,0,1,1,1,0
2019-02-15,25,0,0,2,2,0,0
2019-02-16,31,0,1,2,3,2,1
2019-02-17,21,0,0,0,2,3,0
2019-02-18,11,0,0,1,4,2,0
2019-02-19,28,0,0,4,2,1,0
2019-02-20,26,0,0,3,3,3,0
2019-02-21,18,0,0,2,1,2,0
2019-02-22,19,0,0,2,5,1,0
2019-02-23,26,0,0,3,4,1,0
2019-02-24,32,0,0,1,3,3,0
2019-02-25,34,0,0,1,0,1,0
2019-02-26,24,0,0,1,3,2,1
2019-02-27,22,0,0,3,3,1,0
2019-02-28,36,0,0,2,4,3,0
2019-03-01,22,0,0,1,4,0,0
2019-03-02,25,0,0,4,1,0,0
2019-03-03,21,0,0,4,6,0,0
2019-03-04,18,0,0,1,5,2,0
2019-03-05,30,0,0,2,2,1,0
2019-03-06,28,0,0,0,1,2,0
2019-03-07,24,0,0,3,5,6,0
2019-03-08,31,0,0,2,3,4,0
2019-03-09,27,0,0,5,4,2,0
2019-03-10,31,0,0,2,2,1,0
2019-03-11,26,0,0,3,4,2,0
2019-03-12,34,0,0,2,2,2,0
2019-03-13,31,0,0,3,1,3,0
2019-03-14,33,0,0,2,2,3,0
2019-03-15,33,0,0,1,6,3,0
2019-03-16,33,0,0,3,5,3,0
2019-03-17,28,0,0,2,6,1,0
2019-03-18,30,0,0,0,4,1,0
2019-03-19,21,0,0,2,5,5,0
2019-03-20,25,0,0,0,1,4,0
2019-03-21,12,0,0,1,3,4,0
2019-03-22,20,0,0,3,3,1,0
2019-03-23,21,0,0,3,4,2,0
2019-03-24,29,0,0,3,5,5,0
2019-03-25,24,0,0,1,3,2,1
2019-03-26,28,0,0,6,3,1,0
2019-03-27,26,0,0,2,6,1,0
2019-03-28,29,0,0,3,2,2,0
2019-03-29,23,0,0,1,3,4,0
2019-03-30,33,0,0,2,4,6,0
2019-03-31,39,0,0,3,1,2,1
2019-04-01,22,0,0,1,5,1,0
2019-04-02,30,0,0,4,0,5,0
2019-04-03,27,0,1,3,2,1,0
2019-04-04,33,0,0,0,1,1,0
2019-04-05,24,0,0,3,5,4,0
2019-04-06,25,0,0,7,7,3,0
2019-04-07,27,0,0,1,2,1,0
2019-04-08,26,0,0,1,2,8,0
2019-04-09,34,0,1,2,4,4,0
2019-04-10,18,0,1,0,3,2,0
2019-04-11,29,0,0,1,2,3,0
2019-04-12,33,0,2,1,3,1,0
2019-04-13,16,0,0,1,0,2,0
2019-04-14,34,0,0,6,2,3,0
2019-04-15,24,0,0,1,4,2,0
2019-04-16,25,0,0,2,4,2,0
2019-04-17,20,0,0,0,5,2,0
