DATA_OBITO,OUTRAS,COVID - PB,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-04-15,47,0,0,7,11,8,0
2019-04-16,43,0,0,5,19,12,0
2019-04-17,46,0,1,11,14,12,0
2019-04-18,42,0,0,7,11,15,0
2019-04-19,25,0,0,4,10,7,0
2019-04-20,26,0,0,9,14,12,0
2019-04-21,36,0,0,7,12,20,0
2019-04-22,45,0,1,8,11,13,0
2019-04-23,30,0,0,6,15,12,0
2019-04-24,39,0,0,7,15,8,0
2019-04-25,36,0,1,3,10,8,0
2019-04-26,48,0,0,3,13,13,0
2019-04-27,36,0,0,9,17,8,0
2019-04-28,44,0,1,5,17,19,0
2019-04-29,27,0,1,11,13,9,0
2019-04-30,41,0,1,10,17,10,0
2019-05-01,42,0,0,14,12,13,0
2019-05-02,49,0,0,9,16,14,0
2019-05-03,51,0,1,11,10,14,0
2019-05-04,33,0,0,6,26,9,0
2019-05-05,36,0,1,5,7,10,0
2019-05-06,49,0,0,6,17,7,0
2019-05-07,42,0,0,8,8,12,0
2019-05-08,34,0,1,5,18,7,0
2019-05-09,39,0,0,3,13,12,0
2019-05-10,36,0,0,8,19,14,0
2019-05-11,37,0,0,4,18,6,0
2019-05-12,36,0,0,6,16,9,0
2019-05-13,29,0,0,8,17,19,0
2019-05-14,49,0,0,3,16,17,0
2019-05-15,43,0,0,10,18,16,1
2019-05-16,39,0,0,10,14,14,0
2019-05-17,41,0,2,9,14,6,0
2019-05-18,58,0,0,3,12,7,0
2019-05-19,38,0,0,12,17,9,0
2019-05-20,53,0,0,10,15,17,0
2019-05-21,34,0,1,7,13,10,0
2019-05-22,42,0,0,11,13,16,0
2019-05-23,45,0,0,6,12,11,0
2019-05-24,35,0,0,6,13,15,0
2019-05-25,48,0,0,9,22,8,2
2019-05-26,33,0,3,7,13,15,0
2019-05-27,36,0,0,8,10,10,0
2019-05-28,46,0,0,9,16,8,0
2019-05-29,42,0,0,9,26,10,0
2019-05-30,38,0,0,3,15,8,0
2019-05-31,38,0,0,3,11,11,0
2019-06-01,40,0,0,10,19,12,0
2019-06-02,53,0,0,5,18,9,0
2019-06-03,35,0,0,6,17,11,0
2019-06-04,32,0,0,12,14,7,0
2019-06-05,35,0,1,7,9,8,0
2019-06-06,21,0,1,6,14,11,0
2019-06-07,43,0,1,5,13,13,0
2019-06-08,48,0,0,5,15,15,0
2019-06-09,37,0,0,10,22,6,0
2019-06-10,45,0,0,12,10,13,0
2019-06-11,35,0,2,6,11,8,0
2019-06-12,30,0,0,9,21,5,0
2019-06-13,27,0,0,6,16,7,0
2019-06-14,45,0,0,4,18,13,0
2019-06-15,45,0,0,8,15,9,0
2019-06-16,28,0,0,7,17,10,1
2019-06-17,36,0,1,6,11,12,0
2019-06-18,42,0,0,7,11,9,0
2019-06-19,46,0,1,6,10,11,0
2019-06-20,33,0,0,4,10,6,0
2019-06-21,38,0,0,7,9,9,1
2019-06-22,49,0,0,6,7,9,0
2019-06-23,40,0,0,7,16,7,0
2019-06-24,54,0,0,9,8,9,0
2019-06-25,47,0,0,5,15,13,0
2019-06-26,41,0,0,4,10,5,0
2019-06-27,35,0,0,2,13,9,0
2019-06-28,37,0,0,7,12,12,1
2019-06-29,49,0,0,5,19,6,0
2019-06-30,55,0,0,4,17,10,0
2019-07-01,29,0,0,11,14,13,0
2019-07-02,48,0,0,14,15,9,0
2019-07-03,50,0,2,11,15,9,0
2019-07-04,38,0,1,8,16,13,0
2019-07-05,37,0,0,7,16,11,0
2019-07-06,54,0,0,11,20,15,0
2019-07-07,48,0,0,10,19,9,0
2019-07-08,36,0,1,7,12,7,0
2019-07-09,42,0,1,4,11,9,0
2019-07-10,39,0,0,9,16,12,0
2019-07-11,41,0,0,7,12,12,0
2019-07-12,23,0,0,6,12,7,0
2019-07-13,53,0,0,7,8,15,0
2019-07-14,40,0,0,6,17,10,0
2019-07-15,42,0,0,8,10,10,0
2019-07-16,60,0,1,4,13,6,0
2019-07-17,48,0,0,7,19,8,0
2019-07-18,41,0,0,9,15,12,1
2019-07-19,40,0,1,6,13,12,0
2019-07-20,50,0,0,7,20,10,0
2019-07-21,40,0,1,10,23,6,0
2019-07-22,46,0,0,11,12,7,0
2019-07-23,34,0,2,5,8,12,0
2019-07-24,46,0,0,5,14,11,0
2019-07-25,42,0,0,5,12,15,0
2019-07-26,43,0,0,4,11,13,0
2019-07-27,34,0,1,2,11,13,0
2019-07-28,35,0,0,6,17,12,1
2019-07-29,49,0,2,9,11,14,0
2019-07-30,46,0,0,7,15,9,0
2019-07-31,40,0,0,6,14,9,0
2019-08-01,46,0,2,6,15,14,0
2019-08-02,38,0,1,3,17,16,0
2019-08-03,40,0,0,4,15,14,0
2019-08-04,41,0,0,5,12,14,0
2019-08-05,30,0,1,6,6,12,0
2019-08-06,36,0,0,4,18,8,0
2019-08-07,44,0,1,7,18,7,0
2019-08-08,59,0,0,2,12,7,0
2019-08-09,32,0,0,6,8,17,0
2019-08-10,48,0,0,4,14,6,0
2019-08-11,42,0,0,7,16,12,0
2019-08-12,42,0,0,6,17,8,0
2019-08-13,38,0,0,7,15,10,1
2019-08-14,37,0,1,7,11,4,0
2019-08-15,33,0,0,6,11,10,0
2019-08-16,36,0,0,5,17,6,0
2019-08-17,35,0,0,9,11,10,0
2019-08-18,21,0,1,11,16,8,0
2019-08-19,39,0,0,5,14,6,0
2019-08-20,39,0,2,6,11,11,0
2019-08-21,35,0,0,13,8,11,0
2019-08-22,58,0,2,6,15,8,1
2019-08-23,38,0,0,5,9,15,0
2019-08-24,37,0,0,8,14,6,0
2019-08-25,41,0,0,4,21,13,0
2019-08-26,36,0,1,7,7,16,0
2019-08-27,46,0,0,8,15,19,0
2019-08-28,45,0,0,9,14,9,1
2019-08-29,39,0,0,5,21,11,0
2019-08-30,43,0,2,7,12,17,0
2019-08-31,39,0,2,5,15,11,0
2019-09-01,39,0,0,1,14,6,0
2019-09-02,39,0,1,6,14,9,0
2019-09-03,50,0,1,6,14,6,0
2019-09-04,36,0,0,7,13,12,0
2019-09-05,42,0,0,7,11,10,0
2019-09-06,27,0,0,8,10,7,0
2019-09-07,39,0,0,10,14,5,0
2019-09-08,43,0,0,6,15,11,0
2019-09-09,42,0,0,7,12,8,0
2019-09-10,42,0,1,6,12,14,0
2019-09-11,32,0,0,11,17,13,0
2019-09-12,30,0,0,6,10,8,0
2019-09-13,42,0,1,6,18,8,0
2019-09-14,35,0,0,4,6,5,0
2019-09-15,37,0,1,7,12,14,0
2019-09-16,32,0,0,1,11,7,0
2019-09-17,38,0,0,6,9,6,0
2019-09-18,31,0,0,7,8,8,0
2019-09-19,37,0,0,10,11,6,0
2019-09-20,37,0,1,9,12,10,0
2019-09-21,38,0,0,10,15,8,0
2019-09-22,36,0,0,6,15,13,0
2019-09-23,40,0,0,3,19,20,0
2019-09-24,31,0,0,11,8,14,0
2019-09-25,49,0,0,3,16,8,0
2019-09-26,46,0,1,7,14,8,0
2019-09-27,27,0,0,7,13,6,0
2019-09-28,35,0,1,8,10,7,0
2019-09-29,35,0,0,8,15,6,0
2019-09-30,36,0,0,6,9,9,0
2019-10-01,25,0,1,5,6,9,0
2019-10-02,33,0,0,11,20,5,0
2019-10-03,40,0,0,6,13,8,0
2019-10-04,45,0,0,10,18,14,0
2019-10-05,30,0,1,8,16,10,0
2019-10-06,31,0,0,4,11,10,0
2019-10-07,32,0,3,4,11,13,0
2019-10-08,45,0,0,11,12,10,0
2019-10-09,44,0,0,6,8,8,0
2019-10-10,37,0,1,6,13,5,0
2019-10-11,28,0,0,10,12,9,0
2019-10-12,35,0,0,5,19,7,1
2019-10-13,40,0,1,7,10,12,0
2019-10-14,35,0,0,7,10,9,0
2019-10-15,37,0,0,5,9,9,0
2019-10-16,38,0,0,6,13,12,0
2019-10-17,19,0,0,7,11,8,0
2019-10-18,38,0,1,5,8,11,0
2019-10-19,39,0,0,5,13,12,1
2019-10-20,45,0,1,8,10,4,0
2019-10-21,40,0,2,4,6,7,0
2019-10-22,31,0,0,15,14,10,0
2019-10-23,33,0,1,1,9,7,0
2019-10-24,47,0,0,3,13,11,0
2019-10-25,34,0,0,8,16,8,0
2019-10-26,34,0,1,6,13,6,0
2019-10-27,43,0,1,4,12,9,0
2019-10-28,34,0,0,9,9,11,0
2019-10-29,48,0,1,7,17,9,0
2019-10-30,34,0,1,9,13,7,0
2019-10-31,36,0,0,5,7,8,0
2019-11-01,37,0,0,5,12,12,0
2019-11-02,37,0,0,10,20,12,1
2019-11-03,36,0,1,11,11,14,0
2019-11-04,45,0,1,9,12,7,0
2019-11-05,46,0,0,5,12,14,0
2019-11-06,42,0,1,5,13,10,0
2019-11-07,29,0,2,7,12,11,0
2019-11-08,37,0,0,10,13,7,0
2019-11-09,37,0,1,4,8,11,0
2019-11-10,39,0,0,6,8,11,0
2019-11-11,32,0,1,9,13,8,0
2019-11-12,43,0,0,7,10,2,0
2019-11-13,45,0,0,11,8,18,0
2019-11-14,38,0,2,2,10,10,0
2019-11-15,38,0,1,10,13,11,0
2019-11-16,36,0,0,5,15,2,0
2019-11-17,42,0,0,5,11,7,0
2019-11-18,33,0,1,7,7,9,0
2019-11-19,31,0,0,4,14,12,0
2019-11-20,38,0,0,5,12,10,0
2019-11-21,26,0,1,7,9,18,0
2019-11-22,38,0,0,6,13,10,0
2019-11-23,38,0,0,9,12,12,1
2019-11-24,40,0,1,8,14,7,0
2019-11-25,37,0,0,4,20,10,0
2019-11-26,29,0,0,9,9,13,0
2019-11-27,41,0,0,5,12,8,0
2019-11-28,35,0,0,4,13,9,0
2019-11-29,35,0,0,9,9,9,1
2019-11-30,29,0,0,10,13,12,0
2019-12-01,42,0,0,5,15,9,0
2019-12-02,44,0,0,6,14,12,0
2019-12-03,48,0,1,5,12,9,0
2019-12-04,41,0,0,7,12,9,0
2019-12-05,47,0,0,5,13,14,0
2019-12-06,39,0,0,5,3,7,0
2019-12-07,38,0,0,4,9,12,0
2019-12-08,51,0,0,4,13,7,0
2019-12-09,34,0,1,7,17,6,0
2019-12-10,35,0,1,4,9,9,0
2019-12-11,34,0,0,9,11,7,0
2019-12-12,34,0,2,5,12,15,0
2019-12-13,33,0,2,3,8,5,0
2019-12-14,43,0,0,9,8,5,0
2019-12-15,37,0,0,6,16,9,0
2019-12-16,33,0,0,12,11,11,0
2019-12-17,30,0,0,6,10,8,0
2019-12-18,30,0,0,7,9,6,0
2019-12-19,44,0,0,8,12,13,0
2019-12-20,27,0,2,7,13,9,0
2019-12-21,30,0,0,3,5,5,0
2019-12-22,29,0,0,6,14,15,0
2019-12-23,41,0,0,7,10,15,0
2019-12-24,47,0,0,6,8,7,0
2019-12-25,40,0,0,9,13,10,0
2019-12-26,29,0,1,6,6,9,0
2019-12-27,30,0,0,8,12,8,0
2019-12-28,30,0,1,2,16,9,0
2019-12-29,49,0,0,1,11,9,0
2019-12-30,41,0,2,2,8,11,0
2019-12-31,27,0,1,4,15,7,0
2020-01-01,46,0,2,6,14,8,0
2020-01-02,39,0,0,10,13,11,0
2020-01-03,41,0,0,9,13,12,0
2020-01-04,38,0,0,6,16,15,0
2020-01-05,41,0,0,5,16,6,0
2020-01-06,40,0,0,5,13,5,0
2020-01-07,29,0,0,6,10,6,0
2020-01-08,33,0,0,10,8,8,0
2020-01-09,38,0,0,3,12,11,0
2020-01-10,39,0,0,8,14,14,1
2020-01-11,37,0,0,4,17,11,0
2020-01-12,35,0,0,5,13,6,0
2020-01-13,37,0,0,5,11,10,0
2020-01-14,37,0,0,3,8,14,0
2020-01-15,30,0,2,8,9,4,0
2020-01-16,36,0,1,2,15,9,0
2020-01-17,25,0,0,10,11,9,0
2020-01-18,33,0,1,3,14,11,0
2020-01-19,43,0,0,6,17,3,1
2020-01-20,41,0,0,6,6,7,0
2020-01-21,35,0,0,6,7,11,0
2020-01-22,45,0,0,12,14,9,0
2020-01-23,30,0,0,7,13,9,0
2020-01-24,50,0,2,3,8,13,0
2020-01-25,30,0,2,5,11,4,0
2020-01-26,34,0,0,5,14,16,0
2020-01-27,49,0,0,8,12,11,0
2020-01-28,49,0,1,4,11,15,0
2020-01-29,35,0,0,8,12,9,0
2020-01-30,29,0,0,4,11,12,0
2020-01-31,35,0,2,5,9,10,0
2020-02-01,40,0,0,6,19,11,0
2020-02-02,33,0,0,7,10,6,1
2020-02-03,34,0,1,8,7,8,0
2020-02-04,39,0,0,8,15,9,0
2020-02-05,40,0,0,10,13,7,0
2020-02-06,45,0,0,7,11,9,0
2020-02-07,40,0,0,9,11,17,0
2020-02-08,32,0,2,3,10,10,0
2020-02-09,30,0,0,5,12,6,0
2020-02-10,40,0,0,11,18,8,1
2020-02-11,33,0,0,5,13,10,0
2020-02-12,30,0,0,3,5,9,0
2020-02-13,28,0,1,8,8,10,0
2020-02-14,50,0,0,3,4,8,0
2020-02-15,36,0,0,4,15,10,0
2020-02-16,33,0,0,5,12,5,0
2020-02-17,35,0,0,5,11,11,0
2020-02-18,27,0,1,6,18,10,0
2020-02-19,41,0,0,5,13,7,0
2020-02-20,31,0,1,3,10,3,0
2020-02-21,39,0,0,7,9,12,0
2020-02-22,37,0,0,6,16,6,0
2020-02-23,36,0,0,4,10,11,0
2020-02-24,36,0,0,8,13,5,0
2020-02-25,40,0,0,3,10,11,0
2020-02-26,46,0,2,5,12,9,0
2020-02-27,31,0,0,3,8,7,1
2020-02-28,32,0,0,5,12,11,0
2020-02-29,39,0,0,6,17,5,0
2020-03-01,34,0,0,5,13,15,0
2020-03-02,42,0,1,10,16,16,0
2020-03-03,37,0,1,2,8,12,0
2020-03-04,37,0,1,6,12,6,1
2020-03-05,31,0,0,9,9,11,0
2020-03-06,43,0,1,4,11,10,0
2020-03-07,32,0,0,10,8,7,1
2020-03-08,43,0,0,7,10,13,0
2020-03-09,29,0,1,7,16,10,0
2020-03-10,27,0,0,3,13,11,0
2020-03-11,35,0,0,10,8,13,0
2020-03-12,29,0,0,4,8,10,0
2020-03-13,38,0,0,5,7,12,0
2020-03-14,27,0,0,7,10,9,0
2020-03-15,34,0,3,5,13,13,1
2020-03-16,40,0,0,8,12,11,0
2020-03-17,35,0,0,9,10,12,0
2020-03-18,32,0,0,2,9,6,1
2020-03-19,39,0,0,6,14,15,0
2020-03-20,48,0,0,5,12,10,0
2020-03-21,40,0,1,7,14,7,0
2020-03-22,30,0,4,8,11,8,2
2020-03-23,34,0,0,12,7,11,0
2020-03-24,38,0,1,4,14,8,1
2020-03-25,46,0,0,3,17,14,0
2020-03-26,36,0,0,8,9,8,0
2020-03-27,36,0,1,8,17,12,0
2020-03-28,34,0,0,5,13,6,1
2020-03-29,38,0,1,4,5,9,0
2020-03-30,33,1,0,12,9,15,1
2020-03-31,37,1,1,3,9,13,0
2020-04-01,38,1,1,3,9,7,0
2020-04-02,26,0,3,8,11,9,0
2020-04-03,38,1,0,5,10,7,0
2020-04-04,34,2,1,3,9,9,0
2020-04-05,48,1,0,6,12,11,2
2020-04-06,41,0,2,6,11,10,1
2020-04-07,23,0,0,5,13,8,0
2020-04-08,40,1,2,4,13,6,0
2020-04-09,39,0,0,7,10,11,1
2020-04-10,30,1,0,7,12,10,1
2020-04-11,41,1,0,9,10,12,0
2020-04-12,29,3,1,4,7,5,1
2020-04-13,38,4,1,10,11,8,2
2020-04-14,37,3,0,4,15,10,0
2020-04-15,38,2,0,7,13,6,3
2020-04-16,39,2,1,3,8,8,1
2020-04-17,45,1,0,9,7,11,1
2020-04-18,34,2,1,5,10,9,1
2020-04-19,37,3,1,3,9,5,1
2020-04-20,42,1,1,6,6,6,0
2020-04-21,38,6,1,8,5,6,1
2020-04-22,31,5,0,6,3,5,2
2020-04-23,36,2,0,5,9,5,2
2020-04-24,38,3,0,5,4,10,1
2020-04-25,43,1,1,5,7,8,3
2020-04-26,33,3,2,6,11,7,3
2020-04-27,35,4,1,11,11,5,3
2020-04-28,34,2,3,6,12,9,1
2020-04-29,52,4,1,12,9,8,0
2020-04-30,40,2,0,10,5,9,1
2020-05-01,42,6,1,5,6,7,1
2020-05-02,38,11,0,6,5,7,3
2020-05-03,42,4,0,8,12,9,2
2020-05-04,31,10,0,7,8,11,1
2020-05-05,43,8,0,6,12,8,3
2020-05-06,55,6,1,4,9,13,1
2020-05-07,46,6,0,5,11,9,4
2020-05-08,37,15,1,4,12,9,4
2020-05-09,47,16,0,7,10,8,5
2020-05-10,35,10,1,4,7,4,3
2020-05-11,57,9,0,8,14,9,3
2020-05-12,58,13,1,10,11,10,0
2020-05-13,43,9,0,4,13,10,3
2020-05-14,50,20,0,5,9,5,3
2020-05-15,40,15,2,5,13,4,7
2020-05-16,42,18,0,7,13,12,1
2020-05-17,48,16,1,4,12,9,5
2020-05-18,46,24,2,9,7,12,1
2020-05-19,58,19,1,7,11,10,3
2020-05-20,43,17,1,5,15,9,2
2020-05-21,54,21,0,8,10,16,4
2020-05-22,41,22,0,8,11,14,1
2020-05-23,47,22,2,9,5,7,6
2020-05-24,49,19,0,4,7,7,0
2020-05-25,50,26,1,8,9,6,6
2020-05-26,49,20,0,5,7,8,5
2020-05-27,49,18,2,4,14,8,1
2020-05-28,41,24,1,16,12,16,3
2020-05-29,30,26,1,4,6,2,6
2020-05-30,59,25,0,6,6,7,2
2020-05-31,47,21,0,2,8,10,1
2020-06-01,47,20,1,4,7,12,1
2020-06-02,51,18,1,5,7,11,1
2020-06-03,37,35,2,2,12,10,4
2020-06-04,54,36,0,6,15,10,2
2020-06-05,42,22,0,9,8,8,1
2020-06-06,33,17,1,7,7,5,1
2020-06-07,36,26,1,9,6,10,4
2020-06-08,46,26,0,6,6,11,3
2020-06-09,42,16,1,10,4,9,3
2020-06-10,46,20,0,7,9,6,5
2020-06-11,45,22,0,8,13,8,1
2020-06-12,38,25,0,5,7,12,0
2020-06-13,41,19,0,7,8,5,1
2020-06-14,38,30,0,4,10,10,0
2020-06-15,28,17,1,9,2,7,0
2020-06-16,50,16,0,10,8,9,1
2020-06-17,38,18,0,7,6,5,2
2020-06-18,39,19,1,6,8,13,2
2020-06-19,28,18,1,4,5,6,1
2020-06-20,45,17,0,6,8,5,2
2020-06-21,40,28,0,4,6,7,0
2020-06-22,54,21,0,7,6,11,0
2020-06-23,43,21,0,8,7,4,0
2020-06-24,43,12,3,6,6,10,0
2020-06-25,34,17,1,8,12,7,1
2020-06-26,33,25,1,9,7,4,2
2020-06-27,40,17,0,3,8,11,1
2020-06-28,34,22,1,3,9,11,0
2020-06-29,44,15,0,3,3,6,0
2020-06-30,44,16,0,7,9,6,2
2020-07-01,51,19,0,3,11,4,0
2020-07-02,58,19,0,8,4,12,0
2020-07-03,36,19,0,5,5,9,0
2020-07-04,39,15,0,2,7,11,0
2020-07-05,33,13,0,9,11,11,1
2020-07-06,33,17,0,5,7,2,2
2020-07-07,39,15,0,4,9,6,1
2020-07-08,47,15,0,6,9,16,0
2020-07-09,45,16,0,3,5,8,1
2020-07-10,31,13,1,5,6,5,1
2020-07-11,37,13,1,5,10,11,0
2020-07-12,39,17,1,6,6,3,1
2020-07-13,36,16,1,9,10,10,0
2020-07-14,38,19,0,7,8,10,1
2020-07-15,29,13,0,8,7,2,0
2020-07-16,28,15,1,4,4,7,1
2020-07-17,33,12,1,7,4,6,0
2020-07-18,36,12,1,4,9,12,0
2020-07-19,28,14,0,3,3,6,1
2020-07-20,27,7,0,4,5,2,0
2020-07-21,30,5,0,1,10,3,1
2020-07-22,25,9,0,3,4,1,0
2020-07-23,29,15,0,4,7,8,0
2020-07-24,18,4,0,5,5,2,0
2020-07-25,19,1,0,2,1,2,2
2020-07-26,14,7,0,2,3,4,0
2020-07-27,11,4,0,1,3,1,0
2020-07-28,16,3,0,0,0,3,0
2020-07-29,2,1,0,0,0,0,0