DATA_OBITO,OUTRAS,COVID - PE,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,108,0,3,11,14,35,0
2018-01-02,92,0,1,12,18,36,0
2018-01-03,89,0,1,12,18,35,0
2018-01-04,79,0,0,12,19,37,0
2018-01-05,80,0,0,9,23,43,1
2018-01-06,86,0,0,2,12,37,0
2018-01-07,82,0,2,9,26,31,0
2018-01-08,68,0,1,15,19,27,0
2018-01-09,80,0,0,8,17,42,0
2018-01-10,69,0,2,12,19,40,1
2018-01-11,81,0,1,17,18,27,0
2018-01-12,98,0,0,15,20,35,0
2018-01-13,89,0,1,11,18,40,0
2018-01-14,88,0,0,13,19,32,0
2018-01-15,76,0,1,6,19,25,1
2018-01-16,82,0,3,14,18,28,0
2018-01-17,80,0,0,8,23,41,0
2018-01-18,84,0,0,13,20,51,0
2018-01-19,79,0,2,12,19,31,0
2018-01-20,91,0,1,15,15,39,0
2018-01-21,82,0,3,7,20,32,0
2018-01-22,103,0,1,11,24,27,0
2018-01-23,78,0,0,16,13,30,0
2018-01-24,94,0,0,12,20,36,0
2018-01-25,66,0,1,8,14,21,0
2018-01-26,66,0,0,16,19,22,0
2018-01-27,81,0,0,12,11,40,0
2018-01-28,81,0,3,14,20,26,0
2018-01-29,87,0,1,14,21,43,0
2018-01-30,72,0,3,9,8,28,0
2018-01-31,77,0,0,15,21,29,0
2018-02-01,81,0,2,13,13,38,0
2018-02-02,77,0,0,16,10,36,1
2018-02-03,101,0,0,17,13,30,0
2018-02-04,96,0,4,11,20,28,0
2018-02-05,78,0,2,12,22,48,0
2018-02-06,71,0,0,17,17,36,0
2018-02-07,77,0,0,12,15,33,0
2018-02-08,80,0,0,15,21,36,0
2018-02-09,77,0,1,12,18,27,0
2018-02-10,81,0,0,14,17,38,0
2018-02-11,85,0,1,12,13,34,0
2018-02-12,80,0,1,17,27,28,0
2018-02-13,85,0,6,10,16,49,0
2018-02-14,66,0,0,15,12,44,0
2018-02-15,99,0,0,8,7,28,0
2018-02-16,76,0,0,10,24,39,0
2018-02-17,86,0,1,11,24,45,0
2018-02-18,82,0,1,12,15,27,0
2018-02-19,88,0,2,12,19,35,0
2018-02-20,84,0,0,10,13,32,0
2018-02-21,81,0,1,8,12,26,0
2018-02-22,78,0,3,7,18,34,0
2018-02-23,90,0,0,9,20,33,0
2018-02-24,94,0,1,10,21,43,1
2018-02-25,92,0,1,8,19,39,0
2018-02-26,83,0,1,10,10,37,0
2018-02-27,78,0,0,15,14,33,0
2018-02-28,87,0,1,10,13,37,1
2018-03-01,92,0,2,17,16,35,0
2018-03-02,75,0,0,18,16,29,0
2018-03-03,78,0,1,16,21,33,0
2018-03-04,83,0,2,9,14,36,1
2018-03-05,66,0,1,18,15,22,0
2018-03-06,89,0,0,14,29,25,0
2018-03-07,75,0,0,9,10,34,0
2018-03-08,71,0,0,9,11,27,0
2018-03-09,76,0,0,7,9,25,0
2018-03-10,86,0,0,11,11,29,0
2018-03-11,79,0,1,19,15,32,0
2018-03-12,85,0,1,10,14,35,0
2018-03-13,84,0,0,13,10,39,0
2018-03-14,75,0,1,21,25,39,0
2018-03-15,85,0,0,14,19,32,0
2018-03-16,80,0,0,6,18,29,0
2018-03-17,84,0,3,14,22,33,0
2018-03-18,71,0,0,18,24,39,0
2018-03-19,74,0,2,9,20,41,0
2018-03-20,86,0,4,14,18,41,0
2018-03-21,75,0,0,17,21,39,0
2018-03-22,75,0,1,10,20,37,0
2018-03-23,94,0,0,16,19,38,1
2018-03-24,83,0,0,13,30,24,0
2018-03-25,83,0,0,10,25,27,0
2018-03-26,79,0,0,9,21,34,1
2018-03-27,89,0,1,14,26,31,0
2018-03-28,108,0,3,9,14,36,0
2018-03-29,69,0,1,15,28,34,0
2018-03-30,81,0,1,12,14,29,2
2018-03-31,89,0,3,13,21,32,0
2018-04-01,84,0,2,11,17,28,0
2018-04-02,85,0,0,11,20,39,0
2018-04-03,82,0,0,10,19,32,0
2018-04-04,79,0,0,14,21,42,0
2018-04-05,85,0,4,22,18,36,0
2018-04-06,90,0,3,10,25,28,0
2018-04-07,108,0,0,10,18,27,0
2018-04-08,100,0,2,17,33,27,0
2018-04-09,89,0,2,10,25,35,0
2018-04-10,90,0,3,9,22,37,0
2018-04-11,67,0,1,11,17,29,1
2018-04-12,83,0,2,15,20,38,0
2018-04-13,75,0,3,18,24,29,0
2018-04-14,107,0,2,7,16,30,0
2018-04-15,81,0,2,14,26,36,0
2018-04-16,85,0,1,21,14,45,0
2018-04-17,85,0,1,21,17,42,0
2018-04-18,92,0,2,15,24,42,0
2018-04-19,90,0,1,16,17,38,0
2018-04-20,82,0,1,23,27,35,0
2018-04-21,87,0,2,13,25,26,0
2018-04-22,85,0,0,11,22,31,0
2018-04-23,98,0,1,15,28,36,0
2018-04-24,93,0,2,12,27,30,0
2018-04-25,87,0,0,14,28,37,1
2018-04-26,106,0,0,20,26,36,1
2018-04-27,102,0,0,22,31,38,0
2018-04-28,72,0,0,14,27,46,0
2018-04-29,107,0,0,17,29,43,0
2018-04-30,106,0,2,11,30,43,0
2018-05-01,102,0,1,20,22,47,0
2018-05-02,105,0,0,13,17,46,0
2018-05-03,82,0,3,14,25,27,0
2018-05-04,101,0,1,14,44,45,0
2018-05-05,92,0,0,15,23,42,1
2018-05-06,109,0,1,9,23,36,0
2018-05-07,96,0,2,26,26,43,0
2018-05-08,92,0,1,18,30,36,0
2018-05-09,81,0,1,12,23,45,0
2018-05-10,92,0,2,16,28,22,0
2018-05-11,95,0,2,13,35,28,1
2018-05-12,99,0,2,11,28,35,0
2018-05-13,92,0,1,15,23,33,1
2018-05-14,101,0,3,14,28,34,0
2018-05-15,78,0,1,14,19,41,1
2018-05-16,83,0,2,17,22,33,0
2018-05-17,82,0,1,24,17,47,0
2018-05-18,87,0,1,9,37,36,1
2018-05-19,82,0,1,9,36,43,0
2018-05-20,86,0,1,17,28,44,1
2018-05-21,86,0,2,11,20,38,0
2018-05-22,109,0,0,9,31,32,0
2018-05-23,87,0,0,7,21,52,0
2018-05-24,92,0,0,11,30,37,0
2018-05-25,87,0,1,16,35,34,0
2018-05-26,72,0,1,9,21,38,0
2018-05-27,75,0,1,7,26,42,0
2018-05-28,81,0,2,15,18,31,0
2018-05-29,70,0,3,15,21,31,0
2018-05-30,78,0,3,13,18,26,1
2018-05-31,96,0,1,13,34,28,0
2018-06-01,105,0,0,24,21,25,0
2018-06-02,98,0,0,13,21,45,1
2018-06-03,96,0,1,18,34,45,0
2018-06-04,83,0,0,19,17,37,0
2018-06-05,97,0,1,10,16,42,0
2018-06-06,94,0,0,13,17,37,0
2018-06-07,85,0,1,18,25,43,0
2018-06-08,78,0,0,10,22,35,0
2018-06-09,79,0,1,12,15,27,0
2018-06-10,95,0,0,12,20,36,0
2018-06-11,73,0,1,16,22,24,0
2018-06-12,81,0,2,10,24,33,0
2018-06-13,89,0,0,9,25,30,1
2018-06-14,95,0,1,11,14,31,0
2018-06-15,78,0,1,14,28,40,0
2018-06-16,92,0,1,8,23,32,0
2018-06-17,85,0,0,20,27,36,1
2018-06-18,88,0,0,12,18,34,0
2018-06-19,104,0,2,18,20,40,0
2018-06-20,86,0,2,10,20,31,1
2018-06-21,80,0,0,8,13,29,0
2018-06-22,74,0,1,21,19,25,0
2018-06-23,94,0,1,18,24,32,0
2018-06-24,87,0,0,14,30,33,0
2018-06-25,97,0,0,15,20,32,0
2018-06-26,87,0,0,7,17,47,0
2018-06-27,81,0,1,23,20,33,0
2018-06-28,87,0,0,12,24,45,0
2018-06-29,82,0,0,12,17,18,0
2018-06-30,94,0,0,17,21,45,0
2018-07-01,92,0,4,18,17,38,0
2018-07-02,107,0,4,15,19,24,0
2018-07-03,79,0,1,16,23,35,0
2018-07-04,100,0,1,9,26,38,0
2018-07-05,91,0,1,19,23,49,1
2018-07-06,87,0,0,13,31,35,0
2018-07-07,70,0,2,15,22,41,0
2018-07-08,79,0,0,10,26,39,0
2018-07-09,78,0,2,20,26,36,0
2018-07-10,74,0,0,13,18,30,1
2018-07-11,93,0,2,7,20,33,0
2018-07-12,85,0,1,18,24,29,0
2018-07-13,106,0,1,17,22,34,0
2018-07-14,97,0,1,14,23,37,0
2018-07-15,91,0,1,17,17,39,0
2018-07-16,107,0,0,14,19,27,0
2018-07-17,93,0,3,17,16,34,0
2018-07-18,69,0,0,16,28,26,1
2018-07-19,95,0,1,15,20,40,0
2018-07-20,87,0,1,18,28,39,0
2018-07-21,84,0,1,13,20,33,1
2018-07-22,92,0,1,15,16,39,0
2018-07-23,76,0,0,25,20,33,1
2018-07-24,76,0,2,13,22,41,0
2018-07-25,99,0,0,11,18,34,0
2018-07-26,87,0,2,11,14,35,0
2018-07-27,83,0,1,7,22,25,1
2018-07-28,96,0,1,15,19,27,0
2018-07-29,83,0,2,14,17,39,0
2018-07-30,94,0,0,13,28,29,0
2018-07-31,87,0,1,13,25,38,1
2018-08-01,79,0,3,10,14,32,1
2018-08-02,91,0,2,12,18,36,0
2018-08-03,89,0,0,12,16,34,0
2018-08-04,84,0,1,4,12,41,0
2018-08-05,100,0,0,11,19,32,0
2018-08-06,86,0,2,16,19,39,0
2018-08-07,70,0,1,12,17,37,0
2018-08-08,80,0,1,12,15,36,0
2018-08-09,78,0,0,11,18,39,0
2018-08-10,92,0,0,8,25,33,0
2018-08-11,79,0,1,15,18,43,0
2018-08-12,92,0,2,8,26,36,0
2018-08-13,101,0,0,11,18,36,0
2018-08-14,72,0,0,16,30,36,0
2018-08-15,84,0,4,15,24,27,0
2018-08-16,69,0,0,8,24,32,0
2018-08-17,78,0,2,18,23,37,0
2018-08-18,86,0,2,9,20,38,0
2018-08-19,86,0,0,10,11,30,0
2018-08-20,65,0,1,16,13,39,0
2018-08-21,83,0,0,10,21,36,0
2018-08-22,93,0,1,9,11,35,0
2018-08-23,74,0,2,13,17,34,0
2018-08-24,87,0,0,11,22,36,0
2018-08-25,79,0,1,15,12,40,0
2018-08-26,85,0,0,8,27,29,0
2018-08-27,91,0,0,13,25,30,0
2018-08-28,84,0,0,4,19,27,0
2018-08-29,87,0,1,15,22,26,0
2018-08-30,80,0,1,17,20,26,0
2018-08-31,97,0,2,16,20,30,0
2018-09-01,87,0,2,8,21,37,0
2018-09-02,72,0,1,11,13,34,1
2018-09-03,86,0,1,13,15,37,0
2018-09-04,72,0,1,9,24,32,0
2018-09-05,85,0,1,16,18,29,0
2018-09-06,65,0,1,12,23,29,0
2018-09-07,89,0,1,13,22,34,0
2018-09-08,89,0,1,13,15,33,0
2018-09-09,96,0,1,10,26,33,0
2018-09-10,84,0,0,12,33,30,0
2018-09-11,80,0,1,9,23,21,0
2018-09-12,90,0,1,10,28,44,0
2018-09-13,74,0,0,16,22,39,0
2018-09-14,77,0,0,10,16,37,0
2018-09-15,88,0,2,12,20,35,0
2018-09-16,101,0,0,14,15,40,0
2018-09-17,89,0,2,18,28,26,0
2018-09-18,89,0,0,11,27,37,0
2018-09-19,83,0,0,11,13,39,0
2018-09-20,70,0,1,7,20,34,0
2018-09-21,80,0,0,18,17,26,0
2018-09-22,80,0,0,8,15,32,0
2018-09-23,91,0,3,21,24,42,0
2018-09-24,76,0,2,7,22,39,0
2018-09-25,77,0,0,14,15,26,0
2018-09-26,69,0,0,8,23,34,0
2018-09-27,75,0,3,9,20,36,0
2018-09-28,88,0,0,13,17,33,0
2018-09-29,99,0,0,12,14,28,0
2018-09-30,105,0,0,13,20,29,0
2018-10-01,63,0,0,11,18,32,0
2018-10-02,84,0,1,13,19,36,0
2018-10-03,79,0,2,14,21,38,0
2018-10-04,91,0,0,16,20,34,0
2018-10-05,83,0,2,11,13,33,1
2018-10-06,86,0,1,7,22,36,0
2018-10-07,78,0,0,19,15,24,0
2018-10-08,81,0,1,18,14,30,0
2018-10-09,74,0,0,18,22,38,0
2018-10-10,75,0,2,14,17,35,0
2018-10-11,82,0,0,10,29,41,1
2018-10-12,91,0,0,16,23,41,0
2018-10-13,82,0,3,16,26,25,0
2018-10-14,80,0,1,14,22,38,0
2018-10-15,69,0,1,19,11,28,0
2018-10-16,73,0,0,14,17,32,0
2018-10-17,86,0,1,9,15,34,0
2018-10-18,74,0,1,21,24,28,0
2018-10-19,79,0,1,12,14,26,0
2018-10-20,103,0,0,13,23,35,0
2018-10-21,96,0,0,6,17,42,0
2018-10-22,71,0,0,20,12,32,0
2018-10-23,95,0,1,8,23,33,0
2018-10-24,75,0,2,14,15,30,0
2018-10-25,86,0,1,14,15,28,0
2018-10-26,67,0,1,10,21,26,0
2018-10-27,73,0,1,8,20,23,0
2018-10-28,96,0,3,15,20,20,0
2018-10-29,83,0,1,14,18,34,0
2018-10-30,79,0,1,13,8,28,0
2018-10-31,80,0,1,11,17,31,0
2018-11-01,69,0,1,13,17,21,0
2018-11-02,84,0,1,12,14,32,0
2018-11-03,74,0,2,8,20,39,0
2018-11-04,95,0,0,16,17,29,0
2018-11-05,78,0,0,15,17,32,0
2018-11-06,103,0,0,11,25,28,0
2018-11-07,71,0,1,8,17,40,0
2018-11-08,86,0,1,7,20,28,0
2018-11-09,74,0,1,10,17,40,0
2018-11-10,84,0,2,10,18,37,0
2018-11-11,93,0,1,10,16,34,0
2018-11-12,84,0,0,12,17,45,1
2018-11-13,85,0,0,14,21,35,0
2018-11-14,75,0,1,19,24,34,0
2018-11-15,86,0,1,16,19,28,0
2018-11-16,75,0,0,15,23,38,1
2018-11-17,91,0,0,12,23,34,0
2018-11-18,87,0,0,12,19,23,0
2018-11-19,80,0,1,10,19,38,0
2018-11-20,64,0,0,13,14,32,0
2018-11-21,76,0,0,8,25,34,0
2018-11-22,70,0,1,10,20,38,0
2018-11-23,76,0,0,11,18,34,0
2018-11-24,75,0,0,8,23,33,0
2018-11-25,83,0,0,17,22,30,0
2018-11-26,82,0,0,18,15,42,0
2018-11-27,75,0,1,13,13,35,0
2018-11-28,68,0,1,11,17,34,0
2018-11-29,67,0,0,16,15,33,0
2018-11-30,84,0,1,10,15,32,0
2018-12-01,92,0,1,11,27,35,0
2018-12-02,99,0,2,12,21,31,0
2018-12-03,94,0,0,17,18,30,0
2018-12-04,81,0,2,18,21,32,0
2018-12-05,98,0,3,16,20,32,0
2018-12-06,77,0,1,12,11,28,0
2018-12-07,85,0,1,12,21,23,0
2018-12-08,67,0,1,12,26,37,0
2018-12-09,75,0,2,18,21,35,0
2018-12-10,103,0,0,14,21,34,0
2018-12-11,80,0,1,12,23,28,0
2018-12-12,71,0,2,9,16,26,0
2018-12-13,80,0,1,11,16,40,0
2018-12-14,78,0,0,15,19,28,0
2018-12-15,82,0,0,9,16,29,0
2018-12-16,71,0,0,13,23,31,0
2018-12-17,82,0,0,15,15,42,0
2018-12-18,71,0,1,8,16,25,0
2018-12-19,66,0,1,9,17,35,0
2018-12-20,76,0,1,8,17,44,0
2018-12-21,92,0,1,15,24,41,0
2018-12-22,57,0,0,8,22,22,0
2018-12-23,82,0,0,17,22,29,0
2018-12-24,76,0,1,8,18,47,0
2018-12-25,104,0,2,13,15,26,1
2018-12-26,99,0,1,8,20,39,0
2018-12-27,77,0,1,9,15,41,1
2018-12-28,88,0,0,11,22,44,0
2018-12-29,81,0,1,9,25,33,0
2018-12-30,83,0,1,12,20,35,0
2018-12-31,70,0,1,14,17,31,1
2019-01-01,84,0,2,10,18,45,0
2019-01-02,95,0,1,19,19,36,0
2019-01-03,96,0,0,6,28,31,0
2019-01-04,91,0,1,15,20,36,0
2019-01-05,85,0,1,11,21,43,0
2019-01-06,74,0,1,14,17,29,0
2019-01-07,76,0,2,18,21,28,0
2019-01-08,94,0,0,9,14,42,0
2019-01-09,85,0,1,10,22,30,0
2019-01-10,48,0,0,14,15,27,0
2019-01-11,76,0,0,11,20,35,2
2019-01-12,89,0,0,11,17,23,0
2019-01-13,106,0,0,15,27,36,0
2019-01-14,87,0,3,8,23,34,0
2019-01-15,84,0,2,20,17,40,0
2019-01-16,89,0,1,7,24,43,0
2019-01-17,82,0,1,16,18,26,0
2019-01-18,80,0,1,12,14,37,0
2019-01-19,77,0,0,4,22,33,0
2019-01-20,82,0,1,16,21,34,0
2019-01-21,87,0,1,18,19,37,0
2019-01-22,85,0,1,8,18,29,0
2019-01-23,90,0,0,11,21,39,0
2019-01-24,83,0,1,16,11,41,0
2019-01-25,89,0,0,10,19,36,0
2019-01-26,83,0,1,12,22,29,0
2019-01-27,77,0,0,14,35,32,0
2019-01-28,66,0,1,14,18,31,0
2019-01-29,71,0,1,15,12,36,0
2019-01-30,74,0,0,12,14,37,0
2019-01-31,83,0,4,16,27,29,0
2019-02-01,72,0,2,6,24,42,0
2019-02-02,81,0,1,8,34,24,0
2019-02-03,74,0,0,13,14,38,0
2019-02-04,91,0,1,9,19,37,0
2019-02-05,94,0,0,16,19,28,0
2019-02-06,94,0,0,9,15,36,0
2019-02-07,85,0,0,12,12,25,0
2019-02-08,61,0,0,13,17,21,0
2019-02-09,66,0,1,12,19,31,0
2019-02-10,92,0,1,12,21,27,0
2019-02-11,77,0,0,14,26,44,0
2019-02-12,95,0,0,10,19,41,0
2019-02-13,72,0,1,9,25,36,1
2019-02-14,86,0,0,8,13,43,0
2019-02-15,88,0,0,13,23,29,0
2019-02-16,86,0,0,7,18,33,0
2019-02-17,92,0,2,8,24,43,0
2019-02-18,86,0,4,22,22,36,0
2019-02-19,94,0,0,11,22,25,0
2019-02-20,61,0,1,15,15,38,1
2019-02-21,86,0,3,15,27,43,0
2019-02-22,66,0,1,13,17,28,0
2019-02-23,75,0,1,10,25,32,0
2019-02-24,100,0,0,13,34,44,0
2019-02-25,78,0,2,17,13,39,0
2019-02-26,87,0,2,8,18,29,0
2019-02-27,99,0,0,16,25,45,0
2019-02-28,82,0,2,12,21,42,0
2019-03-01,85,0,3,7,14,40,0
2019-03-02,96,0,3,15,25,42,0
2019-03-03,90,0,0,9,14,38,0
2019-03-04,73,0,1,16,28,35,0
2019-03-05,82,0,2,14,20,37,0
2019-03-06,74,0,2,8,14,41,0
2019-03-07,79,0,0,15,18,33,1
2019-03-08,78,0,1,13,20,30,0
2019-03-09,79,0,0,9,11,35,0
2019-03-10,68,0,1,13,24,37,0
2019-03-11,95,0,1,16,27,50,0
2019-03-12,80,0,0,9,21,42,0
2019-03-13,84,0,0,12,10,33,0
2019-03-14,85,0,0,19,24,38,0
2019-03-15,74,0,0,21,25,33,1
2019-03-16,78,0,1,10,21,43,1
2019-03-17,90,0,1,10,24,32,0
2019-03-18,85,0,2,14,20,37,0
2019-03-19,103,0,0,22,19,34,2
2019-03-20,88,0,1,12,21,41,0
2019-03-21,83,0,1,10,30,36,0
2019-03-22,92,0,1,19,21,38,0
2019-03-23,92,0,3,12,29,38,0
2019-03-24,90,0,1,13,29,36,0
2019-03-25,85,0,0,9,30,42,0
2019-03-26,89,0,2,18,28,37,1
2019-03-27,93,0,0,14,26,35,0
2019-03-28,84,0,0,14,19,30,0
2019-03-29,79,0,1,18,26,38,0
2019-03-30,89,0,2,6,27,38,0
2019-03-31,105,0,0,14,23,44,0
2019-04-01,95,0,0,13,23,34,0
2019-04-02,97,0,1,19,14,29,0
2019-04-03,88,0,0,19,15,45,0
2019-04-04,98,0,0,10,11,30,0
2019-04-05,82,0,1,12,12,38,0
2019-04-06,98,0,0,17,22,37,0
2019-04-07,88,0,1,13,24,40,1
2019-04-08,93,0,0,16,21,41,0
2019-04-09,104,0,1,16,24,44,0
2019-04-10,88,0,1,8,28,31,0
2019-04-11,81,0,1,15,13,31,0
2019-04-12,93,0,0,13,20,38,0
2019-04-13,81,0,1,18,29,34,0
2019-04-14,87,0,0,9,19,29,0
2019-04-15,88,0,1,21,21,31,0
2019-04-16,84,0,1,13,21,30,0
2019-04-17,76,0,0,5,23,40,0
