DATA_OBITO,OUTRAS,COVID - PI,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,17,0,0,4,6,2,0
2018-01-02,21,0,1,6,3,4,0
2018-01-03,20,0,1,5,3,1,0
2018-01-04,10,0,0,3,2,2,0
2018-01-05,17,0,0,1,4,4,0
2018-01-06,14,0,0,2,4,4,0
2018-01-07,11,0,0,6,5,0,0
2018-01-08,17,0,0,5,3,0,0
2018-01-09,12,0,0,3,5,4,0
2018-01-10,9,0,0,1,4,4,0
2018-01-11,12,0,0,2,3,0,0
2018-01-12,10,0,0,4,6,1,0
2018-01-13,10,0,0,3,8,5,0
2018-01-14,11,0,0,4,3,2,0
2018-01-15,20,0,0,6,10,1,0
2018-01-16,14,0,0,5,2,5,0
2018-01-17,14,0,0,4,7,3,0
2018-01-18,9,0,0,2,1,4,0
2018-01-19,10,0,0,6,5,4,0
2018-01-20,14,0,0,5,5,1,0
2018-01-21,14,0,0,4,7,3,0
2018-01-22,11,0,0,2,3,2,0
2018-01-23,16,0,0,3,4,4,0
2018-01-24,15,0,0,3,5,5,0
2018-01-25,19,0,1,2,5,3,0
2018-01-26,9,0,0,2,2,0,0
2018-01-27,14,0,0,4,2,2,0
2018-01-28,10,0,1,7,6,7,0
2018-01-29,14,0,0,7,3,6,0
2018-01-30,15,0,0,3,3,2,0
2018-01-31,17,0,0,6,3,4,0
2018-02-01,15,0,0,4,11,3,0
2018-02-02,19,0,0,9,6,4,0
2018-02-03,12,0,0,2,4,5,0
2018-02-04,13,0,0,4,3,3,0
2018-02-05,11,0,0,7,3,4,0
2018-02-06,11,0,0,4,3,6,0
2018-02-07,17,0,0,5,2,2,0
2018-02-08,11,0,1,4,6,1,0
2018-02-09,15,0,0,3,8,1,0
2018-02-10,17,0,0,0,4,1,0
2018-02-11,13,0,0,7,5,4,0
2018-02-12,15,0,0,0,3,7,0
2018-02-13,16,0,0,2,4,1,0
2018-02-14,20,0,0,2,6,8,0
2018-02-15,16,0,0,5,2,4,0
2018-02-16,19,0,0,6,6,2,0
2018-02-17,15,0,0,5,3,2,0
2018-02-18,21,0,1,1,6,1,0
2018-02-19,13,0,0,7,4,2,0
2018-02-20,14,0,0,4,4,2,0
2018-02-21,7,0,0,1,6,8,0
2018-02-22,17,0,0,2,7,2,0
2018-02-23,11,0,0,5,6,0,0
2018-02-24,18,0,0,2,8,1,0
2018-02-25,21,0,0,2,7,1,0
2018-02-26,16,0,0,4,6,2,0
2018-02-27,11,0,0,5,2,1,0
2018-02-28,16,0,1,1,6,4,0
2018-03-01,19,0,1,5,4,2,0
2018-03-02,16,0,0,2,3,2,0
2018-03-03,17,0,0,5,7,2,0
2018-03-04,22,0,1,3,6,3,1
2018-03-05,11,0,0,6,1,6,0
2018-03-06,12,0,0,4,3,3,0
2018-03-07,8,0,0,3,7,4,0
2018-03-08,8,0,0,6,2,2,0
2018-03-09,11,0,0,2,4,3,0
2018-03-10,12,0,0,2,8,1,0
2018-03-11,10,0,1,0,8,1,0
2018-03-12,17,0,1,6,4,1,0
2018-03-13,15,0,0,2,3,0,0
2018-03-14,17,0,0,6,0,1,1
2018-03-15,11,0,0,3,4,3,0
2018-03-16,10,0,0,1,7,3,0
2018-03-17,25,0,0,0,3,2,0
2018-03-18,12,0,1,2,1,2,0
2018-03-19,12,0,0,2,5,3,0
2018-03-20,3,0,0,5,11,3,0
2018-03-21,11,0,1,3,6,4,0
2018-03-22,15,0,0,7,7,2,0
2018-03-23,8,0,0,1,4,1,0
2018-03-24,11,0,0,0,2,3,0
2018-03-25,11,0,0,6,7,4,0
2018-03-26,19,0,0,2,4,0,0
2018-03-27,12,0,0,5,5,2,0
2018-03-28,20,0,0,0,2,2,0
2018-03-29,17,0,0,7,7,2,0
2018-03-30,21,0,0,2,4,2,0
2018-03-31,18,0,0,4,5,6,0
2018-04-01,19,0,0,4,3,2,0
2018-04-02,25,0,0,6,7,1,0
2018-04-03,10,0,0,2,3,6,0
2018-04-04,10,0,0,5,6,2,0
2018-04-05,10,0,0,2,6,4,0
2018-04-06,13,0,0,7,4,0,0
2018-04-07,16,0,0,3,5,2,0
2018-04-08,21,0,0,3,6,5,0
2018-04-09,12,0,0,3,5,5,0
2018-04-10,17,0,0,9,8,4,1
2018-04-11,14,0,0,3,6,4,0
2018-04-12,15,0,0,3,3,3,0
2018-04-13,16,0,0,3,3,1,0
2018-04-14,14,0,0,1,7,6,0
2018-04-15,10,0,0,4,4,1,0
2018-04-16,11,0,0,4,5,5,0
2018-04-17,11,0,0,4,6,3,0
2018-04-18,15,0,0,5,5,3,0
2018-04-19,21,0,0,4,4,6,0
2018-04-20,17,0,1,4,5,4,0
2018-04-21,20,0,1,5,7,1,0
2018-04-22,14,0,1,5,1,2,0
2018-04-23,12,0,0,5,6,1,0
2018-04-24,19,0,1,5,5,1,0
2018-04-25,14,0,0,6,8,5,0
2018-04-26,16,0,0,1,3,3,0
2018-04-27,7,0,0,4,7,1,0
2018-04-28,10,0,0,1,3,5,0
2018-04-29,13,0,0,1,6,2,0
2018-04-30,7,0,0,4,8,4,0
2018-05-01,7,0,0,5,6,0,0
2018-05-02,12,0,0,5,3,5,1
2018-05-03,15,0,0,4,6,2,0
2018-05-04,13,0,0,5,7,4,0
2018-05-05,10,0,1,4,2,2,0
2018-05-06,19,0,0,4,4,3,0
2018-05-07,19,0,0,6,1,2,0
2018-05-08,13,0,0,4,4,2,0
2018-05-09,20,0,0,4,6,2,0
2018-05-10,20,0,0,2,1,6,0
2018-05-11,14,0,0,5,2,3,0
2018-05-12,17,0,0,4,5,3,0
2018-05-13,14,0,0,4,5,3,0
2018-05-14,11,0,0,2,9,0,0
2018-05-15,15,0,0,4,6,2,0
2018-05-16,10,0,0,4,2,2,0
2018-05-17,19,0,0,4,12,3,0
2018-05-18,20,0,0,4,10,3,0
2018-05-19,16,0,0,4,4,1,0
2018-05-20,11,0,0,3,5,4,0
2018-05-21,10,0,0,5,5,4,0
2018-05-22,9,0,0,3,8,4,0
2018-05-23,13,0,0,7,7,2,0
2018-05-24,12,0,0,1,4,2,0
2018-05-25,13,0,0,4,6,6,0
2018-05-26,14,0,0,3,3,0,1
2018-05-27,17,0,0,3,7,1,0
2018-05-28,9,0,1,3,4,2,1
2018-05-29,13,0,0,3,3,2,0
2018-05-30,11,0,0,2,6,5,0
2018-05-31,16,0,0,1,1,2,0
2018-06-01,12,0,0,2,2,3,0
2018-06-02,7,0,0,7,1,2,1
2018-06-03,13,0,0,3,4,2,0
2018-06-04,12,0,1,2,6,3,0
2018-06-05,6,0,0,5,4,1,0
2018-06-06,14,0,0,5,4,4,0
2018-06-07,11,0,0,1,5,5,0
2018-06-08,15,0,1,5,5,2,0
2018-06-09,13,0,0,2,4,6,0
2018-06-10,21,0,0,1,6,4,0
2018-06-11,18,0,0,0,2,0,0
2018-06-12,10,0,0,4,5,1,0
2018-06-13,14,0,0,3,1,2,0
2018-06-14,9,0,0,2,6,4,0
2018-06-15,12,0,1,2,7,2,0
2018-06-16,16,0,0,7,3,0,0
2018-06-17,8,0,0,2,3,1,0
2018-06-18,12,0,0,5,7,4,0
2018-06-19,11,0,0,2,5,5,0
2018-06-20,15,0,0,5,2,2,0
2018-06-21,8,0,0,4,7,1,0
2018-06-22,14,0,0,2,5,1,0
2018-06-23,15,0,0,3,7,3,0
2018-06-24,12,0,0,3,3,4,0
2018-06-25,13,0,0,3,1,2,0
2018-06-26,11,0,0,3,4,2,0
2018-06-27,12,0,0,3,1,2,1
2018-06-28,12,0,0,3,2,3,0
2018-06-29,10,0,0,3,3,2,0
2018-06-30,18,0,1,2,4,2,0
2018-07-01,12,0,0,6,6,1,0
2018-07-02,15,0,0,5,2,3,0
2018-07-03,12,0,1,3,3,1,1
2018-07-04,7,0,0,1,3,3,0
2018-07-05,15,0,0,1,7,1,0
2018-07-06,13,0,0,2,1,3,0
2018-07-07,16,0,0,3,3,3,0
2018-07-08,9,0,0,3,0,3,1
2018-07-09,15,0,0,2,1,2,0
2018-07-10,9,0,2,4,7,6,1
2018-07-11,14,0,0,4,3,2,1
2018-07-12,7,0,0,4,4,1,0
2018-07-13,16,0,0,6,4,0,0
2018-07-14,15,0,0,6,8,5,0
2018-07-15,18,0,1,5,7,6,0
2018-07-16,13,0,0,1,2,2,0
2018-07-17,15,0,0,1,2,3,0
2018-07-18,13,0,0,3,2,3,0
2018-07-19,13,0,0,2,7,5,0
2018-07-20,13,0,0,1,1,1,0
2018-07-21,16,0,0,0,2,1,0
2018-07-22,13,0,0,2,2,2,0
2018-07-23,15,0,1,1,3,2,0
2018-07-24,16,0,0,2,5,2,0
2018-07-25,13,0,0,6,4,6,0
2018-07-26,18,0,0,5,1,0,0
2018-07-27,11,0,0,5,5,4,0
2018-07-28,15,0,0,6,4,2,0
2018-07-29,13,0,0,4,4,3,0
2018-07-30,17,0,0,2,7,0,0
2018-07-31,13,0,0,4,3,0,0
2018-08-01,13,0,1,5,4,1,0
2018-08-02,16,0,0,3,4,5,0
2018-08-03,17,0,0,2,8,3,0
2018-08-04,18,0,0,1,3,1,0
2018-08-05,12,0,0,4,4,3,0
2018-08-06,10,0,0,3,4,4,0
2018-08-07,16,0,0,5,3,3,0
2018-08-08,18,0,0,3,6,4,0
2018-08-09,11,0,0,3,5,2,0
2018-08-10,10,0,1,2,4,0,0
2018-08-11,6,0,0,1,5,2,0
2018-08-12,5,0,0,2,3,1,0
2018-08-13,21,0,0,3,8,4,0
2018-08-14,12,0,0,4,6,0,0
2018-08-15,16,0,0,4,5,3,0
2018-08-16,5,0,0,5,1,3,0
2018-08-17,20,0,0,4,1,1,0
2018-08-18,8,0,0,0,1,2,0
2018-08-19,11,0,0,8,6,4,0
2018-08-20,17,0,0,5,4,3,1
2018-08-21,18,0,0,5,3,3,0
2018-08-22,16,0,0,0,6,1,0
2018-08-23,11,0,0,3,6,4,0
2018-08-24,13,0,0,6,4,3,0
2018-08-25,9,0,0,2,1,4,0
2018-08-26,10,0,0,1,3,1,0
2018-08-27,15,0,0,4,7,2,0
2018-08-28,17,0,0,1,5,5,0
2018-08-29,14,0,0,7,5,3,0
2018-08-30,19,0,0,2,4,0,0
2018-08-31,15,0,0,3,3,3,0
2018-09-01,15,0,0,5,2,3,1
2018-09-02,16,0,0,5,4,1,0
2018-09-03,13,0,0,7,3,0,0
2018-09-04,16,0,0,4,8,2,0
2018-09-05,11,0,0,10,4,2,0
2018-09-06,13,0,0,4,4,5,0
2018-09-07,22,0,0,5,2,1,0
2018-09-08,14,0,0,2,6,2,0
2018-09-09,16,0,0,5,5,2,0
2018-09-10,12,0,0,6,4,4,0
2018-09-11,14,0,0,4,4,3,0
2018-09-12,7,0,0,2,5,3,0
2018-09-13,15,0,0,6,5,3,0
2018-09-14,13,0,0,7,8,3,0
2018-09-15,15,0,0,8,7,1,0
2018-09-16,20,0,0,5,5,3,0
2018-09-17,25,0,0,2,4,6,0
2018-09-18,20,0,0,3,3,5,0
2018-09-19,18,0,0,2,5,4,0
2018-09-20,20,0,1,4,5,6,0
2018-09-21,17,0,0,7,7,2,0
2018-09-22,12,0,0,5,7,1,0
2018-09-23,18,0,0,9,1,1,0
2018-09-24,16,0,0,5,8,4,0
2018-09-25,19,0,1,3,0,3,0
2018-09-26,16,0,0,3,6,3,0
2018-09-27,29,0,0,6,6,3,0
2018-09-28,24,0,0,6,7,3,0
2018-09-29,20,0,0,4,6,4,0
2018-09-30,17,0,0,1,5,4,1
2018-10-01,20,0,0,6,4,1,0
2018-10-02,17,0,0,10,8,2,0
2018-10-03,17,0,0,2,10,2,0
2018-10-04,12,0,0,7,4,2,0
2018-10-05,18,0,0,4,9,1,0
2018-10-06,16,0,0,2,6,2,0
2018-10-07,13,0,0,5,8,3,0
2018-10-08,14,0,0,7,6,7,0
2018-10-09,17,0,0,4,2,3,0
2018-10-10,19,0,0,3,6,3,0
2018-10-11,21,0,0,2,5,5,1
2018-10-12,12,0,0,6,6,3,0
2018-10-13,19,0,0,3,7,7,1
2018-10-14,19,0,0,6,1,4,0
2018-10-15,14,0,1,8,8,1,0
2018-10-16,11,0,0,4,4,1,0
2018-10-17,12,0,0,6,4,4,0
2018-10-18,20,0,0,4,2,3,0
2018-10-19,11,0,0,4,5,1,0
2018-10-20,15,0,0,4,7,3,0
2018-10-21,17,0,1,5,3,7,0
2018-10-22,17,0,0,5,3,2,0
2018-10-23,20,0,0,4,12,3,1
2018-10-24,17,0,0,3,3,1,0
2018-10-25,18,0,0,3,4,4,0
2018-10-26,11,0,0,4,5,6,0
2018-10-27,14,0,0,2,6,2,0
2018-10-28,21,0,0,1,2,5,0
2018-10-29,11,0,0,2,6,3,0
2018-10-30,16,0,0,5,5,2,0
2018-10-31,14,0,0,7,4,2,0
2018-11-01,16,0,0,3,5,2,0
2018-11-02,8,0,0,3,6,2,0
2018-11-03,16,0,0,3,8,4,0
2018-11-04,16,0,0,7,8,0,0
2018-11-05,25,0,1,5,2,0,0
2018-11-06,10,0,0,6,5,5,0
2018-11-07,17,0,0,3,6,3,0
2018-11-08,18,0,1,3,6,2,0
2018-11-09,11,0,0,3,12,1,0
2018-11-10,19,0,0,4,6,2,0
2018-11-11,19,0,0,6,2,2,0
2018-11-12,15,0,0,4,4,5,0
2018-11-13,15,0,0,2,7,6,0
2018-11-14,19,0,0,1,8,2,0
2018-11-15,20,0,0,6,3,8,0
2018-11-16,14,0,0,6,6,2,1
2018-11-17,24,0,1,3,6,6,0
2018-11-18,22,0,0,5,4,2,0
2018-11-19,11,0,0,6,5,2,0
2018-11-20,21,0,0,12,7,3,0
2018-11-21,21,0,1,3,1,7,0
2018-11-22,13,0,0,5,6,3,0
2018-11-23,17,0,0,5,8,6,0
2018-11-24,12,0,0,2,9,4,0
2018-11-25,16,0,0,3,6,2,0
2018-11-26,10,0,0,6,5,2,0
2018-11-27,19,0,0,7,4,4,0
2018-11-28,20,0,0,5,2,4,0
2018-11-29,26,0,0,5,4,1,1
2018-11-30,15,0,0,5,4,5,0
2018-12-01,10,0,0,6,7,1,0
2018-12-02,18,0,0,2,6,3,0
2018-12-03,15,0,0,5,3,4,0
2018-12-04,24,0,1,5,5,2,0
2018-12-05,8,0,0,6,8,2,1
2018-12-06,22,0,0,7,6,3,0
2018-12-07,15,0,0,6,8,1,0
2018-12-08,22,0,0,4,6,1,0
2018-12-09,17,0,1,3,2,2,0
2018-12-10,21,0,0,0,5,1,0
2018-12-11,15,0,0,7,6,1,0
2018-12-12,19,0,0,3,2,2,0
2018-12-13,17,0,0,4,4,4,0
2018-12-14,15,0,0,4,2,1,0
2018-12-15,19,0,0,2,3,2,0
2018-12-16,16,0,0,1,5,4,0
2018-12-17,21,0,0,7,3,5,0
2018-12-18,20,0,0,5,3,2,0
2018-12-19,15,0,0,6,6,1,0
2018-12-20,23,0,1,7,0,7,0
2018-12-21,21,0,0,2,5,5,0
2018-12-22,18,0,0,1,3,4,0
2018-12-23,21,0,0,6,7,2,0
2018-12-24,23,0,0,1,4,3,1
2018-12-25,18,0,0,5,3,6,1
2018-12-26,26,0,0,5,8,6,0
2018-12-27,23,0,0,4,5,9,0
2018-12-28,16,0,0,9,1,2,0
2018-12-29,13,0,0,8,5,8,0
2018-12-30,19,0,0,3,5,5,0
2018-12-31,19,0,1,5,6,4,0
2019-01-01,15,0,0,3,7,7,0
2019-01-02,21,0,0,6,4,5,0
2019-01-03,21,0,0,2,7,5,0
2019-01-04,15,0,0,5,8,5,0
2019-01-05,17,0,0,3,10,4,0
2019-01-06,20,0,0,9,3,2,0
2019-01-07,21,0,0,5,4,6,1
2019-01-08,17,0,0,4,6,4,0
2019-01-09,14,0,0,3,11,7,0
2019-01-10,19,0,0,3,4,7,0
2019-01-11,12,0,0,2,10,11,0
2019-01-12,16,0,2,7,5,6,0
2019-01-13,22,0,0,4,7,9,0
2019-01-14,23,0,0,4,5,0,1
2019-01-15,20,0,0,5,10,7,0
2019-01-16,21,0,0,8,6,7,0
2019-01-17,29,0,0,6,8,4,0
2019-01-18,17,0,1,9,7,3,0
2019-01-19,20,0,1,7,2,5,0
2019-01-20,22,0,0,4,5,2,0
2019-01-21,13,0,2,4,5,5,0
2019-01-22,16,0,0,7,4,3,0
2019-01-23,11,0,0,2,3,3,1
2019-01-24,22,0,0,5,10,7,0
2019-01-25,15,0,0,3,4,2,0
2019-01-26,26,0,0,6,8,7,0
2019-01-27,17,0,0,4,7,2,0
2019-01-28,11,0,0,2,2,7,0
2019-01-29,20,0,0,7,7,3,0
2019-01-30,16,0,0,4,4,6,0
2019-01-31,19,0,0,6,10,2,0
2019-02-01,16,0,1,4,5,4,0
2019-02-02,19,0,0,4,3,4,0
2019-02-03,19,0,1,4,5,4,0
2019-02-04,19,0,0,4,8,6,0
2019-02-05,18,0,0,4,7,6,0
2019-02-06,16,0,0,9,2,1,0
2019-02-07,13,0,0,5,3,6,0
2019-02-08,17,0,0,8,6,7,0
2019-02-09,17,0,0,5,6,2,1
2019-02-10,19,0,0,3,5,8,0
2019-02-11,17,0,1,5,8,6,0
2019-02-12,14,0,0,13,4,4,0
2019-02-13,14,0,0,3,5,7,0
2019-02-14,14,0,0,4,8,3,0
2019-02-15,23,0,0,4,7,9,0
2019-02-16,25,0,0,2,6,5,0
2019-02-17,21,0,0,4,6,1,0
2019-02-18,25,0,0,2,7,5,0
2019-02-19,25,0,0,4,5,4,0
2019-02-20,23,0,0,6,4,5,0
2019-02-21,19,0,0,6,7,7,0
2019-02-22,17,0,1,10,8,5,0
2019-02-23,13,0,0,6,7,5,0
2019-02-24,18,0,0,10,7,4,0
2019-02-25,13,0,0,4,7,6,0
2019-02-26,23,0,0,2,4,4,0
2019-02-27,15,0,0,13,5,5,0
2019-02-28,19,0,1,6,5,3,0
2019-03-01,14,0,0,2,10,5,0
2019-03-02,20,0,0,6,5,2,0
2019-03-03,23,0,1,3,7,5,0
2019-03-04,13,0,0,5,4,2,0
2019-03-05,18,0,0,7,5,3,0
2019-03-06,11,0,0,7,5,7,0
2019-03-07,30,0,1,5,5,4,0
2019-03-08,20,0,0,6,11,4,0
2019-03-09,18,0,0,6,5,6,0
2019-03-10,18,0,0,7,6,5,0
2019-03-11,22,0,0,11,9,3,0
2019-03-12,20,0,0,11,10,1,0
2019-03-13,27,0,0,2,4,2,0
2019-03-14,21,0,0,9,4,4,0
2019-03-15,17,0,0,9,10,4,0
2019-03-16,23,0,0,6,4,4,0
2019-03-17,18,0,0,1,6,3,0
2019-03-18,21,0,0,9,1,1,0
2019-03-19,20,0,0,6,3,1,0
2019-03-20,26,0,1,9,6,4,0
2019-03-21,26,0,0,6,7,2,0
2019-03-22,19,0,0,3,7,4,0
2019-03-23,15,0,0,6,6,5,0
2019-03-24,31,0,0,6,9,3,0
2019-03-25,21,0,0,3,8,5,0
2019-03-26,19,0,0,1,11,1,0
2019-03-27,20,0,0,2,3,4,0
2019-03-28,22,0,0,7,9,5,0
2019-03-29,26,0,0,3,5,3,0
2019-03-30,18,0,0,3,8,5,0
2019-03-31,18,0,0,7,3,5,0
2019-04-01,17,0,0,5,9,8,0
2019-04-02,18,0,0,4,8,8,0
2019-04-03,19,0,0,9,8,3,0
2019-04-04,21,0,0,4,6,5,0
2019-04-05,18,0,0,9,9,7,0
2019-04-06,15,0,0,1,9,7,1
2019-04-07,23,0,0,6,11,3,0
2019-04-08,11,0,1,5,1,6,0
2019-04-09,28,0,0,5,3,5,0
2019-04-10,25,0,1,10,2,7,0
2019-04-11,17,0,0,9,5,8,0
2019-04-12,21,0,1,13,6,3,0
2019-04-13,14,0,1,9,7,4,0
