DATA_OBITO,OUTRAS,COVID - RO,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,12,0,0,1,4,5,0
2018-01-02,12,0,0,5,2,5,0
2018-01-03,15,0,0,1,3,1,0
2018-01-04,11,0,0,1,6,5,0
2018-01-05,13,0,0,0,0,5,0
2018-01-06,8,0,0,1,1,2,0
2018-01-07,13,0,0,1,3,4,0
2018-01-08,21,0,0,0,3,2,0
2018-01-09,9,0,0,2,3,4,0
2018-01-10,15,0,0,1,5,2,0
2018-01-11,16,0,0,2,3,3,0
2018-01-12,17,0,0,3,4,2,0
2018-01-13,12,0,0,2,6,5,0
2018-01-14,24,0,0,1,2,2,0
2018-01-15,20,0,0,1,3,3,0
2018-01-16,16,0,0,2,8,3,0
2018-01-17,18,0,0,0,2,2,0
2018-01-18,13,0,0,4,4,2,0
2018-01-19,10,0,0,1,4,4,0
2018-01-20,20,0,0,0,4,3,0
2018-01-21,9,0,0,1,6,2,0
2018-01-22,17,0,0,1,2,6,0
2018-01-23,12,0,0,2,1,3,0
2018-01-24,16,0,0,1,5,1,0
2018-01-25,10,0,1,1,3,5,0
2018-01-26,10,0,1,1,2,1,0
2018-01-27,5,0,0,3,2,3,0
2018-01-28,11,0,0,5,3,1,0
2018-01-29,6,0,0,0,4,3,0
2018-01-30,12,0,0,3,3,3,0
2018-01-31,12,0,0,2,2,1,1
2018-02-01,12,0,0,4,3,4,0
2018-02-02,11,0,0,2,2,1,0
2018-02-03,17,0,0,1,1,6,0
2018-02-04,6,0,0,1,4,3,0
2018-02-05,10,0,0,4,2,1,0
2018-02-06,12,0,0,4,5,0,0
2018-02-07,7,0,0,1,2,5,0
2018-02-08,10,0,0,0,1,2,0
2018-02-09,6,0,0,1,2,2,0
2018-02-10,16,0,0,3,0,4,0
2018-02-11,9,0,0,3,2,4,0
2018-02-12,10,0,0,0,4,0,0
2018-02-13,12,0,0,2,4,3,0
2018-02-14,7,0,0,2,1,1,0
2018-02-15,18,0,0,0,3,2,0
2018-02-16,11,0,0,0,2,6,0
2018-02-17,19,0,0,1,1,2,0
2018-02-18,13,0,0,2,3,4,0
2018-02-19,13,0,0,1,1,3,0
2018-02-20,8,0,0,0,4,3,0
2018-02-21,10,0,0,1,4,2,0
2018-02-22,11,0,0,0,3,1,0
2018-02-23,7,0,1,2,3,1,0
2018-02-24,14,0,0,3,4,2,0
2018-02-25,10,0,0,0,5,3,0
2018-02-26,9,0,0,1,3,1,0
2018-02-27,8,0,0,1,4,4,0
2018-02-28,11,0,0,1,7,1,0
2018-03-01,7,0,0,1,6,2,0
2018-03-02,9,0,0,1,3,4,0
2018-03-03,12,0,0,4,3,6,0
2018-03-04,12,0,0,1,4,4,0
2018-03-05,15,0,0,0,2,3,0
2018-03-06,15,0,1,2,6,5,0
2018-03-07,16,0,2,2,7,5,0
2018-03-08,10,0,0,2,1,2,0
2018-03-09,11,0,0,2,2,2,0
2018-03-10,6,0,0,2,1,2,0
2018-03-11,11,0,0,1,5,2,0
2018-03-12,9,0,0,1,2,5,0
2018-03-13,18,0,0,0,3,2,0
2018-03-14,9,0,0,2,3,3,0
2018-03-15,12,0,0,1,4,3,0
2018-03-16,10,0,0,2,6,2,0
2018-03-17,11,0,0,3,2,2,0
2018-03-18,14,0,0,1,2,4,0
2018-03-19,20,0,0,1,5,0,0
2018-03-20,13,0,0,2,2,5,0
2018-03-21,10,0,0,0,5,0,0
2018-03-22,12,0,0,0,4,2,0
2018-03-23,12,0,0,3,6,4,0
2018-03-24,11,0,0,3,3,6,0
2018-03-25,16,0,0,1,2,6,0
2018-03-26,15,0,0,0,0,3,0
2018-03-27,7,0,1,1,4,2,0
2018-03-28,12,0,0,1,3,3,0
2018-03-29,12,0,0,1,3,6,0
2018-03-30,8,0,0,1,0,3,0
2018-03-31,9,0,0,0,0,1,0
2018-04-01,10,0,0,4,3,1,0
2018-04-02,13,0,0,3,4,2,0
2018-04-03,14,0,0,1,5,0,0
2018-04-04,9,0,0,1,5,2,0
2018-04-05,7,0,0,0,0,6,0
2018-04-06,12,0,0,0,3,1,0
2018-04-07,11,0,0,4,2,5,0
2018-04-08,10,0,0,2,2,4,0
2018-04-09,7,0,0,2,2,4,0
2018-04-10,11,0,0,2,6,2,0
2018-04-11,15,0,0,1,5,2,0
2018-04-12,15,0,0,1,4,4,0
2018-04-13,15,0,0,3,4,7,0
2018-04-14,9,0,0,1,3,7,0
2018-04-15,12,0,0,1,1,6,0
2018-04-16,8,0,0,1,2,4,0
2018-04-17,13,0,0,1,3,1,0
2018-04-18,16,0,0,3,3,8,0
2018-04-19,7,0,0,1,8,5,0
2018-04-20,17,0,0,0,2,3,0
2018-04-21,10,0,0,0,0,1,0
2018-04-22,10,0,0,1,1,3,0
2018-04-23,16,0,0,3,4,4,0
2018-04-24,14,0,0,1,3,3,0
2018-04-25,15,0,0,2,4,3,0
2018-04-26,9,0,0,0,2,5,0
2018-04-27,16,0,0,1,2,1,0
2018-04-28,8,0,0,2,4,2,0
2018-04-29,10,0,0,4,2,0,0
2018-04-30,13,0,0,1,3,2,1
2018-05-01,13,0,0,3,2,0,0
2018-05-02,6,0,0,1,2,1,0
2018-05-03,7,0,1,0,1,2,0
2018-05-04,15,0,0,0,0,0,0
2018-05-05,15,0,0,1,6,1,0
2018-05-06,7,0,0,1,4,0,0
2018-05-07,12,0,0,1,1,1,0
2018-05-08,9,0,0,0,2,0,0
2018-05-09,9,0,0,2,1,0,0
2018-05-10,9,0,0,2,3,0,0
2018-05-11,17,0,0,1,0,0,0
2018-05-12,10,0,0,1,3,1,0
2018-05-13,10,0,0,0,2,0,0
2018-05-14,8,0,0,0,4,2,0
2018-05-15,11,0,0,2,0,0,0
2018-05-16,5,0,0,0,3,0,0
2018-05-17,10,0,0,2,0,2,0
2018-05-18,9,0,0,2,2,2,0
2018-05-19,11,0,1,2,2,2,0
2018-05-20,20,0,0,1,2,1,0
2018-05-21,9,0,1,3,2,0,0
2018-05-22,7,0,0,0,4,0,0
2018-05-23,5,0,0,0,2,0,0
2018-05-24,6,0,0,2,2,1,0
2018-05-25,6,0,0,0,6,3,0
2018-05-26,4,0,0,2,6,1,0
2018-05-27,12,0,0,0,1,1,0
2018-05-28,7,0,0,0,1,1,0
2018-05-29,12,0,0,2,4,1,0
2018-05-30,9,0,0,1,5,0,0
2018-05-31,10,0,0,3,6,2,0
2018-06-01,14,0,0,3,3,5,0
2018-06-02,12,0,0,1,1,3,0
2018-06-03,12,0,0,1,4,3,0
2018-06-04,16,0,0,0,4,2,0
2018-06-05,15,0,0,1,1,5,0
2018-06-06,18,0,0,3,8,3,0
2018-06-07,7,0,1,2,3,7,0
2018-06-08,6,0,0,4,7,2,0
2018-06-09,6,0,0,1,2,2,0
2018-06-10,12,0,0,2,2,4,0
2018-06-11,18,0,0,2,4,1,0
2018-06-12,9,0,0,3,3,2,0
2018-06-13,16,0,0,1,4,1,0
2018-06-14,15,0,0,1,1,2,0
2018-06-15,5,0,0,5,4,1,0
2018-06-16,2,0,0,3,3,4,1
2018-06-17,13,0,0,1,3,5,0
2018-06-18,8,0,0,2,2,0,0
2018-06-19,17,0,0,1,9,3,0
2018-06-20,7,0,0,3,5,3,0
2018-06-21,7,0,0,1,2,3,0
2018-06-22,8,0,0,2,4,0,0
2018-06-23,13,0,0,2,5,2,0
2018-06-24,0,0,0,1,4,2,0
2018-06-25,16,0,0,2,2,2,1
2018-06-26,8,0,0,0,3,1,0
2018-06-27,7,0,0,2,5,6,0
2018-06-28,8,0,0,2,0,4,0
2018-06-29,5,0,0,0,1,1,0
2018-06-30,15,0,0,2,3,3,0
2018-07-01,10,0,0,1,5,0,0
2018-07-02,10,0,0,3,5,2,0
2018-07-03,12,0,0,0,5,3,0
2018-07-04,13,0,0,2,3,2,0
2018-07-05,16,0,0,3,8,2,0
2018-07-06,12,0,0,2,4,5,0
2018-07-07,13,0,0,3,5,5,0
2018-07-08,10,0,0,1,1,1,0
2018-07-09,18,0,0,1,3,1,0
2018-07-10,20,0,0,0,4,1,0
2018-07-11,12,0,0,1,4,1,0
2018-07-12,11,0,1,6,3,5,0
2018-07-13,9,0,0,1,0,1,0
2018-07-14,15,0,0,2,4,4,0
2018-07-15,24,0,0,1,2,5,0
2018-07-16,12,0,0,0,3,2,0
2018-07-17,13,0,0,2,4,6,0
2018-07-18,12,0,0,1,5,0,0
2018-07-19,4,0,0,3,3,2,0
2018-07-20,8,0,0,2,2,8,0
2018-07-21,10,0,0,1,6,1,0
2018-07-22,12,0,0,1,5,1,0
2018-07-23,9,0,0,4,1,2,0
2018-07-24,10,0,0,0,3,2,0
2018-07-25,12,0,0,1,1,1,0
2018-07-26,8,0,0,0,3,4,0
2018-07-27,6,0,0,0,2,4,0
2018-07-28,21,0,0,2,2,4,0
2018-07-29,15,0,0,1,3,3,0
2018-07-30,17,0,0,1,3,5,0
2018-07-31,13,0,0,0,2,3,0
2018-08-01,20,0,0,2,4,2,0
2018-08-02,9,0,0,2,6,2,0
2018-08-03,13,0,0,1,1,5,0
2018-08-04,11,0,0,0,5,1,0
2018-08-05,7,0,0,2,2,1,0
2018-08-06,11,0,0,2,5,1,0
2018-08-07,12,0,0,1,5,0,0
2018-08-08,13,0,0,1,4,2,0
2018-08-09,11,0,0,0,5,4,1
2018-08-10,13,0,0,1,2,2,0
2018-08-11,11,0,1,0,5,1,0
2018-08-12,8,0,0,0,5,2,0
2018-08-13,8,0,0,1,0,4,0
2018-08-14,16,0,1,2,6,2,0
2018-08-15,13,0,0,1,0,2,0
2018-08-16,10,0,0,0,3,3,0
2018-08-17,13,0,0,4,2,0,0
2018-08-18,15,0,0,1,3,5,0
2018-08-19,7,0,0,3,3,4,0
2018-08-20,7,0,0,0,1,7,0
2018-08-21,10,0,0,2,1,6,0
2018-08-22,16,0,0,0,1,2,0
2018-08-23,12,0,0,0,2,5,0
2018-08-24,11,0,0,2,1,3,0
2018-08-25,17,0,0,3,2,1,0
2018-08-26,9,0,0,2,1,3,0
2018-08-27,11,0,0,2,3,1,0
2018-08-28,12,0,0,0,2,3,0
2018-08-29,12,0,0,1,1,1,0
2018-08-30,9,0,0,0,2,5,0
2018-08-31,12,0,0,2,1,4,0
2018-09-01,13,0,0,2,0,3,0
2018-09-02,12,0,0,1,2,5,0
2018-09-03,12,0,0,0,2,3,0
2018-09-04,11,0,0,0,4,4,0
2018-09-05,16,0,0,4,1,1,0
2018-09-06,10,0,0,3,3,1,0
2018-09-07,10,0,0,2,4,2,0
2018-09-08,15,0,0,2,2,3,0
2018-09-09,11,0,0,1,3,6,0
2018-09-10,14,0,0,0,3,2,0
2018-09-11,6,0,0,3,4,2,0
2018-09-12,9,0,0,1,3,4,0
2018-09-13,17,0,0,1,2,1,0
2018-09-14,14,0,0,1,4,2,0
2018-09-15,8,0,0,3,1,2,0
2018-09-16,9,0,1,0,4,2,0
2018-09-17,10,0,0,2,3,5,0
2018-09-18,10,0,0,2,4,1,0
2018-09-19,9,0,0,2,3,4,0
2018-09-20,9,0,0,1,1,6,0
2018-09-21,5,0,0,1,3,5,0
2018-09-22,11,0,0,0,0,0,0
2018-09-23,16,0,0,3,3,1,0
2018-09-24,15,0,0,1,2,4,0
2018-09-25,9,0,0,0,1,1,0
2018-09-26,8,0,0,1,4,2,0
2018-09-27,11,0,0,3,3,2,0
2018-09-28,7,0,0,1,4,2,0
2018-09-29,10,0,0,1,4,0,0
2018-09-30,8,0,0,2,4,3,0
2018-10-01,8,0,0,1,1,0,0
2018-10-02,5,0,0,0,1,0,0
2018-10-03,9,0,0,0,0,0,0
2018-10-04,10,0,0,1,2,1,0
2018-10-05,5,0,0,3,2,1,0
2018-10-06,5,0,0,0,0,0,0
2018-10-07,7,0,0,0,0,0,0
2018-10-08,11,0,0,0,4,1,0
2018-10-09,6,0,0,2,3,2,0
2018-10-10,7,0,0,1,1,2,0
2018-10-11,11,0,0,0,1,1,0
2018-10-12,12,0,0,1,0,1,0
2018-10-13,8,0,0,0,4,1,0
2018-10-14,8,0,0,0,2,0,0
2018-10-15,7,0,0,0,1,0,0
2018-10-16,4,0,0,1,1,0,0
2018-10-17,7,0,0,1,1,4,0
2018-10-18,11,0,0,1,1,1,0
2018-10-19,6,0,0,1,2,0,0
2018-10-20,7,0,0,4,1,3,0
2018-10-21,7,0,0,2,1,2,0
2018-10-22,4,0,1,1,3,0,0
2018-10-23,3,0,0,1,1,3,0
2018-10-24,3,0,0,1,1,1,0
2018-10-25,7,0,0,0,0,2,0
2018-10-26,7,0,0,0,1,3,0
2018-10-27,9,0,0,2,3,3,0
2018-10-28,10,0,1,2,1,0,0
2018-10-29,7,0,0,5,2,2,0
2018-10-30,3,0,0,0,2,2,0
2018-10-31,15,0,0,1,3,2,1
2018-11-01,7,0,0,0,4,0,0
2018-11-02,11,0,0,2,1,5,0
2018-11-03,12,0,0,2,4,2,0
2018-11-04,13,0,1,2,1,5,0
2018-11-05,9,0,0,2,1,1,0
2018-11-06,8,0,0,6,1,3,0
2018-11-07,8,0,0,1,3,4,0
2018-11-08,13,0,0,4,1,2,0
2018-11-09,11,0,0,3,1,1,0
2018-11-10,9,0,0,0,4,3,0
2018-11-11,11,0,0,1,6,2,0
2018-11-12,11,0,0,2,3,2,0
2018-11-13,12,0,0,0,4,4,0
2018-11-14,12,0,0,0,1,2,0
2018-11-15,13,0,0,1,2,4,0
2018-11-16,17,0,0,1,4,3,0
2018-11-17,10,0,0,2,5,2,0
2018-11-18,12,0,0,1,1,1,0
2018-11-19,8,0,0,2,4,1,0
2018-11-20,7,0,0,1,3,1,0
2018-11-21,15,0,0,2,2,0,0
2018-11-22,18,0,0,0,6,3,0
2018-11-23,5,0,0,1,3,2,0
2018-11-24,7,0,0,3,6,0,0
2018-11-25,13,0,0,5,2,1,0
2018-11-26,10,0,0,2,1,1,0
2018-11-27,13,0,0,2,2,4,0
2018-11-28,12,0,0,1,2,6,0
2018-11-29,11,0,0,1,0,3,0
2018-11-30,11,0,0,2,3,6,0
2018-12-01,9,0,0,1,2,3,0
2018-12-02,19,0,2,2,3,0,0
2018-12-03,10,0,0,2,3,2,0
2018-12-04,11,0,0,2,4,3,0
2018-12-05,14,0,0,1,4,6,0
2018-12-06,16,0,0,2,4,3,0
2018-12-07,10,0,1,4,2,2,0
2018-12-08,8,0,0,2,4,2,0
2018-12-09,20,0,0,1,3,4,0
2018-12-10,14,0,0,4,3,3,0
2018-12-11,8,0,0,2,6,1,0
2018-12-12,16,0,0,1,4,0,0
2018-12-13,17,0,0,4,4,4,0
2018-12-14,14,0,0,1,4,2,0
2018-12-15,15,0,0,2,1,4,0
2018-12-16,16,0,0,2,3,2,0
2018-12-17,7,0,0,0,2,1,0
2018-12-18,12,0,0,2,0,6,0
2018-12-19,11,0,0,2,0,2,0
2018-12-20,8,0,0,1,1,1,0
2018-12-21,9,0,0,2,3,1,0
2018-12-22,14,0,0,0,3,3,0
2018-12-23,11,0,0,2,2,1,0
2018-12-24,14,0,0,2,1,3,0
2018-12-25,14,0,0,3,5,5,0
2018-12-26,15,0,0,0,4,7,0
2018-12-27,16,0,0,4,3,1,0
2018-12-28,17,0,0,0,5,2,0
2018-12-29,15,0,0,3,1,6,0
2018-12-30,8,0,0,0,3,2,0
2018-12-31,9,0,0,0,6,3,0
2019-01-01,11,0,0,3,3,2,0
2019-01-02,10,0,1,2,2,4,0
2019-01-03,16,0,0,0,6,1,0
2019-01-04,14,0,0,2,6,0,0
2019-01-05,9,0,0,2,3,3,0
2019-01-06,16,0,1,3,7,3,0
2019-01-07,17,0,0,1,1,3,0
2019-01-08,8,0,0,3,3,3,0
2019-01-09,13,0,0,2,4,3,0
2019-01-10,7,0,0,2,6,4,0
2019-01-11,12,0,1,1,2,2,0
2019-01-12,15,0,0,1,2,3,0
2019-01-13,16,0,0,1,1,1,0
2019-01-14,15,0,0,2,0,3,0
2019-01-15,21,0,0,3,3,3,0
2019-01-16,12,0,0,1,4,1,0
2019-01-17,16,0,1,0,2,2,0
2019-01-18,11,0,0,1,3,5,0
2019-01-19,10,0,0,3,2,1,0
2019-01-20,13,0,2,1,2,3,0
2019-01-21,12,0,0,1,3,4,0
2019-01-22,22,0,0,2,2,3,0
2019-01-23,17,0,0,1,4,5,0
2019-01-24,9,0,0,2,3,3,0
2019-01-25,14,0,0,0,3,2,0
2019-01-26,12,0,0,1,3,3,0
2019-01-27,14,0,0,2,0,2,0
2019-01-28,14,0,0,1,1,6,0
2019-01-29,14,0,0,1,0,2,0
2019-01-30,7,0,0,5,1,5,0
2019-01-31,14,0,0,2,2,1,0
2019-02-01,18,0,0,0,4,5,0
2019-02-02,9,0,1,4,1,2,0
2019-02-03,8,0,0,0,5,4,0
2019-02-04,10,0,0,2,3,2,1
2019-02-05,7,0,0,1,4,4,0
2019-02-06,12,0,0,1,1,1,0
2019-02-07,7,0,0,2,2,2,0
2019-02-08,16,0,0,1,1,2,0
2019-02-09,10,0,0,1,2,5,0
2019-02-10,16,0,0,1,1,5,0
2019-02-11,13,0,0,4,2,4,1
2019-02-12,10,0,0,3,4,3,0
2019-02-13,16,0,0,1,2,4,0
2019-02-14,8,0,0,2,6,2,0
2019-02-15,11,0,0,2,2,5,0
2019-02-16,8,0,0,0,3,2,0
2019-02-17,16,0,0,2,5,2,0
2019-02-18,15,0,0,3,1,4,0
2019-02-19,8,0,0,1,3,4,0
2019-02-20,10,0,0,3,4,0,0
2019-02-21,12,0,0,2,1,5,0
2019-02-22,15,0,1,1,1,4,0
2019-02-23,5,0,0,1,5,4,0
2019-02-24,4,0,0,1,8,2,0
2019-02-25,15,0,0,5,4,0,0
2019-02-26,9,0,0,3,9,5,0
2019-02-27,14,0,0,2,3,4,0
2019-02-28,7,0,0,1,3,2,0
2019-03-01,7,0,0,3,1,4,0
2019-03-02,6,0,0,1,3,2,0
2019-03-03,8,0,0,1,3,5,0
2019-03-04,9,0,0,1,3,1,0
2019-03-05,7,0,0,1,3,1,0
2019-03-06,5,0,0,0,1,0,0
2019-03-07,6,0,0,0,3,1,0
2019-03-08,11,0,0,0,3,1,0
2019-03-09,8,0,0,3,1,1,0
2019-03-10,11,0,0,1,3,1,0
2019-03-11,11,0,0,0,4,1,0
2019-03-12,11,0,0,1,5,3,0
2019-03-13,7,0,0,2,2,2,0
2019-03-14,4,0,0,1,1,1,0
2019-03-15,8,0,1,2,1,1,0
2019-03-16,5,0,0,4,2,1,0
2019-03-17,10,0,0,2,1,2,0
2019-03-18,9,0,0,3,1,1,0
2019-03-19,7,0,0,0,0,3,1
2019-03-20,8,0,0,1,2,0,0
2019-03-21,5,0,0,2,3,2,0
2019-03-22,9,0,0,2,3,1,1
2019-03-23,7,0,0,2,1,2,0
2019-03-24,9,0,0,1,4,1,0
2019-03-25,5,0,0,3,3,0,0
2019-03-26,13,0,0,1,2,3,0
2019-03-27,14,0,0,2,2,0,0
2019-03-28,7,0,0,0,1,1,0
2019-03-29,4,0,0,1,1,2,0
2019-03-30,8,0,0,1,1,2,0
2019-03-31,7,0,0,2,3,2,0
2019-04-01,9,0,0,2,1,5,0
2019-04-02,8,0,0,1,6,6,0
2019-04-03,8,0,0,3,4,2,0
2019-04-04,15,0,0,1,4,3,0
2019-04-05,16,0,0,2,9,4,0
2019-04-06,15,0,0,2,6,2,0
2019-04-07,11,0,0,7,6,4,0
2019-04-08,7,0,0,6,4,3,0
2019-04-09,15,0,0,2,4,4,0
2019-04-10,19,0,0,3,6,3,0
2019-04-11,9,0,0,5,3,1,0
2019-04-12,9,0,0,2,11,1,0
2019-04-13,8,0,0,1,4,3,0
