DATA_OBITO,OUTRAS,COVID - RS,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2018-01-01,123,0,1,18,35,31,0
2018-01-02,108,0,2,20,41,19,0
2018-01-03,86,0,0,15,27,24,0
2018-01-04,105,0,2,12,35,29,1
2018-01-05,120,0,2,17,34,25,0
2018-01-06,89,0,1,17,23,30,1
2018-01-07,109,0,1,13,30,24,0
2018-01-08,102,0,0,14,28,21,0
2018-01-09,111,0,0,11,28,27,0
2018-01-10,96,0,1,19,29,28,0
2018-01-11,96,0,3,9,31,26,0
2018-01-12,96,0,0,17,22,27,0
2018-01-13,105,0,3,14,31,20,0
2018-01-14,98,0,1,13,24,20,0
2018-01-15,101,0,2,20,26,17,0
2018-01-16,108,0,0,18,39,22,0
2018-01-17,92,0,0,9,27,23,0
2018-01-18,95,0,0,11,31,30,0
2018-01-19,112,0,1,15,30,24,0
2018-01-20,98,0,0,15,40,23,0
2018-01-21,89,0,2,9,31,20,1
2018-01-22,103,0,1,14,21,26,0
2018-01-23,98,0,0,8,34,30,0
2018-01-24,110,0,1,22,28,21,0
2018-01-25,106,0,0,17,30,22,0
2018-01-26,101,0,1,10,28,23,0
2018-01-27,102,0,2,22,28,27,1
2018-01-28,89,0,0,12,31,18,0
2018-01-29,94,0,0,12,24,29,0
2018-01-30,89,0,0,14,29,29,0
2018-01-31,93,0,1,8,35,18,0
2018-02-01,101,0,1,14,20,20,0
2018-02-02,104,0,0,12,26,25,0
2018-02-03,102,0,5,15,25,30,1
2018-02-04,103,0,1,19,22,29,0
2018-02-05,103,0,2,14,36,29,2
2018-02-06,89,0,1,23,38,24,0
2018-02-07,90,0,1,14,27,21,0
2018-02-08,111,0,1,10,27,29,0
2018-02-09,112,0,0,10,29,18,0
2018-02-10,109,0,4,11,30,18,0
2018-02-11,102,0,0,13,23,27,0
2018-02-12,107,0,1,12,32,18,0
2018-02-13,86,0,0,18,26,27,0
2018-02-14,113,0,0,19,28,25,0
2018-02-15,100,0,0,15,26,24,0
2018-02-16,114,0,0,17,34,26,0
2018-02-17,108,0,3,16,29,19,0
2018-02-18,97,0,0,15,27,21,0
2018-02-19,101,0,0,20,23,26,0
2018-02-20,103,0,1,15,17,33,0
2018-02-21,111,0,0,12,32,29,0
2018-02-22,101,0,1,15,28,24,0
2018-02-23,112,0,1,11,21,19,0
2018-02-24,106,0,0,19,26,18,0
2018-02-25,83,0,1,18,29,25,0
2018-02-26,92,0,3,10,32,23,0
2018-02-27,95,0,1,21,23,31,0
2018-02-28,102,0,3,15,29,21,0
2018-03-01,97,0,3,19,27,34,0
2018-03-02,109,0,0,10,28,28,0
2018-03-03,101,0,1,14,25,31,1
2018-03-04,94,0,0,18,28,40,0
2018-03-05,111,0,0,12,28,30,0
2018-03-06,106,0,1,13,26,33,0
2018-03-07,105,0,4,16,24,22,0
2018-03-08,104,0,0,13,34,22,0
2018-03-09,102,0,1,9,27,26,0
2018-03-10,113,0,0,14,39,24,0
2018-03-11,109,0,0,23,23,24,0
2018-03-12,94,0,1,20,25,28,0
2018-03-13,100,0,1,11,34,30,0
2018-03-14,77,0,1,23,33,24,0
2018-03-15,92,0,1,14,30,25,0
2018-03-16,105,0,1,13,28,24,0
2018-03-17,121,0,1,22,27,28,0
2018-03-18,93,0,2,15,41,20,0
2018-03-19,103,0,2,14,32,22,0
2018-03-20,99,0,0,14,26,22,0
2018-03-21,113,0,1,20,35,22,0
2018-03-22,88,0,0,19,25,25,0
2018-03-23,121,0,1,10,36,26,0
2018-03-24,94,0,2,10,34,25,0
2018-03-25,99,0,1,13,32,13,0
2018-03-26,92,0,0,17,28,26,0
2018-03-27,111,0,3,12,34,30,0
2018-03-28,90,0,0,12,28,35,0
2018-03-29,102,0,1,17,23,28,0
2018-03-30,111,0,1,9,33,30,0
2018-03-31,112,0,2,9,36,30,0
2018-04-01,112,0,1,14,34,22,0
2018-04-02,87,0,1,12,27,20,0
2018-04-03,107,0,2,16,34,19,0
2018-04-04,107,0,1,18,32,25,0
2018-04-05,111,0,0,20,36,19,0
2018-04-06,88,0,2,16,31,29,1
2018-04-07,94,0,2,19,44,28,0
2018-04-08,110,0,1,14,28,27,0
2018-04-09,114,0,0,20,29,27,0
2018-04-10,119,0,1,12,34,32,0
2018-04-11,119,0,0,18,27,26,0
2018-04-12,108,0,0,11,39,34,0
2018-04-13,94,0,1,10,32,20,0
2018-04-14,94,0,0,8,38,24,0
2018-04-15,104,0,0,17,35,26,0
2018-04-16,95,0,2,13,36,31,0
2018-04-17,112,0,2,17,32,35,0
2018-04-18,110,0,2,14,30,33,0
2018-04-19,105,0,0,17,39,25,0
2018-04-20,117,0,1,21,29,36,0
2018-04-21,113,0,1,18,37,31,0
2018-04-22,102,0,0,16,29,28,0
2018-04-23,94,0,1,22,39,28,0
2018-04-24,85,0,0,21,39,29,0
2018-04-25,108,0,0,16,29,23,0
2018-04-26,113,0,0,29,35,29,0
2018-04-27,105,0,2,10,30,31,0
2018-04-28,107,0,3,11,28,20,0
2018-04-29,114,0,2,6,44,19,0
2018-04-30,88,0,0,20,32,27,0
2018-05-01,100,0,0,13,35,26,0
2018-05-02,106,0,1,20,28,20,0
2018-05-03,99,0,0,18,39,31,1
2018-05-04,97,0,0,20,40,33,0
2018-05-05,117,0,2,23,38,26,0
2018-05-06,89,0,0,11,26,23,0
2018-05-07,106,0,1,17,19,17,0
2018-05-08,117,0,0,15,27,27,1
2018-05-09,110,0,0,14,28,28,0
2018-05-10,117,0,0,17,36,35,1
2018-05-11,117,0,0,25,36,20,0
2018-05-12,127,0,1,19,30,27,0
2018-05-13,101,0,0,18,21,19,0
2018-05-14,109,0,1,12,21,28,0
2018-05-15,127,0,2,14,33,25,1
2018-05-16,115,0,2,17,30,29,0
2018-05-17,122,0,1,20,33,36,0
2018-05-18,113,0,0,18,33,22,0
2018-05-19,112,0,0,15,23,27,0
2018-05-20,114,0,2,18,34,26,1
2018-05-21,128,0,2,15,39,28,0
2018-05-22,139,0,2,20,39,19,0
2018-05-23,139,0,2,12,35,26,0
2018-05-24,134,0,0,13,44,32,0
2018-05-25,119,0,2,18,46,20,0
2018-05-26,133,0,1,11,24,25,0
2018-05-27,134,0,0,12,42,24,0
2018-05-28,126,0,1,8,43,27,0
2018-05-29,117,0,1,17,50,31,0
2018-05-30,112,0,1,19,42,28,0
2018-05-31,126,0,0,18,35,22,0
2018-06-01,132,0,1,12,44,30,1
2018-06-02,118,0,1,17,25,17,0
2018-06-03,103,0,4,11,33,24,0
2018-06-04,124,0,1,24,38,19,0
2018-06-05,126,0,1,16,35,29,0
2018-06-06,137,0,0,9,52,33,0
2018-06-07,112,0,2,27,45,17,0
2018-06-08,139,0,1,11,39,14,0
2018-06-09,120,0,1,15,42,28,0
2018-06-10,96,0,1,20,44,21,0
2018-06-11,158,0,4,22,46,20,0
2018-06-12,133,0,1,15,59,26,2
2018-06-13,137,0,5,18,31,16,0
2018-06-14,115,0,1,21,35,20,0
2018-06-15,127,0,0,11,49,29,0
2018-06-16,137,0,3,15,29,20,0
2018-06-17,112,0,0,13,37,23,1
2018-06-18,140,0,0,19,52,33,0
2018-06-19,139,0,2,18,50,28,1
2018-06-20,135,0,3,18,41,33,0
2018-06-21,149,0,3,18,43,31,0
2018-06-22,140,0,1,26,52,25,0
2018-06-23,125,0,0,13,38,27,0
2018-06-24,115,0,2,24,32,29,1
2018-06-25,152,0,1,23,40,28,0
2018-06-26,126,0,3,16,44,36,0
2018-06-27,123,0,0,13,38,28,0
2018-06-28,139,0,1,25,56,30,0
2018-06-29,149,0,2,22,47,31,0
2018-06-30,104,0,0,18,29,28,0
2018-07-01,118,0,4,19,40,23,0
2018-07-02,144,0,0,31,59,33,0
2018-07-03,143,0,1,20,53,29,2
2018-07-04,143,0,4,8,60,31,0
2018-07-05,159,0,1,14,62,26,1
2018-07-06,130,0,1,22,64,32,0
2018-07-07,133,0,1,17,40,33,1
2018-07-08,147,0,1,24,59,37,1
2018-07-09,148,0,2,20,50,37,0
2018-07-10,147,0,1,21,47,27,0
2018-07-11,132,0,1,15,53,40,0
2018-07-12,143,0,2,18,62,35,0
2018-07-13,158,0,4,17,63,39,0
2018-07-14,157,0,3,22,74,50,1
2018-07-15,145,0,1,27,71,53,1
2018-07-16,146,0,0,13,65,35,0
2018-07-17,156,0,1,21,62,23,0
2018-07-18,120,0,1,26,78,30,0
2018-07-19,156,0,1,19,59,42,1
2018-07-20,156,0,0,24,51,35,0
2018-07-21,128,0,2,15,62,29,0
2018-07-22,152,0,0,23,74,36,0
2018-07-23,150,0,3,25,59,45,0
2018-07-24,129,0,3,20,66,33,1
2018-07-25,164,0,1,14,54,32,0
2018-07-26,131,0,0,21,63,31,0
2018-07-27,154,0,3,19,54,43,0
2018-07-28,153,0,1,25,56,31,0
2018-07-29,123,0,1,27,49,31,1
2018-07-30,168,0,1,18,62,21,0
2018-07-31,150,0,1,25,56,33,0
2018-08-01,152,0,4,21,58,23,1
2018-08-02,132,0,3,19,60,42,0
2018-08-03,139,0,3,19,64,36,0
2018-08-04,144,0,1,20,57,37,1
2018-08-05,148,0,4,21,64,28,0
2018-08-06,157,0,4,23,59,33,1
2018-08-07,127,0,3,19,53,29,0
2018-08-08,151,0,3,19,59,39,0
2018-08-09,129,0,3,17,52,37,0
2018-08-10,147,0,0,24,55,30,0
2018-08-11,169,0,4,19,62,35,1
2018-08-12,138,0,0,23,48,28,0
2018-08-13,153,0,2,23,47,30,0
2018-08-14,138,0,2,18,64,29,0
2018-08-15,145,0,6,18,55,25,0
2018-08-16,128,0,0,26,58,40,0
2018-08-17,125,0,0,19,66,37,0
2018-08-18,146,0,1,24,55,28,1
2018-08-19,126,0,0,20,52,23,0
2018-08-20,141,0,1,25,56,23,0
2018-08-21,133,0,2,20,56,27,0
2018-08-22,141,0,1,31,61,26,0
2018-08-23,142,0,2,21,64,36,0
2018-08-24,135,0,3,22,54,33,0
2018-08-25,149,0,3,27,54,32,1
2018-08-26,137,0,5,20,35,26,0
2018-08-27,157,0,2,19,58,34,0
2018-08-28,143,0,1,22,63,31,0
2018-08-29,150,0,3,26,45,39,0
2018-08-30,137,0,0,27,56,32,0
2018-08-31,139,0,2,25,46,24,0
2018-09-01,129,0,4,12,45,32,0
2018-09-02,125,0,0,20,40,33,0
2018-09-03,124,0,2,24,51,29,0
2018-09-04,121,0,1,17,45,24,0
2018-09-05,118,0,2,20,58,30,0
2018-09-06,122,0,5,19,41,30,0
2018-09-07,91,0,4,17,49,19,0
2018-09-08,99,0,0,14,39,24,0
2018-09-09,99,0,3,16,46,23,1
2018-09-10,113,0,1,18,44,32,1
2018-09-11,129,0,1,15,55,27,0
2018-09-12,124,0,2,14,55,32,1
2018-09-13,118,0,1,17,42,38,0
2018-09-14,123,0,2,20,41,31,0
2018-09-15,96,0,1,25,38,20,0
2018-09-16,88,0,0,9,35,29,0
2018-09-17,116,0,1,20,50,31,0
2018-09-18,111,0,0,17,46,30,1
2018-09-19,118,0,0,20,39,25,0
2018-09-20,113,0,1,21,42,29,0
2018-09-21,116,0,0,14,46,24,0
2018-09-22,102,0,1,21,36,30,0
2018-09-23,125,0,1,13,45,18,0
2018-09-24,124,0,1,14,47,30,0
2018-09-25,109,0,1,12,46,32,0
2018-09-26,107,0,0,14,36,21,0
2018-09-27,118,0,0,10,30,25,0
2018-09-28,102,0,1,17,40,29,0
2018-09-29,95,0,1,12,43,28,1
2018-09-30,95,0,1,19,36,18,1
2018-10-01,110,0,1,15,36,25,0
2018-10-02,108,0,1,11,43,26,0
2018-10-03,95,0,0,14,28,27,0
2018-10-04,85,0,0,13,36,31,0
2018-10-05,107,0,2,17,55,25,0
2018-10-06,111,0,1,14,42,20,0
2018-10-07,140,0,1,16,42,32,0
2018-10-08,135,0,2,17,44,28,0
2018-10-09,110,0,1,12,32,30,0
2018-10-10,115,0,1,14,39,34,0
2018-10-11,92,0,2,18,42,36,0
2018-10-12,109,0,2,16,31,27,0
2018-10-13,112,0,1,13,22,27,0
2018-10-14,110,0,1,16,43,27,0
2018-10-15,92,0,0,12,28,45,0
2018-10-16,128,0,2,19,37,34,1
2018-10-17,107,0,0,19,38,32,0
2018-10-18,120,0,1,13,41,32,1
2018-10-19,102,0,1,17,27,31,0
2018-10-20,101,0,3,18,36,28,0
2018-10-21,114,0,0,13,31,29,0
2018-10-22,117,0,2,19,36,20,1
2018-10-23,100,0,1,13,39,34,0
2018-10-24,108,0,0,18,45,22,0
2018-10-25,123,0,0,19,48,32,0
2018-10-26,114,0,0,19,38,32,0
2018-10-27,106,0,1,14,31,24,2
2018-10-28,107,0,3,22,37,33,0
2018-10-29,106,0,1,20,29,30,0
2018-10-30,104,0,4,16,30,32,0
2018-10-31,97,0,2,22,31,28,0
2018-11-01,103,0,0,12,35,29,1
2018-11-02,120,0,1,10,25,30,0
2018-11-03,102,0,3,22,23,26,0
2018-11-04,98,0,1,17,32,25,1
2018-11-05,116,0,1,16,41,20,0
2018-11-06,108,0,1,19,49,33,0
2018-11-07,98,0,2,15,42,32,0
2018-11-08,107,0,1,14,42,33,0
2018-11-09,116,0,1,21,33,30,0
2018-11-10,129,0,1,17,43,36,0
2018-11-11,118,0,2,25,30,24,0
2018-11-12,108,0,2,16,45,36,0
2018-11-13,108,0,1,19,31,31,0
2018-11-14,117,0,0,13,50,32,0
2018-11-15,103,0,0,13,31,27,0
2018-11-16,119,0,2,18,47,35,0
2018-11-17,105,0,1,14,33,23,0
2018-11-18,103,0,1,15,47,23,0
2018-11-19,91,0,1,12,32,24,0
2018-11-20,112,0,2,11,34,28,0
2018-11-21,118,0,1,19,44,32,0
2018-11-22,115,0,0,15,37,23,0
2018-11-23,135,0,1,20,37,37,0
2018-11-24,102,0,1,23,35,29,0
2018-11-25,117,0,0,13,30,29,2
2018-11-26,105,0,2,23,25,29,0
2018-11-27,114,0,2,14,40,33,0
2018-11-28,109,0,1,15,40,28,0
2018-11-29,113,0,2,17,37,44,0
2018-11-30,115,0,1,18,30,32,0
2018-12-01,112,0,3,22,25,22,0
2018-12-02,109,0,4,22,36,25,0
2018-12-03,107,0,2,18,27,23,0
2018-12-04,125,0,2,10,35,35,1
2018-12-05,107,0,0,11,28,24,0
2018-12-06,127,0,1,16,29,30,0
2018-12-07,95,0,1,10,29,33,0
2018-12-08,113,0,1,18,32,19,0
2018-12-09,122,0,0,14,43,33,0
2018-12-10,133,0,2,18,27,32,0
2018-12-11,140,0,1,22,41,35,0
2018-12-12,142,0,2,14,50,30,0
2018-12-13,125,0,0,17,38,27,0
2018-12-14,120,0,2,16,51,30,1
2018-12-15,111,0,3,17,37,42,0
2018-12-16,123,0,0,13,40,36,0
2018-12-17,128,0,1,14,42,37,0
2018-12-18,100,0,1,16,32,25,0
2018-12-19,113,0,1,14,33,28,0
2018-12-20,95,0,0,17,34,26,1
2018-12-21,92,0,1,16,26,20,0
2018-12-22,87,0,1,19,21,19,0
2018-12-23,87,0,1,16,26,33,0
2018-12-24,83,0,0,13,18,21,0
2018-12-25,96,0,3,14,29,17,0
2018-12-26,97,0,0,14,35,29,0
2018-12-27,114,0,0,14,26,23,1
2018-12-28,114,0,1,11,31,20,0
2018-12-29,99,0,2,19,32,21,1
2018-12-30,100,0,4,18,26,17,0
2018-12-31,104,0,0,16,20,29,1
2019-01-01,104,0,4,18,29,28,0
2019-01-02,140,0,1,21,33,34,0
2019-01-03,148,0,2,22,46,39,1
2019-01-04,121,0,1,23,42,27,0
2019-01-05,114,0,3,18,39,33,0
2019-01-06,101,0,4,15,35,28,1
2019-01-07,105,0,0,18,34,30,0
2019-01-08,127,0,2,18,29,35,0
2019-01-09,116,0,1,14,37,28,0
2019-01-10,108,0,0,15,42,27,0
2019-01-11,87,0,1,23,27,24,1
2019-01-12,120,0,0,13,27,36,0
2019-01-13,113,0,3,18,37,28,0
2019-01-14,107,0,1,16,28,26,0
2019-01-15,100,0,2,17,32,31,0
2019-01-16,108,0,1,17,33,42,0
2019-01-17,109,0,2,13,22,26,0
2019-01-18,90,0,1,15,26,38,0
2019-01-19,105,0,0,13,26,28,0
2019-01-20,96,0,1,11,40,25,0
2019-01-21,115,0,1,19,20,29,0
2019-01-22,107,0,1,11,31,32,0
2019-01-23,94,0,1,22,20,29,0
2019-01-24,109,0,0,13,32,32,0
2019-01-25,99,0,1,15,32,39,1
2019-01-26,117,0,1,17,39,29,0
2019-01-27,98,0,1,19,40,30,0
2019-01-28,135,0,2,19,36,32,0
2019-01-29,133,0,1,15,44,31,0
2019-01-30,157,0,1,31,45,42,0
2019-01-31,160,0,2,17,48,40,0
2019-02-01,122,0,6,13,51,34,0
2019-02-02,135,0,1,24,35,23,0
2019-02-03,87,0,1,20,38,34,0
2019-02-04,110,0,4,11,41,26,0
2019-02-05,111,0,1,20,29,23,0
2019-02-06,106,0,2,22,34,32,0
2019-02-07,106,0,1,14,23,32,0
2019-02-08,110,0,1,18,44,38,1
2019-02-09,119,0,1,14,36,32,0
2019-02-10,115,0,1,23,25,30,0
2019-02-11,102,0,3,12,39,34,0
2019-02-12,118,0,3,19,31,34,0
2019-02-13,101,0,1,14,40,25,0
2019-02-14,118,0,1,13,27,25,0
2019-02-15,99,0,0,20,30,35,0
2019-02-16,118,0,1,17,31,36,0
2019-02-17,112,0,2,12,30,19,0
2019-02-18,120,0,4,17,31,24,0
2019-02-19,105,0,1,14,35,39,0
2019-02-20,111,0,3,17,37,36,0
2019-02-21,127,0,0,13,35,27,1
2019-02-22,115,0,1,18,31,37,0
2019-02-23,140,0,3,19,36,29,0
2019-02-24,126,0,1,16,38,32,0
2019-02-25,106,0,2,15,37,26,0
2019-02-26,108,0,0,12,25,34,0
2019-02-27,128,0,0,14,26,26,0
2019-02-28,97,0,2,18,36,28,0
2019-03-01,111,0,0,25,26,31,0
2019-03-02,104,0,0,19,25,35,0
2019-03-03,114,0,0,15,32,20,0
2019-03-04,123,0,2,26,35,40,0
2019-03-05,119,0,0,14,35,31,0
2019-03-06,123,0,0,16,36,27,0
2019-03-07,102,0,2,13,26,35,0
2019-03-08,121,0,2,17,42,26,1
2019-03-09,115,0,0,15,31,36,0
2019-03-10,102,0,1,22,43,31,0
2019-03-11,119,0,1,16,32,26,0
2019-03-12,123,0,1,16,33,34,0
2019-03-13,100,0,0,17,42,32,0
2019-03-14,117,0,2,16,30,34,0
2019-03-15,134,0,1,21,31,26,0
2019-03-16,119,0,0,15,34,26,0
2019-03-17,117,0,3,21,30,26,0
2019-03-18,115,0,3,10,38,43,0
2019-03-19,107,0,0,21,41,33,0
2019-03-20,135,0,1,18,31,25,0
2019-03-21,123,0,2,13,25,42,1
2019-03-22,135,0,1,14,30,46,0
2019-03-23,123,0,2,14,29,30,0
2019-03-24,110,0,1,21,33,39,0
2019-03-25,126,0,0,9,33,28,0
2019-03-26,104,0,2,15,30,34,0
2019-03-27,109,0,1,20,35,28,0
2019-03-28,109,0,4,15,37,26,0
2019-03-29,124,0,4,23,33,35,0
2019-03-30,115,0,1,16,46,29,1
2019-03-31,128,0,3,15,33,47,0
2019-04-01,120,0,2,25,34,31,0
2019-04-02,126,0,0,20,33,38,1
2019-04-03,111,0,2,27,38,34,0
2019-04-04,116,0,3,19,38,35,0
2019-04-05,125,0,0,14,40,24,0
2019-04-06,114,0,0,19,29,38,0
2019-04-07,93,0,2,25,35,30,0
2019-04-08,110,0,0,20,38,28,0
2019-04-09,117,0,1,21,38,30,0
2019-04-10,135,0,2,17,42,35,1
2019-04-11,114,0,0,16,36,25,0
2019-04-12,116,0,2,20,33,27,0
2019-04-13,125,0,2,17,42,24,2
2019-04-14,133,0,1,12,29,35,0
2019-04-15,136,0,0,22,41,34,1
2019-04-16,123,0,1,15,36,34,0
