DATA_OBITO,OUTRAS,COVID - RS,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-04-17,137,0,4,17,29,33,0
2019-04-18,118,0,1,16,39,34,0
2019-04-19,117,0,3,15,42,31,0
2019-04-20,111,0,0,24,36,20,0
2019-04-21,134,0,1,19,34,23,0
2019-04-22,95,0,0,20,52,36,0
2019-04-23,150,0,0,18,36,31,0
2019-04-24,112,0,2,18,34,28,1
2019-04-25,116,0,2,11,34,33,0
2019-04-26,89,0,0,20,35,35,0
2019-04-27,124,0,1,21,34,26,0
2019-04-28,120,0,1,18,22,30,0
2019-04-29,109,0,0,23,22,39,0
2019-04-30,123,0,1,18,36,33,0
2019-05-01,107,0,1,16,42,47,0
2019-05-02,115,0,1,17,40,35,0
2019-05-03,140,0,3,20,32,29,1
2019-05-04,118,0,0,13,26,37,1
2019-05-05,128,0,2,24,35,30,0
2019-05-06,119,0,0,25,30,20,1
2019-05-07,114,0,1,15,44,28,0
2019-05-08,135,0,1,23,47,34,0
2019-05-09,131,0,2,17,36,27,0
2019-05-10,127,0,2,18,35,32,0
2019-05-11,98,0,3,27,45,31,0
2019-05-12,124,0,0,18,40,26,0
2019-05-13,131,0,0,16,24,33,0
2019-05-14,138,0,2,14,34,35,0
2019-05-15,147,0,1,24,32,32,0
2019-05-16,118,0,0,25,32,34,0
2019-05-17,121,0,5,16,44,24,1
2019-05-18,146,0,3,13,28,32,0
2019-05-19,130,0,4,15,46,31,1
2019-05-20,136,0,1,17,46,32,0
2019-05-21,140,0,1,18,30,33,0
2019-05-22,128,0,0,16,32,43,0
2019-05-23,126,0,1,19,33,27,0
2019-05-24,145,0,2,25,47,34,0
2019-05-25,120,0,2,25,38,22,0
2019-05-26,140,0,1,16,50,41,0
2019-05-27,126,0,1,23,45,33,0
2019-05-28,128,0,1,15,39,38,1
2019-05-29,134,0,3,23,33,45,0
2019-05-30,137,0,2,21,25,42,1
2019-05-31,143,0,2,19,37,43,0
2019-06-01,131,0,2,32,40,30,1
2019-06-02,149,0,0,15,50,38,1
2019-06-03,134,0,1,19,39,28,0
2019-06-04,127,0,3,27,52,21,1
2019-06-05,157,0,3,29,42,35,0
2019-06-06,158,0,0,28,46,34,0
2019-06-07,147,0,1,16,40,27,0
2019-06-08,130,0,1,17,35,36,0
2019-06-09,132,0,7,19,48,34,0
2019-06-10,132,0,2,22,47,36,1
2019-06-11,126,0,4,22,61,35,0
2019-06-12,150,0,0,20,40,33,0
2019-06-13,154,0,0,27,48,37,0
2019-06-14,131,0,0,19,66,37,0
2019-06-15,126,0,1,16,49,35,0
2019-06-16,123,0,4,19,55,17,0
2019-06-17,134,0,1,25,40,42,0
2019-06-18,155,0,3,18,48,48,1
2019-06-19,112,0,1,17,38,34,1
2019-06-20,140,0,1,23,40,30,0
2019-06-21,139,0,0,17,56,31,0
2019-06-22,124,0,1,14,63,30,0
2019-06-23,138,0,0,18,53,31,1
2019-06-24,117,0,0,23,55,32,0
2019-06-25,128,0,1,20,36,32,0
2019-06-26,143,0,1,18,68,36,0
2019-06-27,146,0,4,30,62,35,0
2019-06-28,155,0,1,25,38,37,0
2019-06-29,153,0,1,19,58,37,0
2019-06-30,129,0,2,22,44,42,1
2019-07-01,134,0,5,22,51,30,0
2019-07-02,165,0,4,25,55,40,1
2019-07-03,139,0,2,31,50,29,0
2019-07-04,168,0,0,22,48,43,0
2019-07-05,164,0,1,23,52,38,0
2019-07-06,176,0,1,26,53,37,0
2019-07-07,164,0,6,20,51,38,0
2019-07-08,209,0,3,32,75,41,0
2019-07-09,172,0,2,23,61,33,0
2019-07-10,195,0,0,21,57,39,2
2019-07-11,172,0,2,30,65,38,0
2019-07-12,181,0,1,29,49,40,0
2019-07-13,149,0,1,28,70,43,0
2019-07-14,153,0,6,25,61,38,1
2019-07-15,151,0,3,18,50,36,1
2019-07-16,159,0,5,33,65,46,0
2019-07-17,169,0,2,21,52,29,1
2019-07-18,170,0,3,27,65,25,0
2019-07-19,144,0,0,19,74,38,0
2019-07-20,153,0,2,31,70,36,1
2019-07-21,169,0,1,16,58,46,0
2019-07-22,170,0,4,25,70,54,1
2019-07-23,124,0,2,22,56,35,0
2019-07-24,149,0,4,34,59,31,0
2019-07-25,156,0,3,23,69,44,1
2019-07-26,145,0,1,33,67,25,2
2019-07-27,150,0,3,21,66,43,0
2019-07-28,156,0,4,28,45,39,0
2019-07-29,159,0,3,17,54,34,0
2019-07-30,151,0,1,23,64,37,0
2019-07-31,168,0,1,19,58,35,0
2019-08-01,159,0,6,16,65,40,1
2019-08-02,163,0,2,36,56,38,0
2019-08-03,140,0,5,34,54,39,1
2019-08-04,139,0,7,32,49,33,0
2019-08-05,202,0,4,16,67,31,0
2019-08-06,175,0,1,29,54,34,0
2019-08-07,146,0,0,24,73,42,0
2019-08-08,181,0,1,22,76,37,1
2019-08-09,164,0,1,22,51,50,0
2019-08-10,131,0,3,25,43,31,2
2019-08-11,142,0,1,14,53,29,0
2019-08-12,159,0,0,24,61,50,1
2019-08-13,138,0,1,11,46,35,0
2019-08-14,146,0,2,18,66,40,0
2019-08-15,146,0,3,14,55,29,0
2019-08-16,181,0,2,20,63,51,0
2019-08-17,152,0,1,29,62,24,1
2019-08-18,145,0,1,17,42,36,1
2019-08-19,126,0,2,29,59,32,0
2019-08-20,174,0,2,15,66,36,0
2019-08-21,141,0,0,21,64,36,0
2019-08-22,143,0,1,34,55,36,1
2019-08-23,154,0,3,22,54,37,0
2019-08-24,154,0,1,20,41,31,0
2019-08-25,152,0,2,25,53,34,0
2019-08-26,161,0,1,26,76,38,2
2019-08-27,155,0,2,31,72,42,0
2019-08-28,156,0,3,13,54,49,1
2019-08-29,150,0,2,31,60,40,0
2019-08-30,151,0,1,24,54,36,0
2019-08-31,135,0,3,16,56,43,0
2019-09-01,130,0,0,19,46,51,0
2019-09-02,119,0,1,13,60,34,0
2019-09-03,155,0,1,19,55,35,0
2019-09-04,142,0,1,26,60,30,0
2019-09-05,146,0,4,27,67,27,0
2019-09-06,145,0,2,19,62,33,1
2019-09-07,153,0,5,29,58,44,0
2019-09-08,162,0,1,22,62,42,1
2019-09-09,152,0,3,25,50,44,1
2019-09-10,114,0,1,28,54,36,0
2019-09-11,147,0,1,22,46,35,0
2019-09-12,125,0,1,21,45,41,1
2019-09-13,122,0,0,25,54,31,0
2019-09-14,138,0,2,28,51,40,0
2019-09-15,133,0,3,20,48,27,0
2019-09-16,152,0,0,25,63,36,0
2019-09-17,127,0,1,20,54,33,0
2019-09-18,118,0,0,24,61,30,1
2019-09-19,144,0,2,20,50,44,0
2019-09-20,134,0,1,11,58,28,1
2019-09-21,121,0,1,27,43,23,1
2019-09-22,152,0,2,15,35,33,0
2019-09-23,161,0,2,15,41,37,0
2019-09-24,125,0,1,26,42,32,0
2019-09-25,135,0,2,24,71,31,0
2019-09-26,150,0,0,21,50,36,0
2019-09-27,150,0,2,20,44,35,0
2019-09-28,142,0,4,22,44,28,1
2019-09-29,129,0,1,22,47,37,1
2019-09-30,136,0,3,20,54,26,0
2019-10-01,161,0,3,29,76,38,1
2019-10-02,161,0,2,25,57,41,1
2019-10-03,126,0,1,16,59,35,0
2019-10-04,132,0,0,21,53,39,0
2019-10-05,117,0,3,18,48,23,1
2019-10-06,122,0,2,27,43,29,0
2019-10-07,134,0,0,25,50,24,0
2019-10-08,147,0,0,21,50,45,0
2019-10-09,122,0,0,19,46,36,0
2019-10-10,126,0,1,16,49,30,0
2019-10-11,142,0,0,21,40,35,0
2019-10-12,176,0,0,16,49,42,0
2019-10-13,140,0,2,17,60,32,0
2019-10-14,124,0,3,18,57,28,0
2019-10-15,129,0,0,18,55,32,0
2019-10-16,109,0,0,19,42,31,0
2019-10-17,102,0,0,14,43,40,1
2019-10-18,126,0,0,22,34,40,0
2019-10-19,113,0,0,9,46,30,0
2019-10-20,117,0,0,18,43,30,0
2019-10-21,121,0,0,13,32,24,1
2019-10-22,149,0,3,25,55,34,1
2019-10-23,124,0,1,19,36,39,1
2019-10-24,155,0,3,17,41,33,1
2019-10-25,149,0,2,19,42,36,0
2019-10-26,130,0,1,20,46,35,0
2019-10-27,139,0,4,23,47,32,0
2019-10-28,112,0,3,16,52,39,0
2019-10-29,122,0,1,16,43,37,0
2019-10-30,125,0,2,21,42,31,0
2019-10-31,118,0,0,18,49,23,2
2019-11-01,113,0,2,16,41,28,0
2019-11-02,126,0,3,14,44,41,0
2019-11-03,138,0,1,22,35,37,0
2019-11-04,137,0,2,20,37,27,0
2019-11-05,134,0,1,17,45,38,0
2019-11-06,121,0,0,12,54,32,0
2019-11-07,113,0,1,23,50,31,1
2019-11-08,142,0,1,21,40,26,0
2019-11-09,123,0,3,13,49,32,0
2019-11-10,115,0,1,24,36,27,0
2019-11-11,114,0,1,21,33,33,1
2019-11-12,134,0,0,22,43,22,1
2019-11-13,127,0,2,23,33,33,2
2019-11-14,141,0,0,11,56,31,1
2019-11-15,105,0,1,23,31,28,0
2019-11-16,126,0,2,13,38,24,1
2019-11-17,115,0,2,20,37,30,0
2019-11-18,113,0,1,22,44,37,1
2019-11-19,123,0,2,15,35,39,1
2019-11-20,141,0,1,21,36,31,0
2019-11-21,135,0,1,15,36,32,0
2019-11-22,157,0,2,24,38,25,0
2019-11-23,125,0,0,24,45,31,0
2019-11-24,113,0,0,23,31,31,0
2019-11-25,117,0,1,17,34,34,0
2019-11-26,107,0,0,21,41,39,0
2019-11-27,101,0,2,21,35,43,0
2019-11-28,136,0,1,18,27,31,1
2019-11-29,127,0,0,20,34,27,0
2019-11-30,151,0,0,20,37,34,0
2019-12-01,144,0,0,14,28,32,0
2019-12-02,113,0,2,10,42,28,0
2019-12-03,109,0,1,18,29,40,0
2019-12-04,123,0,2,21,36,40,0
2019-12-05,108,0,1,16,34,34,0
2019-12-06,125,0,0,13,42,28,0
2019-12-07,115,0,1,19,44,32,0
2019-12-08,152,0,1,18,36,35,0
2019-12-09,120,0,3,24,39,29,0
2019-12-10,117,0,1,18,38,33,1
2019-12-11,108,0,5,16,45,38,0
2019-12-12,139,0,2,15,32,29,0
2019-12-13,123,0,0,11,40,30,0
2019-12-14,134,0,3,24,26,38,0
2019-12-15,124,0,2,26,37,29,0
2019-12-16,137,0,4,14,42,40,1
2019-12-17,111,0,1,16,36,33,0
2019-12-18,115,0,0,15,28,33,1
2019-12-19,130,0,0,9,43,33,0
2019-12-20,122,0,2,13,32,26,0
2019-12-21,136,0,4,20,32,44,0
2019-12-22,127,0,1,20,35,27,0
2019-12-23,112,0,2,19,39,29,0
2019-12-24,115,0,0,16,44,33,1
2019-12-25,132,0,1,12,35,32,0
2019-12-26,124,0,3,18,38,36,1
2019-12-27,134,0,0,22,40,35,0
2019-12-28,138,0,4,22,45,37,0
2019-12-29,150,0,2,22,43,29,0
2019-12-30,145,0,2,23,42,29,0
2019-12-31,137,0,3,14,50,46,0
2020-01-01,139,0,1,16,35,35,1
2020-01-02,142,0,2,20,36,27,0
2020-01-03,121,0,0,18,27,33,0
2020-01-04,120,0,0,15,31,48,0
2020-01-05,117,0,2,21,38,27,0
2020-01-06,118,0,2,15,36,24,1
2020-01-07,117,0,2,20,47,37,2
2020-01-08,110,0,1,16,46,32,0
2020-01-09,126,0,2,20,41,47,0
2020-01-10,130,0,1,24,40,34,0
2020-01-11,126,0,5,9,30,31,0
2020-01-12,128,0,1,20,40,40,0
2020-01-13,113,0,4,24,36,26,0
2020-01-14,133,0,3,14,29,40,1
2020-01-15,135,0,2,13,41,29,0
2020-01-16,115,0,1,13,32,24,0
2020-01-17,111,0,1,19,28,37,0
2020-01-18,128,0,1,19,27,20,0
2020-01-19,111,0,2,19,31,34,0
2020-01-20,108,0,2,18,40,29,0
2020-01-21,118,0,1,16,36,37,0
2020-01-22,105,0,1,18,33,33,0
2020-01-23,120,0,2,10,30,30,0
2020-01-24,117,0,0,24,35,41,2
2020-01-25,138,0,1,15,36,37,0
2020-01-26,113,0,1,18,39,34,0
2020-01-27,118,0,1,18,29,37,0
2020-01-28,130,0,2,15,34,36,0
2020-01-29,131,0,1,21,35,27,0
2020-01-30,103,0,0,18,35,26,0
2020-01-31,122,0,1,14,34,27,1
2020-02-01,108,0,1,14,32,36,0
2020-02-02,127,0,2,19,31,37,0
2020-02-03,127,0,3,20,30,26,0
2020-02-04,90,0,3,16,31,49,1
2020-02-05,124,0,1,18,36,33,0
2020-02-06,116,0,0,10,34,37,1
2020-02-07,139,0,1,16,42,30,0
2020-02-08,131,0,2,14,36,28,0
2020-02-09,122,0,2,15,31,42,0
2020-02-10,114,0,1,20,26,35,0
2020-02-11,127,0,3,12,32,28,0
2020-02-12,99,0,0,11,34,32,0
2020-02-13,115,0,2,9,37,28,0
2020-02-14,119,0,0,21,33,35,0
2020-02-15,122,0,2,15,28,37,0
2020-02-16,134,0,2,19,31,33,0
2020-02-17,123,0,0,12,42,45,0
2020-02-18,126,0,1,16,44,32,0
2020-02-19,102,0,1,11,33,34,0
2020-02-20,124,0,1,11,15,21,0
2020-02-21,117,0,2,22,32,35,0
2020-02-22,121,0,2,16,29,34,0
2020-02-23,117,0,2,16,31,26,0
2020-02-24,118,0,3,19,33,39,1
2020-02-25,124,0,0,16,42,30,0
2020-02-26,109,0,2,27,26,29,1
2020-02-27,114,0,2,18,32,37,1
2020-02-28,110,0,3,22,26,18,0
2020-02-29,123,0,2,21,26,37,0
2020-03-01,106,0,0,9,36,36,1
2020-03-02,137,0,0,16,39,24,1
2020-03-03,121,0,0,16,24,28,1
2020-03-04,131,0,1,14,38,29,1
2020-03-05,129,0,0,19,43,27,0
2020-03-06,103,0,2,21,31,31,1
2020-03-07,118,0,1,19,22,37,1
2020-03-08,140,0,3,16,36,24,1
2020-03-09,117,0,1,19,28,33,0
2020-03-10,125,0,1,18,43,34,0
2020-03-11,107,0,0,18,47,29,1
2020-03-12,131,0,2,14,40,33,0
2020-03-13,127,0,1,18,40,36,1
2020-03-14,117,0,2,18,33,28,0
2020-03-15,116,0,4,14,38,34,0
2020-03-16,126,0,2,19,46,37,0
2020-03-17,123,0,0,11,24,33,0
2020-03-18,108,0,0,15,42,43,0
2020-03-19,120,0,2,10,53,33,1
2020-03-20,110,0,1,18,51,29,0
2020-03-21,131,0,2,22,36,37,0
2020-03-22,97,0,2,16,29,25,0
2020-03-23,126,0,1,25,47,25,0
2020-03-24,124,1,3,24,32,27,1
2020-03-25,107,0,0,13,41,37,0
2020-03-26,78,1,1,14,29,29,2
2020-03-27,129,0,2,21,34,21,0
2020-03-28,116,1,0,15,37,32,1
2020-03-29,130,1,3,16,37,28,0
2020-03-30,117,3,2,15,36,35,0
2020-03-31,122,2,2,22,34,36,2
2020-04-01,110,1,2,18,28,32,0
2020-04-02,126,4,2,8,27,18,0
2020-04-03,110,4,0,14,28,22,0
2020-04-04,114,3,1,14,29,24,0
2020-04-05,98,2,0,21,29,17,1
2020-04-06,117,4,3,20,23,14,1
2020-04-07,133,4,3,20,26,27,1
2020-04-08,130,3,3,22,30,30,3
2020-04-09,131,4,2,21,26,20,1
2020-04-10,139,2,1,13,39,23,1
2020-04-11,120,1,3,15,31,30,1
2020-04-12,119,2,1,15,23,24,0
2020-04-13,123,5,2,22,40,32,1
2020-04-14,120,0,3,12,32,27,1
2020-04-15,127,2,1,24,31,18,2
2020-04-16,105,4,0,11,32,30,0
2020-04-17,112,3,2,14,23,26,0
2020-04-18,133,2,3,22,27,29,1
2020-04-19,126,2,2,15,37,30,0
2020-04-20,104,2,5,16,29,13,1
2020-04-21,150,3,0,14,38,36,2
2020-04-22,110,4,2,16,33,32,0
2020-04-23,129,6,5,12,26,25,1
2020-04-24,101,1,0,22,42,25,3
2020-04-25,122,3,1,13,32,35,1
2020-04-26,110,7,2,21,31,33,1
2020-04-27,124,6,2,13,33,21,1
2020-04-28,104,2,0,10,36,32,3
2020-04-29,128,3,1,16,28,34,0
2020-04-30,111,11,0,7,24,27,2
2020-05-01,127,7,0,18,28,24,3
2020-05-02,119,7,0,23,23,28,0
2020-05-03,121,5,0,13,30,17,0
2020-05-04,109,10,0,15,27,22,0
2020-05-05,139,9,2,10,21,38,0
2020-05-06,126,6,0,11,18,33,1
2020-05-07,133,9,1,13,35,35,3
2020-05-08,152,11,2,12,22,29,0
2020-05-09,143,6,1,17,24,36,1
2020-05-10,144,5,3,20,25,29,0
2020-05-11,169,13,2,13,32,33,2
2020-05-12,120,8,0,14,28,31,0
2020-05-13,138,10,1,10,32,31,0
2020-05-14,118,12,1,20,34,27,0
2020-05-15,132,13,1,13,37,28,1
2020-05-16,131,7,3,17,33,29,2
2020-05-17,112,8,2,27,28,33,1
2020-05-18,139,7,2,13,32,29,3
2020-05-19,104,8,0,9,35,25,2
2020-05-20,116,5,3,14,32,46,2
2020-05-21,138,7,0,19,34,30,1
2020-05-22,124,8,0,16,30,35,1
2020-05-23,101,5,2,14,18,26,0
2020-05-24,133,14,0,10,22,19,0
2020-05-25,128,8,3,14,26,31,0
2020-05-26,128,6,4,12,37,29,3
2020-05-27,144,3,1,17,46,35,1
2020-05-28,141,12,1,12,38,26,0
2020-05-29,125,6,1,15,21,27,1
2020-05-30,132,13,2,17,33,36,1
2020-05-31,116,10,2,20,30,24,2
2020-06-01,165,11,0,11,29,24,1
2020-06-02,146,14,4,15,35,35,2
2020-06-03,125,9,1,9,38,34,1
2020-06-04,148,7,0,22,38,29,0
2020-06-05,132,16,2,13,38,35,1
2020-06-06,136,11,1,21,29,32,0
2020-06-07,135,11,2,15,33,21,0
2020-06-08,149,15,1,18,35,27,1
2020-06-09,149,16,2,15,32,27,0
2020-06-10,134,16,3,23,28,32,2
2020-06-11,135,10,1,23,42,31,4
2020-06-12,141,10,0,16,44,27,1
2020-06-13,146,19,3,21,34,45,1
2020-06-14,101,3,3,12,39,33,2
2020-06-15,148,12,0,16,38,31,0
2020-06-16,137,20,0,22,26,34,1
2020-06-17,118,18,0,16,36,27,1
2020-06-18,139,17,2,8,34,28,0
2020-06-19,144,18,1,19,29,31,2
2020-06-20,125,18,4,11,37,43,0
2020-06-21,119,25,1,20,37,32,0
2020-06-22,122,20,0,18,31,25,2
2020-06-23,108,20,1,19,26,27,1
2020-06-24,114,19,2,17,30,26,2
2020-06-25,127,19,1,15,27,37,0
2020-06-26,135,16,1,17,33,29,1
2020-06-27,132,18,0,15,33,30,4
2020-06-28,136,31,1,29,36,26,1
2020-06-29,137,26,2,13,44,31,0
2020-06-30,158,29,1,8,33,32,1
2020-07-01,134,28,2,13,33,38,2
2020-07-02,152,26,1,19,31,29,1
2020-07-03,138,24,1,17,32,28,0
2020-07-04,139,20,5,21,34,23,1
2020-07-05,137,27,1,11,28,28,3
2020-07-06,141,28,1,16,35,35,2
2020-07-07,133,35,4,23,30,32,1
2020-07-08,156,44,3,18,34,28,1
2020-07-09,119,42,1,23,31,34,1
2020-07-10,149,48,1,20,44,28,2
2020-07-11,148,29,1,18,31,29,1
2020-07-12,145,46,1,21,26,30,2
2020-07-13,160,57,1,20,40,23,4
2020-07-14,162,36,3,22,34,28,2
2020-07-15,149,47,1,16,38,24,1
2020-07-16,158,35,3,22,24,30,5
2020-07-17,165,54,1,11,38,28,1
2020-07-18,150,41,1,20,37,45,2
2020-07-19,121,39,0,16,40,27,1
2020-07-20,127,39,3,17,38,30,4
2020-07-21,127,58,6,23,39,31,0
2020-07-22,126,42,2,13,28,33,3
2020-07-23,97,41,1,21,23,23,0
2020-07-24,96,40,3,15,35,16,2
2020-07-25,107,42,0,15,25,23,1
2020-07-26,82,40,3,14,20,27,1
2020-07-27,91,35,2,8,21,23,1
2020-07-28,82,29,3,5,15,22,4
2020-07-29,22,10,1,0,4,2,0