DATA_OBITO,OUTRAS,COVID - SC,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-04-14,60,0,0,13,21,15,0
2019-04-15,65,0,0,10,22,16,0
2019-04-16,48,0,0,10,19,13,0
2019-04-17,54,0,0,9,16,11,0
2019-04-18,54,0,0,8,21,11,0
2019-04-19,53,0,0,13,16,8,1
2019-04-20,49,0,0,4,20,14,0
2019-04-21,48,0,2,5,11,15,0
2019-04-22,53,0,0,7,27,17,0
2019-04-23,53,0,1,8,23,16,0
2019-04-24,57,0,0,7,15,14,0
2019-04-25,56,0,1,8,14,12,0
2019-04-26,50,0,0,12,20,14,0
2019-04-27,40,0,0,3,22,16,1
2019-04-28,55,0,1,11,21,16,0
2019-04-29,56,0,0,10,23,17,0
2019-04-30,66,0,1,14,22,19,0
2019-05-01,55,0,0,6,20,11,0
2019-05-02,51,0,0,6,22,19,0
2019-05-03,73,0,0,8,13,14,0
2019-05-04,57,0,0,12,18,15,0
2019-05-05,57,0,1,17,12,13,1
2019-05-06,59,0,0,11,14,17,0
2019-05-07,59,0,0,6,15,18,0
2019-05-08,56,0,2,7,17,15,0
2019-05-09,53,0,0,9,14,12,0
2019-05-10,57,0,0,8,26,18,0
2019-05-11,59,0,1,5,7,10,0
2019-05-12,54,0,1,12,15,21,0
2019-05-13,63,0,0,13,20,15,0
2019-05-14,57,0,1,8,16,15,0
2019-05-15,59,0,0,9,30,11,0
2019-05-16,45,0,1,8,18,10,1
2019-05-17,63,0,0,6,19,12,0
2019-05-18,57,0,1,8,22,25,0
2019-05-19,67,0,1,10,18,13,1
2019-05-20,48,0,2,9,18,14,0
2019-05-21,61,0,0,8,25,14,0
2019-05-22,57,0,0,12,21,13,1
2019-05-23,64,0,0,11,19,18,0
2019-05-24,60,0,0,12,12,18,1
2019-05-25,63,0,4,4,19,14,1
2019-05-26,63,0,0,11,18,9,0
2019-05-27,70,0,0,8,22,15,1
2019-05-28,59,0,2,11,22,11,1
2019-05-29,63,0,1,6,23,9,0
2019-05-30,71,0,0,10,16,15,0
2019-05-31,62,0,0,7,19,9,0
2019-06-01,61,0,2,9,22,16,0
2019-06-02,63,0,1,6,13,14,1
2019-06-03,74,0,1,6,24,19,0
2019-06-04,68,0,0,12,16,6,0
2019-06-05,61,0,1,7,10,9,0
2019-06-06,64,0,0,6,14,12,0
2019-06-07,53,0,1,9,19,12,0
2019-06-08,62,0,1,10,22,10,1
2019-06-09,70,0,1,12,16,11,1
2019-06-10,51,0,0,10,31,21,0
2019-06-11,54,0,0,11,30,21,0
2019-06-12,69,0,1,11,28,22,0
2019-06-13,70,0,1,17,29,10,0
2019-06-14,59,0,0,13,21,15,0
2019-06-15,55,0,1,12,28,16,1
2019-06-16,64,0,0,16,29,14,0
2019-06-17,60,0,0,3,16,12,0
2019-06-18,63,0,0,16,19,19,0
2019-06-19,54,0,0,10,25,13,1
2019-06-20,46,0,0,8,25,17,0
2019-06-21,64,0,0,8,17,16,1
2019-06-22,51,0,0,10,20,16,1
2019-06-23,55,0,0,7,20,14,0
2019-06-24,59,0,1,10,29,18,1
2019-06-25,69,0,0,7,22,15,0
2019-06-26,72,0,1,13,22,15,0
2019-06-27,59,0,0,15,25,20,1
2019-06-28,60,0,2,14,20,12,1
2019-06-29,66,0,2,12,23,17,0
2019-06-30,60,0,1,12,24,14,0
2019-07-01,57,0,1,9,26,13,0
2019-07-02,59,0,0,14,32,17,0
2019-07-03,61,0,0,14,26,15,0
2019-07-04,63,0,1,8,25,14,2
2019-07-05,66,0,0,11,25,14,0
2019-07-06,76,0,0,10,26,11,0
2019-07-07,96,0,0,13,26,16,0
2019-07-08,67,0,0,8,39,10,0
2019-07-09,81,0,1,12,29,17,0
2019-07-10,88,0,1,10,35,16,0
2019-07-11,73,0,2,16,31,27,1
2019-07-12,67,0,0,10,28,13,1
2019-07-13,72,0,0,12,19,17,0
2019-07-14,66,0,2,8,28,14,0
2019-07-15,78,0,0,10,28,18,2
2019-07-16,62,0,0,14,28,12,0
2019-07-17,75,0,2,8,25,22,0
2019-07-18,61,0,0,11,29,14,0
2019-07-19,69,0,1,9,18,19,0
2019-07-20,71,0,0,7,23,18,1
2019-07-21,54,0,1,14,30,17,0
2019-07-22,68,0,2,17,37,12,1
2019-07-23,71,0,3,11,27,21,0
2019-07-24,74,0,0,7,26,20,0
2019-07-25,73,0,0,15,17,16,0
2019-07-26,67,0,3,20,29,19,0
2019-07-27,53,0,0,11,21,19,2
2019-07-28,64,0,1,18,32,12,1
2019-07-29,56,0,1,10,21,15,0
2019-07-30,55,0,0,5,24,12,0
2019-07-31,64,0,0,10,21,14,0
2019-08-01,61,0,0,11,23,20,1
2019-08-02,65,0,1,7,18,19,0
2019-08-03,61,0,1,10,19,8,0
2019-08-04,58,0,3,9,20,13,1
2019-08-05,78,0,1,11,34,18,0
2019-08-06,62,0,1,12,29,22,2
2019-08-07,66,0,1,12,33,11,0
2019-08-08,59,0,2,9,19,17,0
2019-08-09,69,0,1,6,17,24,1
2019-08-10,67,0,2,13,33,10,0
2019-08-11,57,0,0,13,30,11,0
2019-08-12,75,0,1,13,27,11,0
2019-08-13,54,0,0,14,17,17,0
2019-08-14,71,0,0,11,16,11,0
2019-08-15,69,0,3,8,30,21,0
2019-08-16,70,0,4,9,21,18,0
2019-08-17,65,0,0,11,15,21,1
2019-08-18,67,0,0,7,22,14,0
2019-08-19,47,0,0,8,17,14,0
2019-08-20,53,0,1,9,28,15,0
2019-08-21,69,0,1,13,26,15,0
2019-08-22,55,0,0,7,21,15,0
2019-08-23,65,0,1,7,32,16,0
2019-08-24,68,0,2,7,24,8,1
2019-08-25,66,0,0,9,22,11,0
2019-08-26,65,0,1,8,15,15,0
2019-08-27,65,0,1,8,28,17,0
2019-08-28,67,0,1,13,22,13,0
2019-08-29,73,0,0,11,19,20,1
2019-08-30,82,0,2,8,29,10,0
2019-08-31,63,0,0,10,18,12,0
2019-09-01,53,0,2,19,22,11,0
2019-09-02,71,0,0,7,20,22,1
2019-09-03,56,0,1,9,17,11,0
2019-09-04,52,0,2,12,19,10,0
2019-09-05,69,0,3,11,20,16,0
2019-09-06,77,0,0,10,22,18,1
2019-09-07,53,0,0,13,26,20,0
2019-09-08,57,0,0,9,21,15,0
2019-09-09,75,0,1,15,28,14,0
2019-09-10,71,0,1,13,22,16,1
2019-09-11,68,0,1,15,21,23,0
2019-09-12,67,0,0,11,22,17,0
2019-09-13,56,0,0,8,27,14,0
2019-09-14,44,0,2,8,25,18,1
2019-09-15,62,0,0,10,28,15,0
2019-09-16,80,0,1,6,20,14,0
2019-09-17,65,0,0,7,31,10,0
2019-09-18,58,0,1,11,19,13,0
2019-09-19,61,0,1,11,31,18,0
2019-09-20,49,0,0,12,24,14,0
2019-09-21,70,0,0,9,21,11,1
2019-09-22,66,0,0,14,24,12,0
2019-09-23,72,0,1,14,22,10,0
2019-09-24,58,0,0,10,16,15,0
2019-09-25,65,0,0,9,25,13,0
2019-09-26,57,0,1,7,12,23,0
2019-09-27,55,0,0,12,24,17,0
2019-09-28,39,0,0,7,22,10,0
2019-09-29,54,0,1,5,18,17,1
2019-09-30,68,0,1,7,25,12,0
2019-10-01,65,0,1,7,24,16,0
2019-10-02,75,0,0,13,29,18,0
2019-10-03,59,0,1,17,19,16,1
2019-10-04,56,0,0,11,24,18,0
2019-10-05,65,0,1,14,21,13,1
2019-10-06,58,0,0,8,22,23,0
2019-10-07,66,0,1,6,20,15,0
2019-10-08,58,0,1,3,21,12,0
2019-10-09,62,0,0,8,25,9,1
2019-10-10,66,0,0,11,26,15,0
2019-10-11,62,0,0,16,24,22,0
2019-10-12,50,0,1,8,22,20,0
2019-10-13,65,0,0,12,22,17,0
2019-10-14,60,0,2,11,24,9,0
2019-10-15,52,0,0,9,20,8,0
2019-10-16,47,0,0,5,29,11,0
2019-10-17,62,0,2,11,21,13,0
2019-10-18,55,0,0,11,18,19,0
2019-10-19,60,0,2,12,26,13,0
2019-10-20,55,0,1,12,13,26,0
2019-10-21,55,0,2,10,20,12,0
2019-10-22,74,0,1,4,28,10,1
2019-10-23,67,0,4,6,19,12,0
2019-10-24,56,0,2,17,20,7,0
2019-10-25,63,0,2,12,15,12,1
2019-10-26,59,0,1,5,21,16,0
2019-10-27,53,0,1,9,13,7,1
2019-10-28,68,0,1,14,21,13,0
2019-10-29,52,0,1,5,17,12,0
2019-10-30,58,0,0,8,20,14,1
2019-10-31,52,0,1,10,21,14,0
2019-11-01,57,0,0,8,15,13,0
2019-11-02,56,0,2,10,16,13,0
2019-11-03,39,0,3,4,21,18,0
2019-11-04,60,0,0,5,16,16,0
2019-11-05,69,0,0,9,21,21,0
2019-11-06,57,0,1,10,19,18,0
2019-11-07,48,0,1,8,14,12,0
2019-11-08,57,0,0,11,17,13,0
2019-11-09,68,0,0,11,22,13,1
2019-11-10,57,0,2,6,19,10,0
2019-11-11,61,0,0,11,15,11,0
2019-11-12,65,0,0,5,20,13,1
2019-11-13,50,0,1,5,13,21,0
2019-11-14,50,0,0,6,27,12,0
2019-11-15,42,0,0,12,16,17,0
2019-11-16,67,0,1,16,14,20,0
2019-11-17,49,0,0,10,16,17,0
2019-11-18,66,0,0,13,20,18,0
2019-11-19,71,0,0,13,13,19,0
2019-11-20,53,0,1,9,19,13,0
2019-11-21,56,0,0,5,24,14,0
2019-11-22,52,0,0,9,21,18,0
2019-11-23,64,0,1,12,10,12,0
2019-11-24,54,0,0,7,23,10,0
2019-11-25,65,0,2,9,26,18,0
2019-11-26,55,0,1,15,26,17,0
2019-11-27,67,0,2,9,12,15,0
2019-11-28,53,0,1,11,19,18,0
2019-11-29,64,0,1,9,12,8,0
2019-11-30,59,0,0,5,8,13,0
2019-12-01,53,0,0,5,11,13,0
2019-12-02,63,0,2,9,13,13,0
2019-12-03,66,0,0,8,14,12,0
2019-12-04,68,0,1,10,17,9,0
2019-12-05,54,0,0,13,17,17,0
2019-12-06,65,0,1,10,14,13,0
2019-12-07,40,0,0,6,21,13,0
2019-12-08,83,0,0,13,14,12,0
2019-12-09,63,0,1,7,24,12,0
2019-12-10,48,0,0,7,23,21,0
2019-12-11,44,0,0,10,17,16,0
2019-12-12,60,0,0,5,20,13,0
2019-12-13,61,0,0,9,23,20,0
2019-12-14,58,0,1,8,26,15,0
2019-12-15,65,0,0,3,20,18,2
2019-12-16,50,0,0,6,14,11,0
2019-12-17,45,0,0,9,17,18,0
2019-12-18,49,0,0,7,15,9,0
2019-12-19,60,0,1,9,15,8,0
2019-12-20,60,0,1,7,21,13,1
2019-12-21,76,0,0,8,13,14,0
2019-12-22,70,0,0,8,16,5,0
2019-12-23,58,0,0,10,17,14,0
2019-12-24,46,0,0,9,24,10,0
2019-12-25,51,0,1,12,12,9,0
2019-12-26,68,0,1,8,16,14,0
2019-12-27,66,0,0,8,9,13,0
2019-12-28,56,0,0,4,19,16,0
2019-12-29,54,0,3,4,26,15,0
2019-12-30,63,0,0,8,15,15,0
2019-12-31,61,0,1,11,23,17,0
2020-01-01,66,0,0,7,18,9,0
2020-01-02,59,0,0,8,27,8,0
2020-01-03,54,0,0,6,13,18,0
2020-01-04,66,0,0,8,13,15,0
2020-01-05,48,0,0,9,11,16,0
2020-01-06,58,0,0,5,12,18,0
2020-01-07,71,0,0,6,15,15,0
2020-01-08,65,0,2,6,17,15,1
2020-01-09,73,0,2,12,25,15,0
2020-01-10,74,0,1,7,17,20,0
2020-01-11,47,0,0,14,16,7,0
2020-01-12,50,0,1,7,19,21,0
2020-01-13,53,0,0,7,12,18,1
2020-01-14,59,0,0,4,15,15,0
2020-01-15,53,0,1,5,17,14,0
2020-01-16,50,0,0,8,20,16,0
2020-01-17,62,0,0,10,12,12,0
2020-01-18,54,0,0,9,14,21,0
2020-01-19,50,0,0,7,15,13,0
2020-01-20,60,0,0,12,23,23,0
2020-01-21,63,0,0,13,14,10,0
2020-01-22,49,0,0,7,14,17,0
2020-01-23,49,0,0,15,13,11,0
2020-01-24,71,0,1,6,10,21,0
2020-01-25,66,0,0,7,17,12,0
2020-01-26,48,0,0,17,18,12,0
2020-01-27,55,0,0,5,17,15,0
2020-01-28,53,0,0,5,16,14,0
2020-01-29,55,0,1,9,11,14,0
2020-01-30,63,0,0,8,18,14,0
2020-01-31,49,0,0,3,16,15,0
2020-02-01,58,0,0,10,14,18,0
2020-02-02,43,0,0,9,16,13,0
2020-02-03,35,0,0,7,15,18,0
2020-02-04,57,0,2,6,18,14,0
2020-02-05,78,0,0,10,22,23,0
2020-02-06,57,0,1,10,22,14,0
2020-02-07,62,0,1,5,16,8,0
2020-02-08,59,0,0,5,15,16,0
2020-02-09,51,0,0,8,17,10,0
2020-02-10,52,0,1,7,16,10,0
2020-02-11,50,0,0,8,11,13,0
2020-02-12,62,0,0,5,17,5,0
2020-02-13,56,0,2,9,26,10,0
2020-02-14,64,0,0,8,20,17,1
2020-02-15,61,0,1,5,15,19,0
2020-02-16,58,0,1,7,18,13,0
2020-02-17,63,0,0,8,15,11,0
2020-02-18,67,0,0,10,26,18,0
2020-02-19,54,0,0,8,12,22,0
2020-02-20,66,0,0,14,23,10,0
2020-02-21,59,0,0,10,18,13,1
2020-02-22,53,0,1,5,14,13,0
2020-02-23,54,0,0,5,21,14,1
2020-02-24,53,0,0,14,20,11,0
2020-02-25,64,0,0,7,13,10,0
2020-02-26,60,0,1,9,19,15,0
2020-02-27,59,0,0,10,11,11,1
2020-02-28,59,0,0,9,14,16,0
2020-02-29,38,0,0,9,16,15,0
2020-03-01,52,0,0,5,19,14,0
2020-03-02,49,0,1,14,9,24,0
2020-03-03,69,0,2,3,15,15,0
2020-03-04,52,0,0,6,15,15,0
2020-03-05,61,0,1,9,22,12,0
2020-03-06,57,0,1,9,19,17,0
2020-03-07,52,0,0,9,17,10,0
2020-03-08,70,0,2,9,21,17,0
2020-03-09,58,0,0,5,8,11,0
2020-03-10,55,0,0,7,14,15,0
2020-03-11,46,0,0,8,25,10,0
2020-03-12,58,0,0,9,18,13,0
2020-03-13,79,0,1,6,21,7,0
2020-03-14,66,0,0,10,15,9,0
2020-03-15,67,0,1,5,21,16,0
2020-03-16,76,0,1,6,24,19,0
2020-03-17,62,0,1,13,25,11,1
2020-03-18,57,0,2,6,22,15,0
2020-03-19,52,0,0,5,33,20,0
2020-03-20,54,0,1,12,21,15,0
2020-03-21,67,0,0,8,17,11,1
2020-03-22,62,0,1,5,21,17,0
2020-03-23,65,1,0,9,21,17,0
2020-03-24,59,0,1,7,23,16,0
2020-03-25,48,1,1,7,22,7,1
2020-03-26,57,0,0,6,21,15,0
2020-03-27,58,0,0,6,14,12,0
2020-03-28,59,0,0,7,17,11,0
2020-03-29,64,0,0,8,15,10,0
2020-03-30,56,1,2,8,16,13,0
2020-03-31,56,3,0,8,13,16,1
2020-04-01,60,3,1,6,16,12,0
2020-04-02,78,4,0,8,14,14,0
2020-04-03,56,1,1,7,20,14,1
2020-04-04,64,3,0,10,9,9,1
2020-04-05,57,1,2,5,20,13,1
2020-04-06,59,2,0,8,20,11,0
2020-04-07,48,4,0,8,9,12,0
2020-04-08,36,0,1,8,19,17,3
2020-04-09,54,2,0,15,8,12,1
2020-04-10,60,3,2,4,19,13,0
2020-04-11,64,3,0,10,15,6,0
2020-04-12,48,3,2,4,17,10,0
2020-04-13,50,1,1,13,11,11,0
2020-04-14,62,5,0,5,12,19,2
2020-04-15,55,2,1,3,15,14,0
2020-04-16,54,2,3,8,15,10,0
2020-04-17,64,4,0,10,10,9,0
2020-04-18,60,2,3,8,6,9,0
2020-04-19,65,1,0,7,10,15,1
2020-04-20,62,1,1,10,10,13,0
2020-04-21,57,2,0,6,12,6,0
2020-04-22,56,4,0,5,12,14,2
2020-04-23,71,2,0,6,16,16,0
2020-04-24,55,5,0,9,22,16,0
2020-04-25,59,0,0,9,13,13,0
2020-04-26,55,0,2,6,17,10,0
2020-04-27,51,1,2,9,16,13,0
2020-04-28,50,1,3,7,18,14,1
2020-04-29,52,4,4,11,14,19,1
2020-04-30,60,3,0,9,13,9,2
2020-05-01,63,2,0,6,14,13,0
2020-05-02,68,3,0,11,14,12,0
2020-05-03,54,1,1,4,14,15,1
2020-05-04,42,6,0,7,9,11,1
2020-05-05,66,2,0,11,12,9,0
2020-05-06,58,1,0,2,18,9,0
2020-05-07,57,3,0,9,13,8,0
2020-05-08,75,3,1,9,14,15,0
2020-05-09,60,3,1,11,11,14,0
2020-05-10,39,4,1,13,22,12,0
2020-05-11,55,5,1,13,22,9,1
2020-05-12,55,2,1,9,14,15,0
2020-05-13,62,5,1,7,16,15,1
2020-05-14,56,4,0,10,8,13,0
2020-05-15,61,4,0,7,4,11,0
2020-05-16,66,1,1,8,10,10,0
2020-05-17,65,4,0,4,16,12,0
2020-05-18,70,6,0,11,9,14,0
2020-05-19,72,10,1,5,14,19,0
2020-05-20,69,4,1,8,6,10,0
2020-05-21,62,3,0,10,14,15,1
2020-05-22,56,3,0,5,14,5,0
2020-05-23,54,3,1,3,13,11,0
2020-05-24,58,8,0,2,9,11,0
2020-05-25,48,6,2,5,6,8,1
2020-05-26,66,10,1,7,13,11,2
2020-05-27,50,8,0,7,15,11,0
2020-05-28,63,6,1,10,10,7,0
2020-05-29,50,4,1,10,15,12,1
2020-05-30,57,5,0,10,18,16,0
2020-05-31,57,8,1,5,13,13,1
2020-06-01,70,6,0,9,5,18,1
2020-06-02,51,6,0,7,16,17,2
2020-06-03,62,6,1,10,12,19,0
2020-06-04,74,4,0,10,6,13,0
2020-06-05,72,6,0,5,12,14,0
2020-06-06,66,9,1,4,18,18,0
2020-06-07,53,5,0,4,16,12,2
2020-06-08,54,4,2,8,11,13,0
2020-06-09,61,6,1,5,13,12,1
2020-06-10,84,4,2,8,11,21,0
2020-06-11,71,7,1,11,17,10,0
2020-06-12,70,5,0,10,14,10,0
2020-06-13,57,4,0,7,15,16,1
2020-06-14,60,2,0,6,13,12,0
2020-06-15,54,6,0,16,15,15,0
2020-06-16,67,11,0,8,9,17,0
2020-06-17,60,9,2,7,16,9,0
2020-06-18,70,8,0,7,10,19,0
2020-06-19,74,4,0,5,15,12,0
2020-06-20,72,9,0,7,23,14,1
2020-06-21,58,7,0,5,11,12,2
2020-06-22,61,12,2,5,29,11,0
2020-06-23,52,10,1,10,17,11,2
2020-06-24,51,16,0,4,21,16,1
2020-06-25,49,7,0,16,14,8,1
2020-06-26,58,6,1,5,12,10,0
2020-06-27,70,12,1,7,16,11,0
2020-06-28,60,14,0,6,16,8,0
2020-06-29,75,17,0,7,15,13,1
2020-06-30,78,15,2,7,15,14,0
2020-07-01,70,8,0,7,17,6,0
2020-07-02,75,14,1,4,19,14,1
2020-07-03,71,18,0,8,13,11,0
2020-07-04,81,10,1,13,20,9,0
2020-07-05,82,12,2,3,12,8,0
2020-07-06,63,15,0,8,14,14,1
2020-07-07,68,14,0,3,24,16,1
2020-07-08,65,14,0,6,13,8,0
2020-07-09,62,19,0,15,19,13,0
2020-07-10,69,14,0,12,16,11,2
2020-07-11,86,20,2,7,21,12,2
2020-07-12,69,12,0,5,18,12,0
2020-07-13,56,27,1,16,10,15,0
2020-07-14,58,24,1,12,17,11,0
2020-07-15,70,28,0,8,14,9,1
2020-07-16,42,28,1,7,11,14,0
2020-07-17,58,19,0,6,8,6,0
2020-07-18,56,20,1,7,10,10,0
2020-07-19,68,25,0,6,9,6,0
2020-07-20,34,24,2,7,13,12,0
2020-07-21,49,27,1,9,10,7,0
2020-07-22,37,26,0,7,10,6,0
2020-07-23,30,19,0,4,6,6,0
2020-07-24,18,25,0,3,8,7,1
2020-07-25,23,21,0,3,7,5,0
2020-07-26,27,22,0,7,5,7,0
2020-07-27,26,8,0,0,8,6,1
2020-07-28,11,7,0,2,2,6,0
2020-07-29,1,3,0,0,1,0,1